	featureCounts on ROC_-_1	featureCounts on ROC_-_3	featureCounts on ROC_-_2	featureCounts on ROC_MOXI_1	featureCounts on ROC_MOXI_3	featureCounts on ROC_MOXI_2
gene-b0026	15.4744857227302	15.1334202148538	15.4895255988582	15.471298510637	15.4738618041599	15.547890736053
gene-b0027	12.256415934154	12.1163596674118	12.2645414811724	12.3094324539471	12.1204601197706	12.2751737446343
gene-b0028	11.256600263775	10.9609780800535	11.1663307829639	11.2969281909275	11.1785788610722	11.4527974166965
gene-b0029	11.3598940351528	10.7999269556625	11.5399581221855	11.3679808077455	11.3151902522057	11.4868794654447
gene-b0030	11.8526564896333	11.0418681088344	11.7755627674447	11.8438548282062	11.7967027063604	11.562844921619
gene-b0031	10.1269390367959	10.3555879725935	10.2610059973642	10.3069116903328	10.2728396590299	10.1333923973286
gene-b0032	10.7522463620489	10.0686190699594	10.7041888062381	10.5571382205277	10.3096313318558	10.5931733029559
gene-b0033	12.3984108425548	11.502187473805	12.4389048916692	11.907406810549	11.8407699698172	12.1001174113694
gene-b0034	6.37092326639463	6.3400503378707	6.21198127417952	6.27315263181587	6.08488199554534	6.40668027111232
gene-b0035	5.60679530786592	5.46884629956234	5.27347214145437	5.38524568826588	5.22189755803175	5.63692175161961
gene-b0036	5.80145701328468	5.20891034440477	5.08559044765746	5.63224552423353	5.55360337242837	5.54145792765982
gene-b0037	7.80032493504308	7.98217841842392	7.72482467659448	8.05300983607934	8.10196585646738	8.13722392173635
gene-b0038	8.28799277175719	7.78638657142416	8.01767280382748	8.46400198795849	8.39135298920067	8.61095832295686
gene-b0039	8.33565084540551	8.11311776967949	8.19465908622759	8.35418528321716	7.9094447185623	8.35569814600952
gene-b0040	5.23149893489311	5.42330308306687	5.17533428548919	5.28997527963166	5.18504572500819	5.27530520184667
gene-b0041	5.08941524812795	5.33813769851474	5.63130546415126	5.55933010951796	5.48381812468878	5.49216565474695
gene-b0042	5.02615175960565	4.92801244322517	5.13877313821051	5.47788025459427	5.07441736599949	5.02713928097884
gene-b0043	5.05330489913437	4.99547040143748	4.9191073329939	4.66682477059833	5.38166801303053	5.12018456714201
gene-b0044	3.18585627761587	3.18425501689536	3.31248945553572	3.16645711010214	3.53128195226854	3.16371843546623
gene-b0045	6.58482584178791	6.69213589404739	6.4352788579801	6.47237764606085	6.66985510482081	6.64985835152398
gene-b0046	8.99988768684889	9.26399216895408	8.82532793590231	8.94646631653346	8.78154240740064	8.84861129814926
gene-b0047	8.87816506235428	8.85584951355755	8.72230933345348	8.87811440853978	8.67155147273333	8.5116302631162
gene-b0048	10.864857920703	10.6261656943458	11.1981200937592	11.0807395969768	11.1297447131392	11.239216616972
gene-b0049	10.4537323802226	10.056801735348	10.7077491257824	10.5516972787246	10.7870736103294	10.7548362339641
gene-b0050	11.7888661668201	11.5586645142505	11.8476907201352	11.8243521292465	11.9458003663069	12.1886150196114
gene-b0051	12.1861577155683	11.9649880933299	12.3739946177923	12.3096350470403	12.4875510147603	12.5701281804856
