	featureCounts on ROC_-_1	featureCounts on ROC_-_3	featureCounts on ROC_-_2	featureCounts on ROC_MOXI_1	featureCounts on ROC_MOXI_3	featureCounts on ROC_MOXI_2
gene-b0070	745.168256232739	872.809362067014	651.592516099075	830.930382885239	745.788035070535	778.054955370212
gene-b0071	410.670505657154	357.920835234991	237.94672775883	368.030189270037	396.312482404632	321.527345795372
gene-b0072	503.402555321673	378.619871489544	345.374153371466	473.532176860781	562.043156864751	376.145773125996
gene-b0073	246.181512799853	264.775172089499	191.762974691715	303.420444931519	336.265136585749	187.557618380634
gene-b0074	219.686641467134	206.127902701597	214.854851225273	261.710356814248	321.853773589217	189.618691110091
gene-b0075	11.0395297219665	193.191005042501	15.059919478407	24.5353459513358	30.0236729094418	8.24429091783006
gene-b0076	130.266450719205	156.967691597032	66.2636457049906	71.9703481239183	86.4681779791925	64.9237909779117
gene-b4726	2.2079059443933	18.1116567227345	3.01198389568139	4.08922432522263	1.20094691637767	1.03053636472876
gene-b0077	1108.36878408544	660.644240457838	1008.01061042137	748.328051515742	1127.68915447864	723.436528039588
gene-b0078	118.122968025042	68.1343276712392	151.603189415963	86.6915556947198	152.520258379965	65.9543273426405
gene-b0080	4212.68454190242	3216.97521789522	5153.50444551086	3937.10518032435	4720.92232828064	3041.11281231456
gene-b0081	3537.06532291807	2907.35213392085	3737.87201454061	4016.43613223367	4214.12272956926	3445.08306728824
gene-b0082	14690.3022010208	9420.64887535374	10923.4615950045	13773.3253722149	11665.9983456927	12930.1397682517
gene-b0083	5132.27736774223	5699.99710859772	4544.07970395133	5065.7310940858	4847.02175450029	5067.1473053713
gene-b0084	2995.02441356951	5780.20587408412	3022.02384200033	3109.44617689929	3320.61822378427	3045.23495777348
gene-b0085	7501.36044607624	6933.31468543154	7206.67346773368	6088.8550202565	7044.75461147144	7691.92342633544
gene-b0086	6794.83054387039	5603.40160607647	7361.28864104532	6026.69881051312	6606.40898699358	7220.9683076544
gene-b0087	3326.21030522851	3169.53992647853	3535.06509889806	2711.15572762261	3146.48092090951	3168.89932154093
gene-b0088	5370.73120973671	5103.17489659142	6637.4085114499	4374.65218312317	5413.86869903055	5389.7051875314
gene-b0089	2021.33789209207	2438.17397881764	2706.76952758568	1825.42973877938	2275.79440653569	2220.80586599047
gene-b0090	3533.75346400148	3787.06117473938	3841.28346162567	2772.49409250094	3084.03168125787	3323.47977625024
gene-b0091	4741.47801558462	3720.65176675602	6935.59491712235	3607.51369971141	5144.85658976195	4560.12341392475
gene-b0092	5689.77361870154	5049.70238626716	6213.72277679071	4013.16475277349	4778.56778026676	5115.58251451355
gene-b0093	8661.61501985492	6874.66741604364	7730.75866558224	5688.92888124973	5971.10806822979	7105.54823480478
gene-b0094	15754.5128662184	13268.9446990128	15601.0725849977	10787.3737699373	12002.2634822785	12811.6280863079
gene-b0095	43252.8774506648	65741.8640641504	43300.2804843157	29249.4037534524	30253.05377047	27311.2747380415
gene-b0096	25914.1920693442	21926.3166124799	27433.1493218661	27890.1455877484	31951.192710228	26283.829982407
gene-b0097	2652.79899218855	3003.9476364421	3205.7548596369	3859.40991814512	4358.23635953458	3944.89320418168
gene-b0098	28172.8798504585	21068.1690677599	24819.7512950466	29453.0471248485	33200.1775032608	27098.9842469074
gene-b0099	984.726051199412	839.173428153364	667.656430209375	852.194349376397	967.963214600405	1247.97953768652
gene-b0101	2371.29098427841	2615.84070666922	2150.55650151651	2380.74640214462	2473.95064773801	3394.58678541653
gene-b0102	2364.66726644523	1710.2578705325	2541.1104133232	2500.96959730616	2680.51351735497	3372.94552175722
gene-b0103	1791.71567387516	1753.38086272948	1396.55653296427	1754.27723552051	1853.06109197075	2291.91287515676
gene-b4727	1.10395297219665	41.3980725091074	11.0439409508318	28.6245702765584	42.0331420732186	29.885554577134
