	featureCounts on ROC_-_1	featureCounts on ROC_-_3	featureCounts on ROC_-_2	featureCounts on ROC_MOXI_1	featureCounts on ROC_MOXI_3	featureCounts on ROC_MOXI_2
gene-b0052	11.6792226050806	11.7716107383549	11.9215445799875	11.6679705549158	11.979995001014	11.8914078354194
gene-b0053	15.0619434205742	14.7300455882381	14.7712333551385	14.8845005239848	14.8167623758622	14.883654497628
gene-b0054	14.6408810017518	14.3408706672606	14.5783202007912	14.7475183952935	14.6069889191999	14.6376878576185
gene-b0055	10.7291434434841	10.8074048605087	10.3296478517865	11.0134878936954	10.4535757819396	11.1469668445513
gene-b0056	10.109311673408	9.70810149055514	9.62363648312124	10.1852726008443	9.68968628294925	10.3071559567876
gene-b0057	9.13294091653193	8.52714345720825	8.57815634536322	9.14160331872532	8.51015059782505	9.16072781610487
gene-b0058	8.61243011353369	8.12506738411821	9.43352533575037	10.4030818368775	10.7696504000721	11.9104578035042
gene-b0059	11.0042340552262	10.3675794015527	11.68600858701	13.0021749922737	13.4293432579433	14.2269880038122
gene-b0060	10.1321994682894	10.252949677384	10.6858951469884	11.874075263582	12.4226802322171	12.457933481709
gene-b0061	8.07627528218792	7.04877484242127	6.61100796326297	7.35650050432601	6.88466370717006	6.78605232370052
gene-b0062	9.65556917788916	8.92807050846858	8.97066298900026	8.87375181843599	9.17892941097619	7.27406093279593
gene-b0063	9.48823980269319	9.09666316405472	9.01893539108023	8.82774279562095	9.09902586951411	7.76631719544893
gene-b0064	12.2042572434865	12.1579971220057	11.5277275405564	12.3187725933789	11.7573641696208	11.6610638986177
gene-b0065	10.5409918387551	10.5881126310954	10.8720703041768	10.7764318742443	10.9354179979007	10.5276373904504
gene-b0066	8.62054811072374	8.60592267443824	8.97066298900026	8.70868050863575	8.75443831575459	9.20926387196434
gene-b0067	7.86009280244274	7.42749171644863	7.69631988902014	8.15496131049846	7.94748070469961	8.4668781512161
gene-b0068	8.60835391128235	7.50498501593641	8.06442609472779	8.73938027695796	8.73015835878898	8.88689504309908
gene-b0069	9.05422665768894	9.07144060409608	9.15729457258241	9.57968143110243	9.04428103409354	9.65700200143657
gene-b4577	6.71659420914744	9.49010421442913	6.76600790494728	7.3492715559849	6.60993566768885	7.25468658880413
gene-b4662	5.95053263578571	8.66843593547308	6.05368699043263	6.67794989383899	5.9113178998448	6.41814234231515
gene-b0070	9.56594801377468	9.79050038062492	9.37582337446233	9.72060671232899	9.56712732264431	9.62722972551543
gene-b0071	8.72588987596924	8.53387530914203	7.96931658034977	8.57270947052475	8.67610590925425	8.38471707560806
