Geneid	1714__30min_-_library-read-1.fastq.gz
gene-b0856	625
gene-b0857	793
gene-b0858	57
gene-b0859	153
gene-b0860	45
gene-b0861	374
gene-b0862	310
gene-b0863	2469
gene-b0864	1994
gene-b0865	4619
gene-b0866	4876
gene-b0867	4066
gene-b0868	1118
gene-b0869	849
gene-b0870	6937
gene-b0871	17734
gene-b0872	240
gene-b0873	130
gene-b0874	138
gene-b0875	1346
gene-b0876	3177
gene-b0877	1730
gene-b0878	1341
gene-b0879	4375
gene-b0880	23599
gene-b0881	14117
gene-b0882	230639
gene-b0883	148
gene-b0884	238
gene-b0885	1171
gene-b0886	325
gene-b0887	480
gene-b0888	518
gene-b0889	1257
gene-b0890	5971
gene-b0891	726
gene-b0892	622
gene-b0893	15611
gene-b0894	270
gene-b0895	101
gene-b0896	636
gene-b0897	918
gene-b0898	1556
gene-b0899	590
gene-b0900	232
gene-b0901	24
gene-b0902	13970
gene-b0903	207092
gene-b0904	12210
gene-b0905	595
gene-b0906	2166
gene-b0907	3860
gene-b0908	389
gene-b0909	218
gene-b0910	5422
gene-b0911	105836
gene-b0912	4219
gene-b0913	558
gene-b0914	1493
gene-b0915	820
gene-b0916	247
gene-b0917	591
gene-b0918	1878
gene-b0919	1572
gene-b0920	472
gene-b0921	385
gene-b0922	732
gene-b0923	312
gene-b0924	2581
gene-b0925	27554
gene-b0926	1847
gene-b0927	1431
gene-b0928	3183
gene-b0929	2565
gene-b0930	21099
gene-b0931	495
gene-b0932	16777
gene-b0933	382
gene-b0934	74
gene-b0935	49
gene-b0936	37
gene-b0937	94
gene-b0938	24
gene-b0939	116
gene-b0940	284
gene-b0941	173
gene-b0942	86
gene-b0943	88
gene-b0944	362
gene-b0945	63
gene-b0946	74
gene-b0947	300
gene-b0948	1423
gene-b0949	5430
gene-b0950	10401
gene-b0951	4620
gene-b0952	1950
gene-b0953	37251
gene-b0954	21813
gene-b0955	89988
gene-b0956	835
gene-b0957	127507
gene-b0958	7676
gene-b0959	348
gene-b0960	929
gene-b0961	49
gene-b0962	5431
gene-b0963	18796
gene-b0964	2803
gene-b0965	15883
gene-b0966	165845
gene-b0967	6910
gene-b0968	2852
gene-b0969	2490
gene-b0970	22206
gene-b0971	224
gene-b0972	3216
gene-b0973	2930
gene-b0974	1348
gene-b0975	1961
gene-b0976	778
gene-b0977	581
gene-b0978	7842
gene-b0979	4800
gene-b4592	757
gene-b0980	2027
gene-b0981	3037
gene-b0982	287
gene-b0983	202
gene-b0984	82
gene-b0985	21
gene-b0986	16
gene-b0987	46
gene-b4516	37
gene-b0988	891
gene-b0989	21
gene-b0990	59
gene-b4723	26
gene-b0991	4
gene-b4517	13
gene-b0992	142
gene-b0993	288
gene-b0994	194
