Geneid	1714__30min_-_library-read-1.fastq.gz
gene-b2950	126
gene-b2951	524
gene-b2952	345
gene-b2953	38
gene-b2954	220
gene-b2955	107
gene-b2956	94
gene-b2957	446
gene-b2958	4067
gene-b2959	7950
gene-b2960	7878
gene-b2961	451
gene-b2962	143
gene-b2963	182
gene-b2964	7831
gene-b2965	168
gene-b2966	469
gene-b2967	17
gene-b2968	146
gene-b2971	5
gene-b2972	74
gene-b4466	2765
gene-b2975	1319
gene-b2976	4823
gene-b2977	1294
gene-b4467	1327
gene-b4468	370
gene-b2979	899
gene-b2980	4934
gene-b2981	338
gene-b2982	24
gene-b2983	20
gene-b2984	9
gene-b2985	2
gene-b2986	3
gene-b2987	166
gene-b2988	4043
gene-b2989	1778
gene-b2990	117
gene-b2991	432
gene-b2992	735
gene-b2993	967
gene-b2994	1443
gene-b2995	203
gene-b2996	238
gene-b2997	282
gene-b2998	57
gene-b4755	2656
gene-b3001	9636
gene-b3002	938
gene-b3003	5077
gene-b3005	6326
gene-b3006	8193
gene-b3008	390
gene-b3009	5351
gene-b3010	2515
gene-b3011	2198
gene-b3012	16720
gene-b3013	227
gene-b3014	42
gene-b4469	152
gene-b3017	828
gene-b3018	467
gene-b3019	1549
gene-b3020	501
gene-b3021	9234
gene-b3022	1906
gene-b3023	1848
gene-b3024	14010
gene-b3025	138
gene-b3026	783
gene-b3027	48
gene-b3028	1683
gene-b3029	7439
gene-b3030	2643
gene-b3031	1326
gene-b3032	3812
gene-b3033	1315
gene-b3034	995
gene-b3035	2981
gene-b3036	1008
gene-b3037	3865
gene-b3038	2944
gene-b3039	638
gene-b3040	8870
gene-b4756	225
gene-b3041	24573
gene-b3042	481
gene-b3043	2
gene-b3044	2
gene-b3045	58
gene-b3047	20
gene-b3048	175
gene-b3049	13375
gene-b3050	159
gene-b3051	78
gene-b4447	428
gene-b4664	371
gene-b4611	107
gene-b4666	99
gene-b3052	2451
gene-b3053	2463
gene-b3054	1863
gene-b3055	1538
gene-b3056	3000
gene-b3057	775
gene-b3058	366
gene-b3059	1289
gene-b3060	259
gene-b3061	45
gene-b3062	77
gene-b3063	105
gene-b3064	898
gene-b3065	711
gene-b3066	4487
gene-b3067	100366
gene-b3068	2400
gene-b3069	20
gene-b3070	315
gene-b3071	1296
gene-b3072	436
gene-b3073	57827
gene-b3074	938
gene-b3075	118
gene-b3076	333
gene-b3077	1
gene-b3078	27
gene-b3079	27
gene-b3080	80
gene-b3081	4177
gene-b3082	395
gene-b3083	130
gene-b3084	102
gene-b3085	92
gene-b3086	51
gene-b3087	9116
gene-b3088	118
gene-b3089	36769
gene-b3090	950
gene-b3091	17070
gene-b3092	23015
gene-b3093	12536
gene-b3094	9058
gene-b3095	6346
gene-b3096	1645
gene-b3097	13168
gene-b3098	12300
gene-b3099	25592
gene-b3100	16599
gene-b3101	252
gene-b3102	11607
gene-b3103	3010
gene-b3104	354
gene-b3105	330
gene-b3106	300
gene-b3107	181
gene-b4470	350
gene-b3110	104
gene-b4471	296
gene-b3113	136
gene-b3114	299
gene-b3115	77
gene-b3116	390
gene-b3117	148
gene-b3118	49
gene-b3119	1
gene-b3120	15
gene-b3121	32
gene-b3123	5322
gene-b3124	1752
gene-b3125	587
gene-b3126	128
gene-b3127	224
gene-b3128	1413
gene-b3129	2371
gene-b3130	3307
gene-b3131	1157
gene-b3132	148
gene-b3133	285
gene-b3136	75
gene-b3137	17
gene-b3138	2
gene-b3139	48
gene-b3140	421
gene-b3141	122
gene-b3142	68
gene-b3143	74
gene-b3144	7176
gene-b3145	294
gene-b3146	262
gene-b3147	1978
gene-b3148	244
gene-b3149	303
gene-b3150	349
gene-b3151	861
gene-b3152	4500
gene-b3153	864
gene-b3154	411
gene-b3155	1183
gene-b3156	5857
gene-b3157	7787
gene-b3158	14
gene-b3159	122
gene-b3160	1998
gene-b3161	425
gene-b3162	38869
gene-b4685	1758
gene-b3163	13494
gene-b3164	8920
gene-b4449	369
gene-b3165	1950
gene-b3166	1215
gene-b3167	1050
gene-b3168	18149
gene-b3169	8813
gene-b3170	1386
gene-b3171	211
gene-b3172	1829
gene-b3173	321
gene-b3174	612
gene-b3175	1466
gene-b3176	2560
gene-b3177	532
gene-b3178	109516
gene-b3179	33971
gene-b3180	2073
gene-b3181	1300
gene-b3182	282
gene-b3183	46420
gene-b3184	5954
gene-b3185	5213
gene-b3186	6874
gene-b3187	1931
gene-b3188	3
gene-b3189	511
gene-b3190	103
gene-b3191	2936
gene-b3192	7830
gene-b3193	1805
gene-b3194	1347
gene-b3195	1695
gene-b3196	696
gene-b3197	1616
gene-b3198	4317
gene-b3199	9585
gene-b3200	4906
gene-b3201	6808
gene-b3202	9742
gene-b3203	2134
gene-b3204	1340
gene-b3205	1061
gene-b3206	398
gene-b3207	89293
gene-b3208	31322
gene-b3209	802
gene-b4450	396
gene-b3210	5456
gene-b3211	37
gene-b3212	2608
gene-b3213	1279
gene-b3214	8
gene-b3215	71
gene-b3216	393
gene-b3218	21
gene-b3219	450
gene-b3220	516
gene-b3221	848
gene-b3222	3382
gene-b3223	3411
gene-b3224	15214
gene-b3225	26131
gene-b3226	575
gene-b3227	79
gene-b3228	2364
gene-b3229	6526
gene-b3230	3479
gene-b3231	2639
gene-b3232	393
gene-b3233	25963
gene-b3234	2069
gene-b3235	1498
gene-b3236	14496
gene-b3237	1141
gene-b3238	632
gene-b3239	2384
gene-b3240	303
gene-b3241	120
gene-b3242	178
gene-b3243	621
gene-b3244	9530
gene-b4472	2006
gene-b3247	2100
gene-b3248	2265
gene-b3249	827
gene-b3250	370
gene-b3251	3495
gene-b3252	1884
gene-b3253	6047
gene-b3255	1038
gene-b3256	2667
gene-b3257	25
gene-b3258	1974
gene-b3259	4171
gene-b3260	787
gene-b3261	364
gene-b3262	101
gene-b3263	37
gene-b3264	48
gene-b3265	65
gene-b3266	389
gene-b3267	163
gene-b3269	496
gene-b3270	363
gene-b3271	258
gene-b3272	1175
gene-b3273	21
gene-b3274	37
gene-b3275	53274
gene-b3276	4
gene-b3277	0
gene-b3278	66006
gene-b3279	2324
gene-b3280	2287
gene-b3281	6895
gene-b3282	1446
gene-b3283	8437
gene-b3284	17560
gene-b4473	3944
gene-b3287	24707
gene-b3288	31632
gene-b3289	3039
gene-b3290	4456
gene-b3291	16220
gene-b4550	6243
gene-b3292	2338
gene-b3293	3505
gene-b3294	16167
gene-b3295	44205
gene-b3296	28481
gene-b3297	20552
gene-b3298	14490
gene-b3299	4164
gene-b3300	143970
gene-b3301	25694
gene-b3302	23222
gene-b3303	24682
gene-b3304	28503
gene-b3305	21696
gene-b3306	14880
gene-b3307	12422
gene-b3308	27700
gene-b3309	31319
gene-b3310	16183
gene-b3311	7109
gene-b3312	3190
gene-b3313	5214
gene-b3314	7839
gene-b3315	3476
gene-b3316	1192
gene-b3317	1935
gene-b3318	908
gene-b3319	1288
gene-b3320	2361
gene-b3321	1179
gene-b3322	102
gene-b3323	32
gene-b3324	26
gene-b3325	98
gene-b3326	37
gene-b3327	147
gene-b3328	38
gene-b3329	83
gene-b3330	41
gene-b3331	11
gene-b3332	134
gene-b3333	191
gene-b3334	46
gene-b3335	859
gene-b3336	3227
gene-b3337	629
gene-b3338	1067
gene-b3339	74710
gene-b3340	219597
gene-b3341	24174
gene-b3342	12747
gene-b3343	730
gene-b3344	225
gene-b3345	368
gene-b3346	1651
gene-b3347	17474
gene-b3348	100
gene-b3349	11051
gene-b4551	450
gene-b3350	2126
gene-b3351	414
gene-b3352	846
gene-b3353	766
gene-b3354	542
gene-b3355	940
gene-b3356	787
gene-b3357	5666
gene-b3358	430
gene-b3359	373
gene-b3360	3104
gene-b3361	17192
gene-b3362	6583
gene-b3363	1959
gene-b3364	241
gene-b3365	524
gene-b3366	74
gene-b3367	274
gene-b3368	1670
gene-b3369	19
gene-b3370	45
gene-b3371	184
gene-b4474	208
gene-b3374	309
gene-b3375	427
gene-b3376	418
gene-b3377	172
gene-b3378	66
gene-b3379	134
gene-b3380	57
gene-b3381	117
gene-b3382	241
gene-b3383	407
gene-b3384	2789
gene-b3385	262
gene-b3386	514
gene-b3387	538
gene-b3388	8153
gene-b3389	3882
gene-b3390	1962
gene-b3391	51
gene-b3392	9
gene-b3393	1
gene-b3394	12
gene-b3395	69
gene-b3396	578
gene-b3397	885
gene-b3398	653
gene-b3399	2295
gene-b3400	4911
gene-b3401	7413
gene-b3402	1115
gene-b3403	15218
gene-b3404	4160
gene-b3405	4043
gene-b3406	129
gene-b3407	320
gene-b3408	294
gene-b3409	2813
gene-b3410	290
gene-b3411	81
gene-b3412	295
gene-b3413	557
gene-b3414	6740
gene-b3415	2156
gene-b3416	1816
gene-b3417	2231
gene-b3418	6073
gene-b4475	3975
gene-b3421	5771
gene-b3422	425
gene-b3424	705
gene-b3425	453
gene-b3426	423260
gene-b3427	8954
gene-b3428	17082
gene-b3429	9492
gene-b3430	11128
gene-b3431	7370
gene-b3432	6333
gene-b3433	9812
gene-b3434	231
gene-b4476	656
gene-b3437	425
gene-b3438	2268
gene-b3439	2027
gene-b3440	2567
gene-b4451	51
gene-b3441	54
gene-b3442	3
gene-b3444	1
gene-b3445	26
gene-b4612	0
gene-b3446	285
gene-b3447	567
gene-b3448	33135
gene-b3449	8512
gene-b3450	1423
gene-b3451	448
gene-b3452	326
gene-b3453	12790
gene-b3454	203
gene-b3455	169
gene-b3456	327
gene-b3457	285
gene-b3458	665
gene-b3459	45
gene-b3460	922
gene-b3461	41935
gene-b3462	10012
gene-b3463	7240
gene-b3464	3279
gene-b3465	363
gene-b3466	152
gene-b3467	68
gene-b3468	898
gene-b3469	1805
gene-b3470	341
gene-b3471	318
gene-b3472	1552
gene-b3473	429
gene-b3474	3789
gene-b3475	1278
gene-b3476	32
gene-b3477	2
gene-b3478	14
gene-b3479	17
gene-b3480	93
gene-b3481	859
gene-b3482	128
gene-b3483	1
gene-b3484	54
gene-b3485	578
gene-b3486	1079
gene-b3487	2118
gene-b3488	364
gene-b3491	1290
gene-b3492	1143
gene-b3493	15689
gene-b3494	18931
gene-b3495	17774
gene-b3496	16313
gene-b3497	2451
gene-b3498	16317
gene-b3499	1622
gene-b3500	3119
gene-b4613	302
gene-b4712	33
gene-b4713	99
gene-b3501	88
gene-b3502	526
gene-b3503	265
gene-b3505	146
gene-b3506	9853
gene-b3507	241
gene-b3508	309
gene-b3509	30340
gene-b3510	33366
gene-b3511	7391
gene-b4704	752
gene-b3512	4244
gene-b4718	2765
gene-b3513	251
gene-b3514	515
gene-b3515	1138
gene-b4452	1030
gene-b3516	6615
gene-b3517	7548
gene-b3518	269
gene-b3519	7880
gene-b3520	345
gene-b3521	104
gene-b3522	8544
gene-b3523	1096
gene-b3524	23007
gene-b3525	143
gene-b3526	501
gene-b3527	1289
gene-b3528	34805
gene-b3529	2742
gene-b3530	5153
gene-b3531	24
gene-b3532	210
gene-b3533	121
gene-b3535	597
gene-b3536	476
gene-b3537	54
gene-b3538	367
gene-b4453	114
gene-b4454	61
gene-b3539	136
gene-b3540	151
gene-b3541	97
gene-b3542	28
gene-b3543	8
gene-b3544	1591
gene-b3545	25
gene-b3546	631
gene-b3547	213
gene-b3548	4628
gene-b3549	427
gene-b3550	378
gene-b3551	2448
gene-b3552	134
gene-b3553	355
gene-b3554	10439
gene-b3555	6666
gene-b3556	519
gene-b4455	0
gene-b3557	1
gene-b3558	53
gene-b3559	7254
gene-b3560	2550
gene-b4553	29
gene-b3561	354
gene-b3562	79
gene-b3563	1
gene-b3564	10698
gene-b3565	4372
gene-b3566	220
gene-b3567	157
gene-b3568	555
gene-b3569	238
gene-b3570	3756
gene-b3571	756
gene-b3572	2339
gene-b3573	52
gene-b3574	630
gene-b3575	101
gene-b3576	0
gene-b3577	1
gene-b3578	44
gene-b3579	38
gene-b3580	140
gene-b3581	12
gene-b3582	46
gene-b3583	188
gene-b3584	384
gene-b3585	313
gene-b3586	269
gene-b3587	23
gene-b3588	22244
gene-b3589	25
gene-b3590	1119
gene-b3591	727
gene-b3592	1315
gene-b3593	714
gene-b3594	1090
gene-b3596	0
gene-b4615	0
gene-b3597	2247
gene-b3598	1484
gene-b3599	27434
gene-b3600	15866
gene-b3601	28505
gene-b4554	31397
gene-b3602	629
gene-b3603	5864
gene-b3604	1923
gene-b3605	1401
gene-b3606	126
gene-b3607	2611
gene-b3608	80326
gene-b3609	124312
gene-b3610	3829
gene-b3611	1487
gene-b3612	4406
gene-b3613	375
gene-b3614	232
gene-b3615	91
gene-b3616	9166
gene-b3617	6240
gene-b3618	82
gene-b3619	14487
gene-b3620	2818
gene-b3621	240
gene-b3622	206
gene-b3623	145
gene-b3624	129
gene-b3625	116
gene-b3626	201
gene-b3627	347
gene-b3628	437
gene-b3629	203
gene-b3630	274
gene-b3631	1024
gene-b3632	798
gene-b3633	718
gene-b3634	825
gene-b3635	476
gene-b3636	1447
gene-b3637	1818
gene-b3638	288
gene-b3639	766
gene-b3640	263
gene-b3641	95
gene-b3642	127
gene-b3643	242
gene-b3644	1041
gene-b3645	300
gene-b3646	22
gene-b3647	214
gene-b3648	6177
gene-b3649	7467
gene-b3650	3223
gene-b3651	97
gene-b3652	228
gene-b3653	3915
gene-b3654	134
gene-b3655	7642
gene-b3656	380
gene-b3657	53
gene-b3658	17
gene-b3659	97
gene-b3660	717
gene-b3661	1155
gene-b4555	60
gene-b3662	73
gene-b3663	558
gene-b3664	343
gene-b3665	343
gene-b3666	108
gene-b3667	109
gene-b3668	131
gene-b3669	357
gene-b3670	785
gene-b3671	2458
gene-b3672	143
gene-b4616	60
gene-b4618	3042
gene-b3673	513
gene-b3674	871
gene-b3675	592
gene-b3676	705
gene-b3677	118
gene-b3678	160
gene-b3679	80
gene-b3680	65
gene-b3681	82
gene-b3682	20
gene-b3683	15
gene-b3684	442
gene-b3685	2385
gene-b3686	1389
gene-b3687	7988
gene-b3688	1111
gene-b3689	420
gene-b3690	91
gene-b3691	152
gene-b4478	407
gene-b4477	204
gene-b3693	822
gene-b4479	1379
gene-b3696	438
gene-b3697	889
gene-b3698	789
gene-b3699	9306
gene-b3700	723
gene-b3701	2812
gene-b3702	3782
gene-b4757	363
gene-b3703	5500
gene-b3704	3869
gene-b4557	47
gene-b3705	1302
gene-b3706	2979
gene-b3707	376
gene-b3708	4664
gene-b3709	530
gene-b3710	63
gene-b3711	168
gene-b3712	801
gene-b3713	1341
gene-b3714	358
gene-b3715	132
gene-b3716	184
gene-b3717	169
gene-b3718	68
gene-b3719	17
gene-b3720	66
gene-b3721	12
gene-b3722	10
gene-b3723	2
gene-b3724	824
gene-b3725	1862
gene-b3726	896
gene-b3727	1983
gene-b3728	4174
gene-b3729	27954
gene-b3730	7589
gene-b3731	2543
gene-b3732	10224
gene-b3733	3460
gene-b3734	5757
gene-b3735	1514
gene-b3736	1550
gene-b3737	2174
gene-b3738	2068
gene-b3739	370
gene-b3740	164
gene-b3741	917
gene-b3742	395
gene-b3743	260
gene-b3744	465
gene-b3745	437
gene-b3746	1239
gene-b3747	1861
gene-b3748	5222
gene-b3749	3038
gene-b3750	1256
gene-b3751	2262
gene-b3752	344
gene-b3753	264
gene-b3754	161
gene-b3755	416
gene-b3756	288670
gene-b3757	330
gene-b3758	341661
gene-b3759	442
gene-b3760	441
gene-b3761	650
gene-b4480	448
gene-b3764	1416
gene-b3765	746
gene-b3766	111
gene-b4669	82
gene-b3769	63
gene-b3770	657
gene-b3771	1880
gene-b3772	1077
gene-b3773	1562
gene-b3774	484
gene-b3775	163
gene-b3778	755
gene-b3779	1739
gene-b3780	9943
gene-b3781	13401
gene-b3782	1558
gene-b3783	13005
gene-b3784	1242
gene-b3785	778
gene-b3786	507
gene-b3787	338
gene-b3788	391
gene-b3789	607
gene-b3790	382
gene-b3791	1696
gene-b3792	1222
gene-b4481	1397
gene-b3793	630
gene-b3794	405
gene-b3795	3094
gene-b3796	2068
gene-b3797	3895
gene-b3798	1466
gene-b3799	287
gene-b3800	62
gene-b3801	678
gene-b4456	613
gene-b3802	1493
gene-b3803	1270
gene-b3804	2048
gene-b3805	7481
gene-b3806	23516
gene-b3807	254
gene-b3808	144
gene-b4558	566
gene-b3809	811
gene-b3810	304
gene-b3811	105
gene-b3812	343
gene-b3813	1983
gene-b4482	75
gene-b3816	7364
gene-b3817	36
gene-b3818	2
gene-b3819	64
gene-b3820	1255
gene-b3821	231
gene-b3822	66
gene-b3823	252
gene-b3824	278
gene-b3825	721
gene-b3826	392
gene-b3827	163
gene-b3828	109
gene-b3829	683
gene-b3830	4616
gene-b3831	3204
gene-b3832	1476
gene-b3833	1412
gene-b3834	831
gene-b4707	215
gene-b3835	865
gene-b3836	1529
gene-b3838	955
gene-b3839	148
gene-b4483	161
gene-b3842	357
gene-b3843	6640
gene-b3844	3080
gene-b3845	9279
gene-b3846	15511
gene-b3847	2311
gene-b3848	789
gene-b3849	4057
gene-b3850	659
gene-b3851	86643
gene-b3852	2
gene-b3853	0
gene-b3854	318026
gene-b3855	1085
gene-b3856	428
gene-b3857	261
gene-b3858	256
gene-b3859	837
gene-b3860	2673
gene-b3861	23
gene-b3862	31
gene-b3863	5189
gene-b3864	136
gene-b3865	1035
gene-b4457	8265
gene-b3866	1767
gene-b3867	2672
gene-b4686	1548
gene-b3868	3033
gene-b3869	1847
gene-b3870	333
gene-b3871	17656
gene-b3872	274
gene-b3873	203
gene-b3874	18
gene-b3875	51
gene-b3876	825
gene-b3877	18
gene-b3878	175
gene-b3879	29
gene-b3880	266
gene-b3881	214
gene-b3882	91
gene-b3883	1187
gene-b3884	839
gene-b3885	905
gene-b3886	4168
gene-b3887	3404
gene-b3888	2540
gene-b3889	20
gene-b3890	121
gene-b3891	952
gene-b3892	1623
gene-b3893	4540
gene-b3894	19731
gene-b3895	2426
gene-b3896	26
gene-b3897	38
gene-b3898	103
gene-b3899	134
gene-b3900	3
gene-b3901	8
gene-b3902	35
gene-b3903	44
gene-b3904	20
gene-b3905	123
gene-b3906	186
gene-b3907	488
gene-b3908	7031
gene-b3909	347
gene-b3910	3519
gene-b3911	2564
gene-b3912	2496
gene-b4484	4309
gene-b4716	2411
gene-b3915	2342
gene-b3916	20166
gene-b3917	101
gene-b3918	102
gene-b3919	6328
gene-b3920	44
gene-b3921	382
gene-b3922	4139
gene-b3923	7838
gene-b3924	1803
gene-b3925	7777
gene-b3926	211999
gene-b3927	170050
gene-b3928	2309
gene-b3929	4226
gene-b3930	471
gene-b3931	19027
gene-b3932	7340
gene-b3933	1382
gene-b3934	624
gene-b3935	194
gene-b3936	6837
gene-b3937	325
gene-b3938	1181
gene-b3939	463
gene-b3940	1229
gene-b3941	400
gene-b3942	8452
gene-b3943	220
gene-b3944	22
gene-b3945	711
gene-b3946	206
gene-b3947	309
gene-b3949	58
gene-b3950	14
gene-b3951	481
gene-b3952	90
gene-b3953	52
gene-b3954	146
gene-b3955	830
gene-b3956	5369
gene-b3957	1857
gene-b3958	64
gene-b3959	648
gene-b3960	3315
gene-b4458	0
gene-b3961	514
gene-b3962	5534
gene-b3963	3598
gene-b3964	4795
gene-b3965	12964
gene-b3966	1291
gene-b3967	761
gene-b3968	1081
gene-b3969	76
gene-b3970	553
gene-b3971	11
gene-b3972	741
gene-b3973	1064
gene-b3974	411
gene-b3976	53
gene-b3977	116
gene-b3978	188
gene-b3979	108
gene-b3980	4201
gene-b3981	18095
gene-b3982	11684
gene-b3983	4606
gene-b3984	13040
gene-b3985	16123
gene-b3986	52062
gene-b3987	88874
gene-b3988	116438
gene-b3989	119
gene-b4691	118
gene-b3990	4126
gene-b3991	2653
gene-b4407	2402
gene-b3992	5925
gene-b3993	2817
gene-b3994	13950
gene-b3995	4508
gene-b3996	1779
gene-b3997	959
gene-b3998	720
gene-b3999	409
gene-b4000	1604
gene-b4001	587
gene-b4002	473
gene-b4003	307
gene-b4004	1077
gene-b4005	557
gene-b4006	211
gene-b4007	619
gene-b4008	117
gene-b4009	560
gene-b4010	13
gene-b4011	524
gene-b4012	854
gene-b4013	95
gene-b4014	56453
gene-b4015	44328
gene-b4016	27383
gene-b4017	44
gene-b4018	262
gene-b4019	1814
gene-b4020	2229
gene-b4021	494
gene-b4022	1021
gene-b4023	377
gene-b4024	1246
gene-b4025	12845
gene-b4026	59
gene-b4027	4
gene-b4028	0
gene-b4029	433
gene-b4620	174
gene-b4030	81
gene-b4031	542
gene-b4032	234
gene-b4033	162
gene-b4034	89
gene-b4035	18
gene-b4036	182
gene-b4037	533
gene-b4039	1135
gene-b4040	2866
gene-b4041	13257
gene-b4042	1238
gene-b4043	15864
gene-b4044	2963
gene-b4045	1596
gene-b4046	689
gene-b4047	4
gene-b4048	20
gene-b4049	383
gene-b4050	447
gene-b4051	9408
gene-b4052	925
gene-b4053	198
gene-b4054	370
gene-b4621	0
gene-b4055	157
gene-b4056	3881
gene-b4057	4425
gene-b4058	19835
gene-b4059	3877
gene-b4060	60
gene-b4061	4012
gene-b4062	3299
gene-b4063	1964
gene-b4459	1370
gene-b4064	178
gene-b4065	1072
gene-b4066	31
gene-b4067	5000
gene-b4068	1268
gene-b4069	44894
gene-b4070	83
gene-b4071	35
gene-b4072	27
gene-b4073	53
gene-b4074	38
gene-b4075	27
gene-b4076	39
gene-b4077	516
gene-b4078	228
gene-b4079	1860
gene-b4080	25
gene-b4081	221
gene-b4082	56
gene-b4622	1
gene-b4083	17
gene-b4084	748
gene-b4085	160
gene-b4086	144
gene-b4087	108
gene-b4088	101
gene-b4089	485
gene-b4090	237
gene-b4487	380
gene-b4092	799
gene-b4093	414
gene-b4094	194
gene-b4095	90
gene-b4096	195
gene-b4097	81
gene-b4098	27
gene-b4099	4
gene-b4100	1
gene-b4101	6
gene-b4102	68
gene-b4105	50
gene-b4106	15
gene-b4107	6753
gene-b4108	3981
gene-b4109	95
gene-b4110	195
gene-b4111	1121
gene-b4703	203
gene-b4112	820
gene-b4113	2088
gene-b4114	897
gene-b4115	186
gene-b4116	127
gene-b4117	147
gene-b4118	672
gene-b4119	4083
gene-b4120	1575
gene-b4121	114
gene-b4122	263
gene-b4123	18
gene-b4124	430
gene-b4125	324
gene-b4126	726
gene-b4127	1620
gene-b4128	215
gene-b4559	99
gene-b4129	1562
gene-b4130	126
gene-b4131	415
gene-b4132	94
gene-b4133	528
gene-b4134	360
gene-b4135	5519
gene-b4136	662
gene-b4137	186
gene-b4138	7383
gene-b4139	34061
gene-b4140	20197
gene-b4141	4354
gene-b4142	18786
gene-b4143	121186
gene-b4144	399
gene-b4145	217
gene-b4146	430
gene-b4147	2039
gene-b4410	216
gene-b4411	1245
gene-b4148	1245
gene-b4149	2826
gene-b4150	158
gene-b4151	3644
gene-b4152	5338
gene-b4153	9549
gene-b4154	20599
gene-b4155	664
gene-b4156	288
gene-b4157	42
gene-b4158	51
gene-b4159	775
gene-b4160	836
gene-b4161	2382
gene-b4162	520
gene-b4163	40
gene-b4164	116
gene-b4165	161
gene-b4670	25
gene-b4166	4394
gene-b4167	12929
gene-b4168	1038
gene-b4169	1095
gene-b4170	1193
gene-b4171	20037
gene-b4172	6773
gene-b4173	7117
gene-b4174	13072
gene-b4175	4207
gene-b4176	37
gene-b4177	13951
gene-b4178	2010
gene-b4179	23968
gene-b4180	2496
gene-b4181	1
gene-b4182	8
gene-b4183	0
gene-b4184	1
gene-b4185	65
gene-b4186	118
gene-b4187	14261
gene-b4188	54966
gene-b4189	11693
gene-b4190	525
gene-b4191	371
gene-b4192	936
gene-b4193	339
gene-b4194	198
gene-b4195	273
gene-b4196	332
gene-b4197	597
gene-b4198	508
gene-b4199	4046
gene-b4200	1354
gene-b4201	609
gene-b4202	733
gene-b4203	5028
gene-b4204	34
gene-b4206	2354
gene-b4207	403
gene-b4208	15036
gene-b4209	878
gene-b4210	473
gene-b4211	161
gene-b4212	1448
gene-b4213	983
gene-b4214	65060
gene-b4215	480
gene-b4216	1653
gene-b4217	3247
gene-b4218	1752
gene-b4219	3013
gene-b4220	253
gene-b4221	1743
gene-b4222	515
gene-b4223	400
gene-b4224	7353
gene-b4225	5637
gene-b4226	2861
gene-b4227	22164
gene-b4485	9038
gene-b4230	5607
gene-b4231	4024
gene-b4232	4553
gene-b4233	2002
gene-b4234	20107
gene-b4235	6132
gene-b4237	380
gene-b4238	5761
gene-b4239	263
gene-b4240	702
gene-b4241	391
gene-b4702	386
gene-b4242	892
gene-b4243	402
gene-b4244	34
gene-b4245	28
gene-b4246	73
gene-b4248	466
gene-b4249	45
gene-b4251	76
gene-b4252	1502
gene-b4253	135
gene-b4254	175
gene-b4255	3295
gene-b4256	204
gene-b4257	51
gene-b4258	9463
gene-b4259	1096
gene-b4260	11061
gene-b4261	7682
gene-b4262	7674
gene-b4263	7686
gene-b4264	228
gene-b4265	292
gene-b4266	81
gene-b4267	87
gene-b4268	462
gene-b4269	4456
gene-b4270	14
gene-b4272	28
gene-b4273	376
gene-b4277	9
gene-b4278	756
gene-b4279	1255
gene-b4280	999
gene-b4655	25
gene-b4284	51
gene-b4287	123
gene-b4288	104
gene-b4289	46
gene-b4290	181
gene-b4291	420
gene-b4292	1230
gene-b4293	1293
gene-b4294	474
gene-b4295	3739
gene-b4296	89
gene-b4297	838
gene-b4298	337
gene-b4299	219
gene-b4300	1439
gene-b4301	1824
gene-b4302	1012
gene-b4624	495
gene-b4303	4804
gene-b4304	9161
gene-b4565	3064
gene-b4305	10792
gene-b4306	93
gene-b4307	36
gene-b4566	117
gene-b4309	170
gene-b4310	2119
gene-b4311	155
gene-b4312	70
gene-b4313	115
gene-b4314	603
gene-b4315	63
gene-b4316	45
gene-b4317	99
gene-b4318	98
gene-b4319	55
gene-b4320	376
gene-b4321	889
gene-b4322	4070
gene-b4323	3870
gene-b4324	5459
gene-b4325	22
gene-b4720	1
gene-b4721	10
gene-b4722	4
gene-b4326	173
gene-b4327	478
gene-b4328	227
gene-b4329	12
gene-b4330	40
gene-b4331	35
gene-b4332	409
gene-b4333	64
gene-b4715	165
gene-b4334	197
gene-b4335	1500
gene-b4336	2208
gene-b4337	179
gene-b4340	787
gene-b4341	2
gene-b4342	321
gene-b4345	3
gene-b4346	2062
gene-b4347	170
gene-b4625	32
gene-b4348	36
gene-b4349	281
gene-b4350	959
gene-b4351	615
gene-b4352	225
gene-b4353	51
gene-b4354	609
gene-b4355	968
gene-b4356	711
gene-b4357	324
gene-b4358	24
gene-b4359	2459
gene-b4360	138
gene-b4361	806
gene-b4362	1272
gene-b4363	81
gene-b4364	269
gene-b4365	44
gene-b4366	411
gene-b4367	8439
gene-b4567	8967
gene-b4368	5680
gene-b4369	2918
gene-b4370	927
gene-b4371	555
gene-b4372	128
gene-b4373	925
gene-b4374	3121
gene-b4375	769
gene-b4376	87433
gene-b4568	4894
gene-b4377	1737
gene-b4378	1016
gene-b4379	311
gene-b4380	4986
gene-b4381	17193
gene-b4382	17145
gene-b4383	46170
gene-b4384	19837
gene-b4385	696
gene-b4386	501
gene-b4387	320
gene-b4388	605
gene-b4389	1154
gene-b4390	6283
gene-b4391	5446
gene-b4392	3842
gene-b4393	318
gene-b4394	297
gene-b4395	10438
gene-b4396	27232
gene-b4397	389
gene-b4398	433
gene-b4399	323
gene-b4400	239
gene-b4401	149813
gene-b4402	5106
gene-b4403	91
