Geneid	1714__30min_-_N=2_library-read-1.fastq.gz
gene-b0734	23960
gene-b4515	3039
gene-b0735	2186
gene-b0736	597
gene-b0737	1586
gene-b0738	809
gene-b0739	3034
gene-b0740	13994
gene-b0741	11345
gene-b0742	10019
gene-b0743	947
gene-b0744	633
gene-b0745	678
gene-b0746	277
gene-b0747	262
gene-b0748	195
gene-b0749	46
gene-b0750	1240
gene-b0751	3771
gene-b0752	2708
gene-b0753	9022
gene-b0754	1328
gene-b0755	97677
gene-b0756	5237
gene-b0757	1936
gene-b0758	929
gene-b0759	914
gene-b0760	739
gene-b0761	142
gene-b0762	206
gene-b0763	282
gene-b0764	358
gene-b0765	768
gene-b0766	378
gene-b0767	1567
gene-b0768	84
gene-b0769	0
gene-b0770	45
gene-b0771	24
gene-b0772	359
gene-b0773	5264
gene-b0774	2695
gene-b0775	3244
gene-b0776	883
gene-b0777	115
gene-b0778	74
gene-b0779	25565
gene-b0780	662
gene-b0781	5848
gene-b0782	3514
gene-b0783	3476
gene-b0784	1316
gene-b0785	1458
gene-b0786	23855
gene-b0787	129
gene-b0788	388
gene-b0789	1866
gene-b0790	2477
gene-b0791	10033
gene-b0792	2342
gene-b0793	397
gene-b0794	759
gene-b0795	1476
gene-b0796	483
gene-b0797	256
gene-b0798	72
gene-b0799	1413
gene-b0800	5566
gene-b0801	1002
gene-b0802	3967
gene-b0803	387
gene-b0804	309
gene-b0805	626
gene-b0806	12117
gene-b0807	427
gene-b0808	1738
gene-b0809	1216
gene-b0810	1523
gene-b0811	7628
gene-b0812	443287
gene-b0813	222
gene-b4736	475
gene-b0814	100241
gene-b0815	335
gene-b4416	14381
gene-b4705	14149
gene-b0817	2072
gene-b0818	1055
gene-b0819	4979
gene-b0820	1965
gene-b0821	744
gene-b0822	959
gene-b0823	951
gene-b0824	143
gene-b0825	689
gene-b0826	1239
gene-b0827	2173
gene-b0828	5100
gene-b0829	2767
gene-b0830	1039
gene-b0831	374
gene-b0832	156
gene-b0833	66
gene-b0834	8
gene-b0835	176
gene-b0836	505931
gene-b0837	2191
gene-b0838	787
gene-b0839	7612
gene-b0840	822
gene-b0841	369
gene-b0842	7203
gene-b0843	360
gene-b0844	372
gene-b0845	227
gene-b0846	252
gene-b4417	289
gene-b0847	1617
gene-b0848	225
gene-b0849	185
gene-b0850	223
gene-b0851	540
gene-b0852	719
gene-b0853	856
gene-b0854	8657
gene-b0855	1409
gene-b0856	706
gene-b0857	683
gene-b0858	139
gene-b0859	272
gene-b0860	63
gene-b0861	342
gene-b0862	221
gene-b0863	3645
gene-b0864	2292
gene-b0865	5403
gene-b0866	6359
gene-b0867	5410
gene-b0868	1157
gene-b0869	981
gene-b0870	5589
gene-b0871	21903
gene-b0872	319
gene-b0873	185
gene-b0874	196
gene-b0875	3470
gene-b0876	3066
gene-b0877	1337
gene-b0878	980
gene-b0879	7459
gene-b0880	19506
gene-b0881	13425
gene-b0882	231444
gene-b0883	152
gene-b0884	479
gene-b0885	1474
gene-b0886	474
gene-b0887	395
gene-b0888	405
gene-b0889	1938
gene-b0890	6079
gene-b0891	1775
gene-b0892	970
gene-b0893	11194
gene-b0894	418
gene-b0895	136
gene-b0896	1044
gene-b0897	2565
gene-b0898	1583
gene-b0899	568
gene-b0900	186
gene-b0901	30
gene-b0902	13244
gene-b0903	230682
gene-b0904	10971
gene-b0905	281
gene-b0906	3365
gene-b0907	5905
gene-b0908	506
gene-b0909	108
gene-b0910	3999
gene-b0911	84175
gene-b0912	6465
gene-b0913	487
gene-b0914	1290
gene-b0915	1356
gene-b0916	214
gene-b0917	308
gene-b0918	2399
gene-b0919	1827
gene-b0920	289
gene-b0921	698
gene-b0922	818
gene-b0923	275
gene-b0924	2936
gene-b0925	22568
gene-b0926	1448
gene-b0927	1583
gene-b0928	5330
gene-b0929	2729
gene-b0930	22852
gene-b0931	839
gene-b0932	15083
gene-b0933	862
gene-b0934	127
gene-b0935	56
gene-b0936	17
gene-b0937	68
gene-b0938	19
gene-b0939	32
gene-b0940	465
gene-b0941	105
gene-b0942	40
gene-b0943	94
gene-b0944	188
gene-b0945	53
gene-b0946	165
gene-b0947	339
gene-b0948	2001
gene-b0949	7539
gene-b0950	7407
gene-b0951	4454
gene-b0952	2068
gene-b0953	23539
gene-b0954	21746
gene-b0955	33470
gene-b0956	1431
gene-b0957	179351
gene-b0958	4184
gene-b0959	708
gene-b0960	1024
gene-b0961	57
gene-b0962	4492
gene-b0963	10608
gene-b0964	3881
gene-b0965	13060
gene-b0966	183654
gene-b0967	3755
gene-b0968	4436
gene-b0969	2113
gene-b0970	14834
gene-b0971	189
gene-b0972	2814
gene-b0973	3080
gene-b0974	1338
gene-b0975	1541
gene-b0976	492
gene-b0977	399
gene-b0978	11010
gene-b0979	6770
gene-b4592	1017
gene-b0980	3065
gene-b0981	2304
gene-b0982	144
gene-b0983	98
gene-b0984	112
gene-b0985	26
gene-b0986	67
gene-b0987	48
gene-b4516	9
gene-b0988	615
gene-b0989	11
gene-b0990	25
gene-b4723	2
gene-b0991	14
gene-b4517	42
gene-b0992	112
gene-b0993	243
gene-b0994	323
gene-b0995	310
gene-b0996	77
gene-b0997	442
gene-b0998	280
gene-b0999	6998
gene-b1000	11899
gene-b1001	10
gene-b1002	17457
gene-b1003	46083
gene-b1004	49917
gene-b4518	1541
gene-b1006	988
gene-b1007	97
gene-b1008	50
gene-b1009	30
gene-b1010	3
gene-b1011	12
gene-b1012	35
gene-b1013	455
gene-b1014	13423
gene-b4737	71
gene-b1015	4959
gene-b1018	139
gene-b1019	273
gene-b1020	21647
gene-b1021	92
gene-b1022	53
gene-b1023	84
gene-b1024	321
gene-b1025	72
gene-b1026	2
gene-b1027	3
gene-b1029	48
gene-b1032	35
gene-b1033	681
gene-b1034	752
gene-b1035	828
gene-b1036	621
gene-b1037	509
gene-b1038	142
gene-b1039	99
gene-b1040	1213
gene-b1041	75
gene-b1042	594
gene-b1043	20
gene-b1044	68
gene-b1045	1874
gene-b1046	4204
gene-b1047	277
gene-b1048	6425
gene-b1049	6151
gene-b1050	6535
gene-b1051	18448
gene-b1053	240
gene-b1054	1190
gene-b1055	328
gene-b1056	71
gene-b1057	66
gene-b1058	8
gene-b1059	665
gene-b1060	1715
gene-b1061	2
gene-b1062	195
gene-b1063	2042
gene-b1064	1358
gene-b1065	239
gene-b1066	2864
gene-b1067	5288
gene-b1068	3227
gene-b1069	455
gene-b1070	191
gene-b1071	243
gene-b1072	121
gene-b1073	70
gene-b1074	71
gene-b1075	266
gene-b1076	518
gene-b1077	198
gene-b1078	183
gene-b1079	77
gene-b1080	46
gene-b1081	49
gene-b1082	583
gene-b1083	1351
gene-b1084	22462
gene-b1085	1207
gene-b1086	714
gene-b1087	1558
gene-b4418	3700
gene-b1088	16090
gene-b1089	11046
gene-b1090	4138
gene-b1091	9552
gene-b1092	9413
gene-b1093	5951
gene-b1094	12207
gene-b1095	25351
gene-b1096	507
gene-b1097	334
gene-b1098	593
gene-b1099	432
gene-b1100	18488
gene-b1101	20943
gene-b1102	1105
gene-b1103	4120
gene-b1104	1020
gene-b1105	1640
gene-b1106	905
gene-b1107	4563
gene-b1108	14338
gene-b1109	1619
gene-b1110	4328
gene-b1111	1179
gene-b1112	1298
gene-b1113	200
gene-b1114	8211
gene-b1115	40
gene-b1116	323
gene-b1117	77
gene-b1118	2457
gene-b1119	4794
gene-b1120	1307
gene-b1121	1
gene-b1122	14
gene-b1123	1190
gene-b1124	213
gene-b1125	245
gene-b1126	376
gene-b1127	10148
gene-b1128	15673
gene-b1129	1141
gene-b1130	2645
gene-b1131	471
gene-b1132	439
gene-b1133	1413
gene-b1134	194
gene-b1135	183
gene-b1136	11193
gene-b1137	146
gene-b1138	84
gene-b1139	115
gene-b1140	601
gene-b1141	255
gene-b1142	1164
gene-b1143	1371
gene-b1144	1271
gene-b1145	473
gene-b1146	102
gene-b1147	185
gene-b1148	63
gene-b1149	253
gene-b1150	7
gene-b1151	103
gene-b1153	15
gene-b1154	23
gene-b1155	82
gene-b1156	37
gene-b1158	47
gene-b1159	284
gene-b1160	3
gene-b4738	0
gene-b4739	1
gene-b1161	13
gene-b1162	1712
gene-b1163	314
gene-b1164	3279
gene-b1165	5272
gene-b1166	1393
gene-b1167	815
gene-b1168	850
gene-b4520	48
gene-b1171	199
gene-b1172	98
gene-b4593	20
gene-b4594	3
gene-b1174	437
gene-b1175	3335
gene-b1176	295
gene-b1177	367
gene-b1178	3165
gene-b1179	525
gene-b1180	7638
gene-b1181	5759
gene-b1182	201
gene-b1183	453
gene-b1184	1324
gene-b1185	1160
gene-b1186	337
gene-b1187	961
gene-b1188	109827
gene-b1189	29442
gene-b1190	10017
gene-b4740	127
gene-b1191	266
gene-b1192	800
gene-b1193	2733
gene-b1194	419
gene-b1195	8089
gene-b1196	1126
gene-b1197	5442
gene-b1198	1750
gene-b1199	967
gene-b1200	1667
gene-b1201	496
gene-b1202	1008
gene-b1203	1315
gene-b1204	266
gene-b1205	89032
gene-b1206	5673
gene-b1207	2880
gene-b1208	1248
gene-b1209	1131
gene-b1210	788
gene-b1211	377
gene-b1212	158
gene-b1213	422
gene-b1214	3858
gene-b1215	3802
gene-b4419	86
gene-b4420	103
gene-b4421	10
gene-b4422	0
gene-b4423	0
gene-b4424	0
gene-b1216	153
gene-b1217	832
gene-b1218	7110
gene-b1219	889
gene-b1220	383
gene-b1221	660
gene-b1222	1707
gene-b1223	1533
gene-b1224	953
gene-b1225	1077
gene-b1226	555
gene-b1227	444
gene-b1228	25
gene-b4425	34
gene-b1229	0
gene-b1230	115
gene-b1231	74
gene-b1232	1096
gene-b1233	415
gene-b1234	3788
gene-b1235	9808
gene-b1236	12202
gene-b1237	49687
gene-b1238	109
gene-b1241	264510
gene-b1242	126
gene-b4711	1409
gene-b1243	9181
gene-b1244	971
gene-b1245	2255
gene-b1246	3145
gene-b1247	3377
gene-b1248	733
gene-b1249	2494
gene-b4595	127
gene-b1250	649
gene-b1251	109
gene-b1252	2304
gene-b1253	166
gene-b1254	8717
gene-b1255	3642
gene-b1256	648
gene-b1257	401
gene-b1258	598
gene-b1259	695
gene-b1260	638
gene-b1261	1182
gene-b1262	1144
gene-b1263	263
gene-b1264	40
gene-b1265	0
gene-b1266	2704
gene-b1267	10687
gene-b1268	2513
gene-b1269	1079
gene-b1270	634
gene-b1271	582
gene-b1272	2260
gene-b1273	426
gene-b1274	14933
gene-b1275	764
gene-b4522	235
gene-b4523	196
gene-b4741	370
gene-b1276	44089
gene-b1277	2310
gene-b1278	1456
gene-b1279	2310
gene-b1280	2030
gene-b1281	293
gene-b1282	218
gene-b1283	3097
gene-b1284	508
gene-b4596	104
gene-b1285	10996
gene-b4672	175
gene-b1286	641
gene-b1287	458
gene-b1288	12108
gene-b1289	570
gene-b1290	2105
gene-b1291	6193
gene-b1292	9968
gene-b1293	11708
gene-b1294	7254
gene-b1295	118
gene-b1296	1646
gene-b4742	143
gene-b1297	3481
gene-b1298	3106
gene-b1299	4363
gene-b1300	331
gene-b1301	411
gene-b1302	255
gene-b1303	221
gene-b1304	5632
gene-b1305	1830
gene-b1306	2657
gene-b1307	2286
gene-b1308	607
gene-b1309	5
gene-b1310	0
gene-b1311	105
gene-b1312	63
gene-b1313	104
gene-b1314	103
gene-b1315	28
gene-b1316	90
gene-b1317	147
gene-b1319	36
gene-b1320	76
gene-b1321	5608
gene-b1322	5173
gene-b1323	6261
gene-b1324	5475
gene-b1325	4365
gene-b1326	10703
gene-b4525	109
gene-b4673	58
gene-b1327	447
gene-b1328	268
gene-b1329	1559
gene-b1330	305
gene-b1331	5
gene-b1332	796
gene-b1333	70352
gene-b1334	17359
gene-b1335	132
gene-b1336	119
gene-b1337	325
gene-b1338	135
gene-b1339	245
gene-b4426	186
gene-b1340	1178
gene-b1341	2042
gene-b1342	1623
gene-b4699	44
gene-b4743	276
gene-b1343	545
gene-b1344	1665
gene-b1345	838
gene-b1346	0
gene-b1347	19
gene-b4714	19
gene-b1348	10
gene-b1349	130
gene-b1350	249
gene-b1351	5
gene-b4526	20
gene-b1352	11
gene-b1353	29
gene-b4527	18
gene-b1355	9
gene-b1356	70
gene-b1357	87
gene-b1358	184
gene-b1359	147
gene-b1360	212
gene-b1361	234
gene-b4528	62
gene-b1363	128
gene-b1365	20
gene-b1366	43
gene-b1368	363
gene-b1370	145
gene-b1372	644
gene-b1373	14
gene-b1374	1223
gene-b1375	0
gene-b4744	37
gene-b1376	27378
gene-b1377	96
gene-b4427	1517
gene-b1378	65919
gene-b4529	2206
gene-b1379	1851
gene-b1380	15619
gene-b1381	1337
gene-b1382	160
gene-b1383	282
gene-b1384	869
gene-b1385	1840
gene-b1386	374
gene-b1387	166
gene-b1388	91
gene-b1389	26
gene-b1390	176
gene-b1391	115
gene-b1392	44
gene-b1393	73
gene-b1394	46
gene-b1395	162
gene-b1396	80
gene-b1397	1932
gene-b1398	1878
gene-b1399	1639
gene-b1400	838
gene-b4674	1
gene-b1402	50
gene-b1403	77
gene-b1404	125
gene-b1406	2132
gene-b1407	108
gene-b1408	16
gene-b1409	6
gene-b1410	127
gene-b1411	319
gene-b1412	455
gene-b1413	7496
gene-b1414	1809
gene-b1415	40300
gene-b1418	149
gene-b4597	18
gene-b1419	458
gene-b4428	3454
gene-b1420	3328
gene-b4429	1490
gene-b1421	370
gene-b1422	983
gene-b1423	6932
gene-b1424	1521
gene-b1426	380
gene-b1427	684
gene-b1428	2008
gene-b1429	651
gene-b1430	199
gene-b1431	18651
gene-b1432	466
gene-b1433	387
gene-b1434	138
gene-b1435	488
gene-b1436	534
gene-b4532	502
gene-b1438	626
gene-b1439	641
gene-b1440	9959
gene-b1441	3414
gene-b1442	1472
gene-b1443	1177
gene-b1444	2752
gene-b4598	369
gene-b1445	47
gene-b1446	2595
gene-b1447	808
gene-b1448	680
gene-b1449	3541
gene-b1450	412
gene-b1451	338
gene-b1452	2027
gene-b1453	240
gene-b1454	1631
gene-b1455	10
gene-b1457	88
gene-b4745	30
gene-b1460	47
gene-b1461	122
gene-b1462	1596
gene-b1463	1157
gene-b1464	540
gene-b1465	421
gene-b1466	117
gene-b1467	276
gene-b1468	1431
gene-b1469	361
gene-b1471	4
