Geneid	1714__ROC_MOXI_library-read-1.fastq.gz
gene-b0925	3839
gene-b0926	15156
gene-b0927	15398
gene-b0928	38524
gene-b0929	70873
gene-b0930	53146
gene-b0931	4268
gene-b0932	41355
gene-b0933	207
gene-b0934	55
gene-b0935	94
gene-b0936	52
gene-b0937	46
gene-b0938	140
gene-b0939	65
gene-b0940	218
gene-b0941	268
gene-b0942	89
gene-b0943	137
gene-b0944	530
gene-b0945	694
gene-b0946	752
gene-b0947	2055
gene-b0948	16763
gene-b0949	10216
gene-b0950	4265
gene-b0951	3774
gene-b0952	1455
gene-b0953	1051
gene-b0954	6178
gene-b0955	16718
gene-b0956	1031
gene-b0957	127891
gene-b0958	56508
gene-b0959	340
gene-b0960	3618
gene-b0961	1155
gene-b0962	8008
gene-b0963	89653
gene-b0964	127
gene-b0965	2683
gene-b0966	5931
gene-b0967	6573
gene-b0968	331
gene-b0969	682
gene-b0970	25769
gene-b0971	28
gene-b0972	165
gene-b0973	114
gene-b0974	119
gene-b0975	238
gene-b0976	148
gene-b0977	127
gene-b0978	867
gene-b0979	684
gene-b4592	184
gene-b0980	722
gene-b0981	1301
gene-b0982	325
gene-b0983	414
gene-b0984	596
gene-b0985	268
gene-b0986	224
gene-b0987	149
gene-b4516	100
gene-b0988	3420
gene-b0989	21
gene-b0990	506
gene-b4723	99
gene-b0991	79
gene-b4517	152
gene-b0992	123
gene-b0993	760
gene-b0994	352
gene-b0995	1712
gene-b0996	124
gene-b0997	268
gene-b0998	339
gene-b0999	1093
gene-b1000	1111
gene-b1001	235
gene-b1002	22315
gene-b1003	594
gene-b1004	249
gene-b4518	74
gene-b1006	129
gene-b1007	62
gene-b1008	45
gene-b1009	38
gene-b1010	10
gene-b1011	42
gene-b1012	17
gene-b1013	4372
gene-b1014	159178
gene-b4737	148
gene-b1015	49610
gene-b1018	1661
gene-b1019	3847
gene-b1020	2012
gene-b1021	251
gene-b1022	229
gene-b1023	143
gene-b1024	235
gene-b1025	199
gene-b1026	37
gene-b1027	7
gene-b1029	38
gene-b1032	13
gene-b1033	2925
gene-b1034	2980
gene-b1035	4620
gene-b1036	1482
gene-b1037	196
gene-b1038	61
gene-b1039	60
gene-b1040	429
gene-b1041	32
gene-b1042	133
gene-b1043	181
gene-b1044	1874
gene-b1045	1225
gene-b1046	1795
gene-b1047	1062
gene-b1048	11423
gene-b1049	17597
gene-b1050	282
gene-b1051	247
gene-b1053	329
gene-b1054	1151
gene-b1055	3093
gene-b1056	713
gene-b1057	236
gene-b1058	104
gene-b1059	1496
gene-b1060	376
gene-b1061	2502
gene-b1062	3234
gene-b1063	1529
gene-b1064	6232
gene-b1065	79
gene-b1066	1640
gene-b1067	7205
gene-b1068	4609
gene-b1069	2113
gene-b1070	2505
gene-b1071	2142
gene-b1072	3056
gene-b1073	8844
gene-b1074	13369
gene-b1075	22624
gene-b1076	50691
gene-b1077	17503
gene-b1078	15837
gene-b1079	7895
gene-b1080	4810
gene-b1081	2775
gene-b1082	4146
gene-b1083	3233
gene-b1084	37432
gene-b1085	3165
gene-b1086	3733
gene-b1087	3586
gene-b4418	18894
gene-b1088	114056
gene-b1089	76918
gene-b1090	54465
gene-b1091	50022
gene-b1092	57680
gene-b1093	74738
gene-b1094	154408
gene-b1095	231242
gene-b1096	1532
gene-b1097	2406
gene-b1098	1535
gene-b1099	2557
gene-b1100	2697
gene-b1101	46786
gene-b1102	534
gene-b1103	7899
gene-b1104	3735
gene-b1105	1576
gene-b1106	988
gene-b1107	4065
gene-b1108	12979
gene-b1109	8545
gene-b1110	1049
gene-b1111	1551
gene-b1112	171
gene-b1113	419
gene-b1114	12994
gene-b1115	150
gene-b1116	3016
gene-b1117	1770
gene-b1118	4994
gene-b1119	5500
gene-b1120	3312
gene-b1121	284
gene-b1122	78
gene-b1123	34651
gene-b1124	4136
gene-b1125	4797
gene-b1126	3931
gene-b1127	4070
gene-b1128	3662
gene-b1129	1335
gene-b1130	979
gene-b1131	14940
gene-b1132	5194
gene-b1133	12377
gene-b1134	883
gene-b1135	763
gene-b1136	60596
gene-b1137	1831
gene-b1138	3261
gene-b1139	1880
gene-b1140	555
gene-b1141	211
gene-b1142	582
gene-b1143	1206
gene-b1144	1178
gene-b1145	1054
gene-b1146	164
gene-b1147	275
gene-b1148	58
gene-b1149	205
gene-b1150	19
gene-b1151	93
gene-b1153	30
gene-b1154	35
gene-b1155	195
gene-b1156	92
gene-b1158	70
gene-b1159	2483
gene-b1160	11
gene-b4738	0
gene-b4739	22
gene-b1161	42
gene-b1162	1523
gene-b1163	539
gene-b1164	1823
gene-b1165	2073
gene-b1166	540
gene-b1167	579
gene-b1168	83
gene-b4520	418
gene-b1171	248
gene-b1172	511
gene-b4593	280
gene-b4594	12
gene-b1174	3950
gene-b1175	12909
gene-b1176	2953
gene-b1177	800
gene-b1178	3069
gene-b1179	1041
gene-b1180	4037
gene-b1181	1332
gene-b1182	77
gene-b1183	4333
gene-b1184	11836
gene-b1185	2294
gene-b1186	5735
gene-b1187	3486
gene-b1188	755
gene-b1189	36000
gene-b1190	35667
gene-b4740	1781
gene-b1191	1616
gene-b1192	820
gene-b1193	1310
gene-b1194	674
gene-b1195	52
gene-b1196	75
gene-b1197	413
gene-b1198	1859
gene-b1199	1054
gene-b1200	1637
gene-b1201	765
gene-b1202	848
gene-b1203	8066
gene-b1204	4482
gene-b1205	7417
gene-b1206	1884
gene-b1207	89763
gene-b1208	3748
gene-b1209	1486
gene-b1210	6703
gene-b1211	3132
gene-b1212	2323
gene-b1213	1435
gene-b1214	12829
gene-b1215	16631
gene-b4419	220
gene-b4420	204
gene-b4421	13
gene-b4422	11
gene-b4423	2
gene-b4424	7
gene-b1216	1232
gene-b1217	51
gene-b1218	739
gene-b1219	4469
gene-b1220	1048
gene-b1221	3932
gene-b1222	4287
gene-b1223	1538
gene-b1224	8257
gene-b1225	3744
gene-b1226	2329
gene-b1227	1564
gene-b1228	20
gene-b4425	1625
gene-b1229	380
gene-b1230	8739
gene-b1231	1016
gene-b1232	9316
gene-b1233	2413
gene-b1234	1349
gene-b1235	1914
gene-b1236	2521
gene-b1237	150182
gene-b1238	1508
gene-b1241	44082
gene-b1242	500
gene-b4711	2020
gene-b1243	37848
gene-b1244	5580
gene-b1245	8553
gene-b1246	16123
gene-b1247	12192
gene-b1248	2998
gene-b1249	3226
gene-b4595	248
gene-b1250	2335
gene-b1251	794
gene-b1252	1277
gene-b1253	947
gene-b1254	6524
gene-b1255	2282
gene-b1256	400
gene-b1257	130
gene-b1258	63
gene-b1259	12
gene-b1260	675
gene-b1261	1635
gene-b1262	1447
gene-b1263	232
gene-b1264	92
gene-b1265	5
gene-b1266	2252
gene-b1267	2655
gene-b1268	941
gene-b1269	9478
gene-b1270	2259
gene-b1271	3168
gene-b1272	7350
gene-b1273	778
gene-b1274	15898
gene-b1275	1849
gene-b4522	661
gene-b4523	715
gene-b4741	430
gene-b1276	9145
gene-b1277	11308
gene-b1278	786
gene-b1279	1488
gene-b1280	2804
gene-b1281	2154
gene-b1282	1025
