Geneid	1714__ROC_MOXI_N=2_library-read-1.fastq.gz
gene-b0568	2647
gene-b0569	1739
gene-b0570	926
gene-b0571	430
gene-b0572	46
gene-b0573	19
gene-b0574	49
gene-b0575	110
gene-b0576	1801
gene-b0577	1277
gene-b0578	14473
gene-b0579	919
gene-b0580	240
gene-b0581	172
gene-b4700	14
gene-b4415	19
gene-b0582	160
gene-b0583	295
gene-b0584	463
gene-b0585	261
gene-b4511	93
gene-b0586	3004
gene-b0587	62
gene-b0588	220
gene-b0589	289
gene-b0590	166
gene-b0591	800
gene-b0592	1784
gene-b0593	1355
gene-b0594	2916
gene-b0595	3276
gene-b0596	1922
gene-b0597	1623
gene-b0598	15010
gene-b4512	893
gene-b0599	1102
gene-b0600	118
gene-b0601	102
gene-b0602	63
gene-b0603	101
gene-b0604	1604
gene-b0605	161193
gene-b0606	22664
gene-b0607	1087
gene-b0608	130
gene-b4734	38
gene-b0610	369
gene-b0611	3323
gene-b0612	41
gene-b0613	5
gene-b0614	33
gene-b0615	89
gene-b0616	23
gene-b0617	3
gene-b0618	54
gene-b0619	340
gene-b0620	338
gene-b0621	254
gene-b0622	51
gene-b0623	19418
gene-b0624	421
gene-b0627	630
gene-b0628	12065
gene-b0629	273
gene-b0630	3932
gene-b0631	1185
gene-b0632	7563
gene-b0633	3766
gene-b0634	6516
gene-b0635	6343
gene-b0636	3673
gene-b0637	2237
gene-b0638	684
gene-b0639	1371
gene-b0640	8315
gene-b0641	17733
gene-b0642	56595
gene-b0643	2083
gene-b0644	620
gene-b0645	20
gene-b0646	45
gene-b0647	8
gene-b0648	46
gene-b0649	176
gene-b0650	727
gene-b0651	8255
gene-b0652	1018
gene-b0653	1045
gene-b0654	1219
gene-b0655	6141
gene-b0656	101
gene-b0657	5460
gene-b0658	9770
gene-b0659	4579
gene-b0660	7776
gene-b0661	39860
gene-b0662	2727
gene-b0664	1778
gene-b0665	2346
gene-b0666	2730
gene-b0668	2979
gene-b0670	1612
gene-b0672	1312
gene-b0673	633
gene-b0674	1046
gene-b0675	7554
gene-b0676	3515
gene-b0677	4585
gene-b0678	5896
gene-b0679	4989
gene-b0680	28971
gene-b0681	295
gene-b0682	45
gene-b0683	7503
gene-b4637	1844
gene-b0684	11801
gene-b0685	420
gene-b0686	401
gene-b0687	4828
gene-b0688	18273
gene-b0689	116
gene-b0692	112
gene-b0693	112
gene-b4590	16
gene-b0694	119
gene-b0695	2339
gene-b0696	406
gene-b0697	176
gene-b0698	96
gene-b4513	14
gene-b0699	1830
gene-b0700	662
gene-b0702	77
gene-b0704	89
gene-b4514	45
gene-b0706	94
gene-b0707	44
gene-b0708	339
gene-b0709	285
gene-b0710	3481
gene-b0711	3290
gene-b0712	1756
gene-b0713	467
gene-b0714	1202
gene-b0715	177
gene-b0716	150
gene-b0717	96
gene-b0718	121
gene-b0719	33
gene-b0720	50669
gene-b4735	3095
gene-b0721	55215
gene-b0722	43761
gene-b0723	127995
gene-b0724	27649
gene-b0726	74737
gene-b0727	34152
gene-b0728	11024
gene-b0729	13445
gene-b0730	248
gene-b0731	45
gene-b0732	745
gene-b0733	79122
gene-b0734	55761
gene-b4515	13037
gene-b0735	12178
gene-b0736	2778
gene-b0737	2944
gene-b0738	3062
gene-b0739	10528
gene-b0740	25126
gene-b0741	31362
gene-b0742	30369
gene-b0743	2032
gene-b0744	2281
gene-b0745	4634
gene-b0746	3225
gene-b0747	5659
gene-b0748	9115
gene-b0749	6471
gene-b0750	451
gene-b0751	694
gene-b0752	512
gene-b0753	59
gene-b0754	461
gene-b0755	35173
gene-b0756	8453
gene-b0757	9367
gene-b0758	13002
gene-b0759	7866
gene-b0760	1006
gene-b0761	527
gene-b0762	338
gene-b0763	2474
gene-b0764	1286
gene-b0765	2451
gene-b0766	1132
gene-b0767	948
gene-b0768	112
gene-b0769	60
gene-b0770	38
gene-b0771	403
gene-b0772	14961
gene-b0773	2073
gene-b0774	126
gene-b0775	172
gene-b0776	195
gene-b0777	177
gene-b0778	86
gene-b0779	24237
gene-b0780	1236
gene-b0781	11900
gene-b0782	11088
gene-b0783	13840
gene-b0784	4713
gene-b0785	3789
gene-b0786	2839
gene-b0787	76
gene-b0788	76
gene-b0789	89
gene-b0790	26
gene-b0791	1535
gene-b0792	596
gene-b0793	163
gene-b0794	438
gene-b0795	274
gene-b0796	230
gene-b0797	839
gene-b0798	170
gene-b0799	10315
gene-b0800	4996
gene-b0801	656
gene-b0802	1157
gene-b0803	89
gene-b0804	369
gene-b0805	2969
gene-b0806	61
gene-b0807	569
gene-b0808	171
gene-b0809	4091
gene-b0810	1126
gene-b0811	16929
gene-b0812	3373
gene-b0813	126
gene-b4736	383
gene-b0814	102045
gene-b0815	1222
gene-b4416	594
gene-b4705	454
gene-b0817	2303
gene-b0818	1132
gene-b0819	4425
gene-b0820	6902
gene-b0821	314
gene-b0822	561
gene-b0823	408
gene-b0824	50
gene-b0825	851
gene-b0826	9738
gene-b0827	5924
gene-b0828	405
gene-b0829	1367
gene-b0830	752
gene-b0831	416
gene-b0832	122
gene-b0833	2186
gene-b0834	1113
gene-b0835	3527
gene-b0836	5429
gene-b0837	600
gene-b0838	482
gene-b0839	3353
gene-b0840	954
gene-b0841	1579
gene-b0842	1217
gene-b0843	254
gene-b0844	726
gene-b0845	516
gene-b0846	568
gene-b4417	246
gene-b0847	1672
gene-b0848	825
gene-b0849	1939
gene-b0850	1283
gene-b0851	2111
gene-b0852	5917
gene-b0853	18048
gene-b0854	434
gene-b0855	166
gene-b0856	57
gene-b0857	297
gene-b0858	221
gene-b0859	1837
gene-b0860	335
gene-b0861	655
gene-b0862	521
gene-b0863	924
gene-b0864	940
gene-b0865	318
gene-b0866	489
gene-b0867	271
gene-b0868	1190
gene-b0869	1052
gene-b0870	3379
gene-b0871	341
gene-b0872	140
gene-b0873	81
gene-b0874	231
gene-b0875	58
gene-b0876	1874
gene-b0877	3793
gene-b0878	512
gene-b0879	1088
gene-b0880	1779
gene-b0881	5561
gene-b0882	33824
gene-b0883	460
gene-b0884	4911
gene-b0885	1389
gene-b0886	2743
gene-b0887	2954
gene-b0888	10953
gene-b0889	1625
gene-b0890	23793
gene-b0891	1923
gene-b0892	4294
gene-b0893	25118
gene-b0894	333
gene-b0895	28
gene-b0896	117
gene-b0897	48
gene-b0898	477
gene-b0899	678
gene-b0900	247
gene-b0901	230
gene-b0902	6014
gene-b0903	264347
gene-b0904	10230
gene-b0905	25223
gene-b0906	145
gene-b0907	2637
gene-b0908	1866
gene-b0909	37
gene-b0910	6587
gene-b0911	316569
gene-b0912	7806
gene-b0913	904
gene-b0914	19130
gene-b0915	1863
gene-b0916	1122
gene-b0917	2624
gene-b0918	4850
gene-b0919	299
gene-b0920	365
gene-b0921	1607
gene-b0922	8585
gene-b0923	6083
gene-b0924	26904
gene-b0925	2615
gene-b0926	9224
gene-b0927	10883
gene-b0928	29523
gene-b0929	26644
gene-b0930	52901
gene-b0931	2729
gene-b0932	22869
gene-b0933	133
gene-b0934	64
gene-b0935	68
gene-b0936	22
gene-b0937	38
gene-b0938	46
gene-b0939	52
gene-b0940	125
gene-b0941	136
gene-b0942	65
gene-b0943	87
gene-b0944	387
gene-b0945	1131
gene-b0946	533
gene-b0947	1393
gene-b0948	19798
gene-b0949	13160
gene-b0950	6481
gene-b0951	4715
gene-b0952	1544
gene-b0953	711
gene-b0954	5513
gene-b0955	18335
gene-b0956	609
gene-b0957	104470
gene-b0958	45782
gene-b0959	247
gene-b0960	4252
gene-b0961	1325
gene-b0962	6695
gene-b0963	67808
gene-b0964	73
gene-b0965	2776
gene-b0966	7900
gene-b0967	9388
gene-b0968	180
gene-b0969	543
gene-b0970	25240
gene-b0971	30
gene-b0972	183
gene-b0973	79
gene-b0974	86
gene-b0975	249
gene-b0976	162
gene-b0977	106
gene-b0978	1174
gene-b0979	959
gene-b4592	157
gene-b0980	495
gene-b0981	1099
gene-b0982	354
gene-b0983	658
gene-b0984	727
gene-b0985	236
gene-b0986	215
gene-b0987	118
gene-b4516	105
gene-b0988	2786
gene-b0989	37
gene-b0990	1018
gene-b4723	187
gene-b0991	44
gene-b4517	69
gene-b0992	72
gene-b0993	806
gene-b0994	375
gene-b0995	1257
gene-b0996	71
gene-b0997	210
gene-b0998	332
gene-b0999	796
gene-b1000	669
gene-b1001	171
gene-b1002	7343
gene-b1003	497
gene-b1004	179
gene-b4518	46
gene-b1006	133
gene-b1007	33
gene-b1008	25
gene-b1009	21
gene-b1010	9
gene-b1011	32
gene-b1012	11
gene-b1013	1776
gene-b1014	28443
gene-b4737	41
gene-b1015	7062
gene-b1018	1577
gene-b1019	3699
gene-b1020	1208
gene-b1021	163
gene-b1022	196
gene-b1023	90
gene-b1024	96
gene-b1025	152
gene-b1026	12
gene-b1027	4
gene-b1029	18
gene-b1032	7
gene-b1033	1554
gene-b1034	2168
gene-b1035	3786
gene-b1036	1301
gene-b1037	93
gene-b1038	36
gene-b1039	9
gene-b1040	99
gene-b1041	18
gene-b1042	118
gene-b1043	111
gene-b1044	1056
gene-b1045	732
gene-b1046	1560
gene-b1047	1375
gene-b1048	12145
gene-b1049	18029
gene-b1050	210
gene-b1051	239
gene-b1053	325
gene-b1054	1172
gene-b1055	4488
gene-b1056	758
gene-b1057	192
gene-b1058	75
gene-b1059	946
gene-b1060	385
gene-b1061	2864
gene-b1062	4282
gene-b1063	1281
gene-b1064	3878
gene-b1065	71
gene-b1066	917
gene-b1067	4889
gene-b1068	2881
gene-b1069	1993
gene-b1070	2082
gene-b1071	1580
gene-b1072	1612
gene-b1073	6250
gene-b1074	10325
gene-b1075	17801
gene-b1076	43802
gene-b1077	14193
gene-b1078	13603
gene-b1079	6584
gene-b1080	4066
gene-b1081	2466
gene-b1082	3194
gene-b1083	2588
gene-b1084	28786
gene-b1085	2564
gene-b1086	3205
gene-b1087	2963
gene-b4418	23762
gene-b1088	144338
gene-b1089	93624
gene-b1090	82411
gene-b1091	61303
gene-b1092	75581
gene-b1093	83584
gene-b1094	216580
gene-b1095	324781
gene-b1096	1405
gene-b1097	2416
gene-b1098	1503
gene-b1099	2792
gene-b1100	3362
gene-b1101	92184
gene-b1102	714
gene-b1103	5964
gene-b1104	3006
gene-b1105	1268
gene-b1106	1025
gene-b1107	3572
gene-b1108	8232
gene-b1109	32068
gene-b1110	2457
gene-b1111	1097
gene-b1112	351
gene-b1113	414
gene-b1114	10477
gene-b1115	92
gene-b1116	2820
gene-b1117	1726
gene-b1118	4103
gene-b1119	4395
gene-b1120	2501
gene-b1121	327
gene-b1122	209
gene-b1123	38295
gene-b1124	5099
gene-b1125	7756
gene-b1126	5893
gene-b1127	3199
gene-b1128	3216
gene-b1129	1182
gene-b1130	818
gene-b1131	23956
gene-b1132	8131
gene-b1133	13217
gene-b1134	1042
gene-b1135	768
gene-b1136	27376
gene-b1137	1360
gene-b1138	4036
gene-b1139	1452
gene-b1140	427
gene-b1141	105
gene-b1142	385
gene-b1143	639
gene-b1144	772
gene-b1145	637
gene-b1146	72
gene-b1147	255
gene-b1148	29
gene-b1149	133
gene-b1150	36
gene-b1151	92
gene-b1153	68
gene-b1154	49
gene-b1155	109
gene-b1156	84
gene-b1158	51
gene-b1159	1803
gene-b1160	7
gene-b4738	3
gene-b4739	5
gene-b1161	53
gene-b1162	1149
gene-b1163	363
gene-b1164	1169
gene-b1165	1027
gene-b1166	216
gene-b1167	222
gene-b1168	68
gene-b4520	384
gene-b1171	326
gene-b1172	1024
gene-b4593	529
gene-b4594	32
gene-b1174	2052
gene-b1175	6772
gene-b1176	1854
gene-b1177	523
gene-b1178	3050
gene-b1179	565
gene-b1180	2357
gene-b1181	873
gene-b1182	111
gene-b1183	4456
gene-b1184	15528
gene-b1185	2051
gene-b1186	4010
gene-b1187	3655
gene-b1188	438
gene-b1189	14257
gene-b1190	13058
gene-b4740	855
gene-b1191	1310
gene-b1192	416
gene-b1193	968
gene-b1194	596
gene-b1195	21
gene-b1196	60
gene-b1197	276
gene-b1198	1139
gene-b1199	652
gene-b1200	983
gene-b1201	549
gene-b1202	730
gene-b1203	7619
gene-b1204	4847
gene-b1205	5879
gene-b1206	2488
gene-b1207	104994
gene-b1208	4011
gene-b1209	1576
gene-b1210	6142
gene-b1211	3306
gene-b1212	2852
gene-b1213	1770
gene-b1214	11707
gene-b1215	16456
gene-b4419	241
gene-b4420	182
gene-b4421	15
gene-b4422	4
gene-b4423	4
gene-b4424	1
gene-b1216	1337
gene-b1217	35
gene-b1218	396
gene-b1219	2446
gene-b1220	851
gene-b1221	3157
gene-b1222	3556
gene-b1223	1370
gene-b1224	5408
gene-b1225	2249
gene-b1226	1224
gene-b1227	1001
gene-b1228	46
gene-b4425	2206
gene-b1229	477
gene-b1230	12345
gene-b1231	1437
gene-b1232	7729
gene-b1233	2300
gene-b1234	848
gene-b1235	1371
gene-b1236	1953
gene-b1237	97228
gene-b1238	1401
gene-b1241	37375
gene-b1242	374
gene-b4711	1880
gene-b1243	22479
gene-b1244	3703
gene-b1245	8962
gene-b1246	16158
gene-b1247	13164
gene-b1248	3064
gene-b1249	2004
gene-b4595	348
gene-b1250	2282
gene-b1251	389
gene-b1252	1185
gene-b1253	1108
gene-b1254	10747
gene-b1255	2974
gene-b1256	93
gene-b1257	90
gene-b1258	29
gene-b1259	12
gene-b1260	291
gene-b1261	868
gene-b1262	604
gene-b1263	154
gene-b1264	61
gene-b1265	5
gene-b1266	1933
gene-b1267	2208
gene-b1268	1025
gene-b1269	11112
gene-b1270	1874
gene-b1271	2001
gene-b1272	7863
gene-b1273	726
gene-b1274	14211
gene-b1275	877
gene-b4522	507
gene-b4523	617
gene-b4741	355
gene-b1276	5234
gene-b1277	13321
gene-b1278	552
gene-b1279	1029
gene-b1280	1551
gene-b1281	2485
gene-b1282	1374
gene-b1283	329
gene-b1284	8536
gene-b4596	1194
gene-b1285	256
gene-b4672	29
gene-b1286	14492
gene-b1287	444
gene-b1288	39496
gene-b1289	314
gene-b1290	1360
gene-b1291	1010
gene-b1292	870
gene-b1293	665
gene-b1294	1764
gene-b1295	354
gene-b1296	348
gene-b4742	204
gene-b1297	1190
gene-b1298	209
gene-b1299	1299
gene-b1300	51
gene-b1301	67
gene-b1302	103
gene-b1303	361
gene-b1304	2313
gene-b1305	367
gene-b1306	471
gene-b1307	331
gene-b1308	5532
gene-b1309	278
gene-b1310	53
gene-b1311	59
gene-b1312	26
gene-b1313	26
gene-b1314	34
gene-b1315	70
gene-b1316	90
gene-b1317	8
gene-b1319	8
gene-b1320	341
gene-b1321	1556
gene-b1322	873
gene-b1323	7189
gene-b1324	12591
gene-b1325	1539
gene-b1326	2060
gene-b4525	95
gene-b4673	30
gene-b1327	118
gene-b1328	312
gene-b1329	5334
gene-b1330	3299
gene-b1331	26
gene-b1332	1348
gene-b1333	5593
gene-b1334	23478
gene-b1335	1067
gene-b1336	209
gene-b1337	172
gene-b1338	112
gene-b1339	699
gene-b4426	125
gene-b1340	1225
gene-b1341	797
gene-b1342	468
gene-b4699	57
gene-b4743	29
gene-b1343	1234
gene-b1344	5297
gene-b1345	856
gene-b1346	17
gene-b1347	28
gene-b4714	23
gene-b1348	12
gene-b1349	130
gene-b1350	308
gene-b1351	23
gene-b4526	21
gene-b1352	13
gene-b1353	367
gene-b4527	51
gene-b1355	0
gene-b1356	2455
gene-b1357	137
gene-b1358	36
gene-b1359	69
gene-b1360	50
gene-b1361	69
gene-b4528	25
gene-b1363	1715
gene-b1365	81
gene-b1366	127
gene-b1368	116
gene-b1370	301
gene-b1372	252
gene-b1373	10
gene-b1374	120
gene-b1375	173
gene-b4744	261
gene-b1376	1011
gene-b1377	33
gene-b4427	838
gene-b1378	11539
gene-b4529	2723
gene-b1379	4476
gene-b1380	10602
gene-b1381	3203
gene-b1382	441
gene-b1383	320
gene-b1384	4236
gene-b1385	412
gene-b1386	143
gene-b1387	200
gene-b1388	256
gene-b1389	11
gene-b1390	87
gene-b1391	79
gene-b1392	74
gene-b1393	34
gene-b1394	60
gene-b1395	239
gene-b1396	46
gene-b1397	1518
gene-b1398	3135
gene-b1399	1945
gene-b1400	621
gene-b4674	3
gene-b1402	23
gene-b1403	4
gene-b1404	42
gene-b1406	1528
gene-b1407	208
gene-b1408	12
gene-b1409	39
gene-b1410	168
gene-b1411	315
gene-b1412	1612
gene-b1413	11380
gene-b1414	1608
gene-b1415	14487
gene-b1418	464
gene-b4597	232
gene-b1419	629
gene-b4428	1008
gene-b1420	919
gene-b4429	497
gene-b1421	1195
gene-b1422	4539
gene-b1423	307
gene-b1424	6356
gene-b1426	218
gene-b1427	1567
gene-b1428	327
gene-b1429	833
gene-b1430	1158
gene-b1431	1003
gene-b1432	1123
gene-b1433	469
gene-b1434	366
gene-b1435	9381
gene-b1436	909
gene-b4532	602
gene-b1438	1052
gene-b1439	1123
gene-b1440	91
gene-b1441	47
gene-b1442	90
gene-b1443	133
gene-b1444	670
gene-b4598	436
gene-b1445	481
gene-b1446	1363
gene-b1447	788
gene-b1448	135
gene-b1449	948
gene-b1450	164
gene-b1451	2021
gene-b1452	7409
gene-b1453	417
gene-b1454	30
gene-b1455	14
gene-b1457	344
gene-b4745	237
gene-b1460	62
gene-b1461	236
gene-b1462	147
