Geneid	1714__ROC_MOXI_N=3_library-read-1.fastq.gz
gene-b0504	48
gene-b0505	95
gene-b0506	4057
gene-b0507	116
gene-b0508	35
gene-b0509	15
gene-b0511	5
gene-b0512	22
gene-b0513	31
gene-b0514	45
gene-b0515	136
gene-b0516	144
gene-b0517	22
gene-b0518	24
gene-b4572	65
gene-b0520	61
gene-b0521	90
gene-b0522	543
gene-b0523	163
gene-b0524	10199
gene-b0525	30993
gene-b0526	4539
gene-b0527	209
gene-b0528	924
gene-b0529	3888
gene-b0530	12
gene-b0531	3
gene-b0532	61
gene-b0533	24
gene-b0534	12
gene-b0535	30
gene-b0536	258
gene-b0537	1043
gene-b0540	6
gene-b0541	39
gene-b0543	826
gene-b4733	285
gene-b0544	103
gene-b0545	212
gene-b0546	395
gene-b4588	29
gene-b0547	24
gene-b0548	3
gene-b0549	5
gene-b0550	4
gene-b4509	2
gene-b0551	35
gene-b0552	9794
gene-b0554	40
gene-b0555	194
gene-b0556	982
gene-b4510	346
gene-b0557	3108
gene-b0558	10
gene-b0559	40
gene-b4589	10
gene-b0560	20
gene-b0561	50
gene-b0563	23
gene-b0564	596
gene-b0565	43491
gene-b0566	79
gene-b0567	699
gene-b0568	1244
gene-b0569	999
gene-b0570	764
gene-b0571	543
gene-b0572	30
gene-b0573	7
gene-b0574	33
gene-b0575	134
gene-b0576	983
gene-b0577	1271
gene-b0578	12065
gene-b0579	561
gene-b0580	197
gene-b0581	162
gene-b4700	12
gene-b4415	18
gene-b0582	129
gene-b0583	159
gene-b0584	519
gene-b0585	205
gene-b4511	92
gene-b0586	2190
gene-b0587	50
gene-b0588	158
gene-b0589	215
gene-b0590	174
gene-b0591	575
gene-b0592	1114
gene-b0593	1084
gene-b0594	1962
gene-b0595	2245
gene-b0596	1428
gene-b0597	1078
gene-b0598	23416
gene-b4512	1638
gene-b0599	1708
gene-b0600	118
gene-b0601	53
gene-b0602	78
gene-b0603	60
gene-b0604	1184
gene-b0605	85844
gene-b0606	16493
gene-b0607	603
gene-b0608	126
gene-b4734	42
gene-b0610	360
gene-b0611	2052
gene-b0612	25
gene-b0613	16
gene-b0614	19
gene-b0615	58
gene-b0616	30
gene-b0617	4
gene-b0618	29
gene-b0619	261
gene-b0620	182
gene-b0621	136
gene-b0622	50
gene-b0623	16328
gene-b0624	349
gene-b0627	411
gene-b0628	9481
gene-b0629	280
gene-b0630	2195
gene-b0631	930
gene-b0632	5263
gene-b0633	2251
gene-b0634	3158
gene-b0635	4842
gene-b0636	2693
gene-b0637	1621
gene-b0638	497
gene-b0639	1238
gene-b0640	5269
gene-b0641	10227
gene-b0642	36202
gene-b0643	2082
gene-b0644	423
gene-b0645	15
gene-b0646	50
gene-b0647	10
gene-b0648	18
gene-b0649	114
gene-b0650	688
gene-b0651	9801
gene-b0652	1499
gene-b0653	1396
gene-b0654	1575
gene-b0655	8290
gene-b0656	127
gene-b0657	4419
gene-b0658	8633
gene-b0659	3623
gene-b0660	8132
gene-b0661	20251
gene-b0662	2086
gene-b0664	1255
gene-b0665	1701
gene-b0666	2184
gene-b0668	2334
gene-b0670	1257
gene-b0672	866
gene-b0673	461
gene-b0674	1583
gene-b0675	5540
gene-b0676	3699
gene-b0677	3918
gene-b0678	4577
gene-b0679	6008
gene-b0680	21416
gene-b0681	400
gene-b0682	47
gene-b0683	5984
gene-b4637	1694
gene-b0684	7102
gene-b0685	409
gene-b0686	399
gene-b0687	5236
gene-b0688	17224
gene-b0689	83
gene-b0692	87
gene-b0693	80
gene-b4590	10
gene-b0694	122
gene-b0695	2058
gene-b0696	255
gene-b0697	144
gene-b0698	43
gene-b4513	6
gene-b0699	813
gene-b0700	573
gene-b0702	24
gene-b0704	38
gene-b4514	18
gene-b0706	81
gene-b0707	43
gene-b0708	312
gene-b0709	265
gene-b0710	4646
gene-b0711	3907
gene-b0712	2504
gene-b0713	1021
gene-b0714	1036
gene-b0715	159
gene-b0716	106
gene-b0717	56
gene-b0718	62
gene-b0719	41
gene-b0720	70739
gene-b4735	3944
gene-b0721	53825
gene-b0722	47689
gene-b0723	162207
gene-b0724	40084
gene-b0726	123598
gene-b0727	45893
gene-b0728	18605
gene-b0729	14287
gene-b0730	189
gene-b0731	67
gene-b0732	650
gene-b0733	57729
gene-b0734	42733
gene-b4515	8844
gene-b0735	7759
gene-b0736	1851
gene-b0737	2579
gene-b0738	2309
gene-b0739	6549
gene-b0740	17690
gene-b0741	23616
gene-b0742	21545
gene-b0743	1588
gene-b0744	1660
gene-b0745	3133
gene-b0746	2326
gene-b0747	3434
gene-b0748	4457
gene-b0749	2688
gene-b0750	350
gene-b0751	509
gene-b0752	378
gene-b0753	61
gene-b0754	965
gene-b0755	31048
gene-b0756	12296
gene-b0757	9967
gene-b0758	9104
gene-b0759	6234
gene-b0760	962
gene-b0761	447
gene-b0762	189
gene-b0763	2233
gene-b0764	1081
gene-b0765	2449
gene-b0766	948
gene-b0767	929
gene-b0768	135
gene-b0769	6
gene-b0770	17
gene-b0771	212
gene-b0772	7866
gene-b0773	1230
gene-b0774	125
gene-b0775	198
gene-b0776	99
gene-b0777	72
gene-b0778	57
gene-b0779	17070
gene-b0780	1277
gene-b0781	9569
gene-b0782	8856
gene-b0783	10181
gene-b0784	3656
gene-b0785	3366
gene-b0786	2350
gene-b0787	68
gene-b0788	56
gene-b0789	68
gene-b0790	19
gene-b0791	1173
gene-b0792	500
gene-b0793	113
gene-b0794	360
gene-b0795	221
gene-b0796	147
gene-b0797	447
gene-b0798	94
gene-b0799	8245
gene-b0800	3844
gene-b0801	911
gene-b0802	499
gene-b0803	57
gene-b0804	275
gene-b0805	1913
gene-b0806	47
gene-b0807	418
gene-b0808	174
gene-b0809	5656
gene-b0810	2001
gene-b0811	17447
gene-b0812	2913
gene-b0813	125
gene-b4736	199
gene-b0814	42521
gene-b0815	824
gene-b4416	479
gene-b4705	389
gene-b0817	1246
gene-b0818	880
gene-b0819	2520
gene-b0820	4602
gene-b0821	242
gene-b0822	399
gene-b0823	302
gene-b0824	63
gene-b0825	557
gene-b0826	7646
gene-b0827	5072
gene-b0828	610
gene-b0829	1966
gene-b0830	849
gene-b0831	402
gene-b0832	134
gene-b0833	1531
gene-b0834	650
gene-b0835	1942
gene-b0836	3278
gene-b0837	365
gene-b0838	383
gene-b0839	2056
gene-b0840	687
gene-b0841	863
gene-b0842	623
gene-b0843	193
gene-b0844	667
gene-b0845	484
gene-b0846	375
gene-b4417	190
gene-b0847	1122
gene-b0848	318
gene-b0849	672
gene-b0850	1326
gene-b0851	2190
gene-b0852	4771
gene-b0853	9938
gene-b0854	334
gene-b0855	162
gene-b0856	112
gene-b0857	181
gene-b0858	123
gene-b0859	1278
gene-b0860	194
gene-b0861	507
gene-b0862	757
gene-b0863	1024
gene-b0864	781
gene-b0865	284
gene-b0866	455
gene-b0867	284
gene-b0868	1277
gene-b0869	1279
gene-b0870	2866
gene-b0871	501
gene-b0872	122
gene-b0873	98
gene-b0874	174
gene-b0875	28
gene-b0876	1635
gene-b0877	2691
gene-b0878	622
gene-b0879	1129
gene-b0880	2087
gene-b0881	4701
gene-b0882	44301
