Geneid	1714__30min_MOXI_library-read-1.fastq.gz
gene-b2989	626
gene-b2990	53
gene-b2991	143
gene-b2992	275
gene-b2993	582
gene-b2994	882
gene-b2995	186
gene-b2996	256
gene-b2997	440
gene-b2998	16
gene-b4755	906
gene-b3001	9931
gene-b3002	766
gene-b3003	1087
gene-b3005	5148
gene-b3006	4819
gene-b3008	109
gene-b3009	3557
gene-b3010	1406
gene-b3011	2050
gene-b3012	5258
gene-b3013	117
gene-b3014	42
gene-b4469	119
gene-b3017	188
gene-b3018	167
gene-b3019	916
gene-b3020	384
gene-b3021	9129
gene-b3022	2075
gene-b3023	471
gene-b3024	9955
gene-b3025	8
gene-b3026	410
gene-b3027	1
gene-b3028	1176
gene-b3029	5983
gene-b3030	2127
gene-b3031	1954
gene-b3032	4992
gene-b3033	1638
gene-b3034	484
gene-b3035	716
gene-b3036	320
gene-b3037	1217
gene-b3038	1064
gene-b3039	375
gene-b3040	4775
gene-b4756	178
gene-b3041	19763
gene-b3042	268
gene-b3043	5
gene-b3044	1
gene-b3045	1
gene-b3047	27
gene-b3048	192
gene-b3049	10016
gene-b3050	74
gene-b3051	45
gene-b4447	211
gene-b4664	183
gene-b4611	138
gene-b4666	89
gene-b3052	1200
gene-b3053	772
gene-b3054	712
gene-b3055	514
gene-b3056	2081
gene-b3057	443
gene-b3058	83
gene-b3059	278
gene-b3060	93
gene-b3061	7
gene-b3062	18
gene-b3063	36
gene-b3064	404
gene-b3065	497
gene-b3066	2985
gene-b3067	65332
gene-b3068	2549
gene-b3069	0
gene-b3070	35
gene-b3071	743
gene-b3072	182
gene-b3073	26063
gene-b3074	267
gene-b3075	30
gene-b3076	136
gene-b3077	18
gene-b3078	76
gene-b3079	7
gene-b3080	3
gene-b3081	619
gene-b3082	313
gene-b3083	123
gene-b3084	47
gene-b3085	118
gene-b3086	12
gene-b3087	5846
gene-b3088	102
gene-b3089	19236
gene-b3090	613
gene-b3091	2133
gene-b3092	2358
gene-b3093	4426
gene-b3094	6629
gene-b3095	5451
gene-b3096	1450
gene-b3097	4833
gene-b3098	5649
gene-b3099	16493
gene-b3100	12948
gene-b3101	130
gene-b3102	3457
gene-b3103	4233
gene-b3104	130
gene-b3105	310
gene-b3106	99
gene-b3107	54
gene-b4470	152
gene-b3110	83
gene-b4471	202
gene-b3113	242
gene-b3114	384
gene-b3115	139
gene-b3116	461
gene-b3117	261
gene-b3118	119
gene-b3119	0
gene-b3120	4
gene-b3121	14
gene-b3123	6512
gene-b3124	715
gene-b3125	141
gene-b3126	93
gene-b3127	35
gene-b3128	295
gene-b3129	1263
gene-b3130	1925
gene-b3131	1097
gene-b3132	39
gene-b3133	162
gene-b3136	103
gene-b3137	11
gene-b3138	39
gene-b3139	5
gene-b3140	284
gene-b3141	128
gene-b3142	47
gene-b3143	136
gene-b3144	2341
gene-b3145	132
gene-b3146	63
gene-b3147	872
gene-b3148	187
gene-b3149	179
gene-b3150	157
gene-b3151	628
gene-b3152	2817
gene-b3153	391
gene-b3154	159
gene-b3155	632
gene-b3156	3418
gene-b3157	5937
gene-b3158	3
gene-b3159	90
gene-b3160	193
gene-b3161	401
gene-b3162	31817
gene-b4685	1177
gene-b3163	11111
gene-b3164	3712
gene-b4449	66
gene-b3165	887
gene-b3166	337
gene-b3167	354
gene-b3168	5765
gene-b3169	2358
gene-b3170	407
gene-b3171	42
gene-b3172	590
gene-b3173	89
gene-b3174	572
gene-b3175	1164
gene-b3176	1127
gene-b3177	340
gene-b3178	66867
gene-b3179	17941
gene-b3180	1093
gene-b3181	1451
gene-b3182	26
gene-b3183	22867
gene-b3184	2908
gene-b3185	3541
gene-b3186	4283
gene-b3187	901
gene-b3188	76
gene-b3189	221
gene-b3190	48
gene-b3191	1128
gene-b3192	3329
gene-b3193	685
gene-b3194	550
gene-b3195	938
gene-b3196	275
gene-b3197	603
gene-b3198	1670
gene-b3199	3145
gene-b3200	1337
gene-b3201	1747
gene-b3202	2731
gene-b3203	808
gene-b3204	718
gene-b3205	454
gene-b3206	112
gene-b3207	37618
gene-b3208	14293
gene-b3209	582
gene-b4450	161
gene-b3210	2153
gene-b3211	0
gene-b3212	1316
gene-b3213	649
gene-b3214	5
gene-b3215	1
gene-b3216	131
gene-b3218	0
gene-b3219	83
gene-b3220	476
gene-b3221	147
gene-b3222	1300
gene-b3223	1405
gene-b3224	7309
gene-b3225	13561
gene-b3226	361
gene-b3227	50
gene-b3228	1676
gene-b3229	5289
gene-b3230	1714
gene-b3231	1204
gene-b3232	180
gene-b3233	16864
gene-b3234	1695
gene-b3235	876
gene-b3236	8974
gene-b3237	688
gene-b3238	306
gene-b3239	1072
gene-b3240	173
gene-b3241	100
gene-b3242	112
gene-b3243	209
gene-b3244	3847
gene-b4472	997
gene-b3247	916
gene-b3248	1722
gene-b3249	626
gene-b3250	458
gene-b3251	1607
gene-b3252	826
gene-b3253	3306
gene-b3255	609
gene-b3256	1546
gene-b3257	0
gene-b3258	989
gene-b3259	1921
gene-b3260	240
gene-b3261	111
gene-b3262	19
gene-b3263	4
gene-b3264	20
gene-b3265	4
gene-b3266	167
gene-b3267	167
gene-b3269	118
gene-b3270	62
gene-b3271	89
gene-b3272	613
gene-b3273	12
gene-b3274	22
gene-b3275	37721
gene-b3276	0
gene-b3277	14
gene-b3278	63131
gene-b3279	1332
gene-b3280	1061
gene-b3281	3129
gene-b3282	589
gene-b3283	3125
gene-b3284	9713
gene-b4473	3337
gene-b3287	16840
gene-b3288	20361
gene-b3289	1269
gene-b3290	1439
gene-b3291	10281
gene-b4550	3448
gene-b3292	1361
gene-b3293	1820
gene-b3294	11631
gene-b3295	33408
gene-b3296	18043
gene-b3297	12032
gene-b3298	8847
gene-b3299	3728
gene-b3300	91200
gene-b3301	19607
gene-b3302	13385
gene-b3303	13258
gene-b3304	13435
gene-b3305	9853
gene-b3306	6510
gene-b3307	5901
gene-b3308	13764
gene-b3309	21448
gene-b3310	12001
gene-b3311	4775
gene-b3312	2347
gene-b3313	3208
gene-b3314	4307
gene-b3315	1735
gene-b3316	401
gene-b3317	970
gene-b3318	556
gene-b3319	912
gene-b3320	1299
gene-b3321	454
gene-b3322	58
gene-b3323	39
gene-b3324	30
gene-b3325	80
gene-b3326	62
gene-b3327	112
gene-b3328	0
gene-b3329	42
gene-b3330	0
gene-b3331	3
gene-b3332	87
gene-b3333	117
gene-b3334	76
gene-b3335	262
gene-b3336	1609
gene-b3337	520
gene-b3338	999
gene-b3339	31260
gene-b3340	82791
gene-b3341	7538
gene-b3342	3143
gene-b3343	224
gene-b3344	55
gene-b3345	239
gene-b3346	643
gene-b3347	17236
gene-b3348	68
gene-b3349	5941
gene-b4551	260
gene-b3350	1085
gene-b3351	234
gene-b3352	323
gene-b3353	149
gene-b3354	148
gene-b3355	343
gene-b3356	735
gene-b3357	4349
gene-b3358	189
gene-b3359	222
gene-b3360	765
gene-b3361	3491
gene-b3362	1634
gene-b3363	972
gene-b3364	70
gene-b3365	162
gene-b3366	0
gene-b3367	341
gene-b3368	1988
gene-b3369	1
gene-b3370	21
gene-b3371	155
gene-b4474	183
gene-b3374	260
gene-b3375	82
gene-b3376	374
gene-b3377	88
gene-b3378	10
gene-b3379	5
gene-b3380	0
gene-b3381	179
gene-b3382	69
gene-b3383	250
gene-b3384	2056
gene-b3385	155
gene-b3386	134
gene-b3387	208
gene-b3388	4339
gene-b3389	1622
gene-b3390	1279
gene-b3391	58
gene-b3392	1
gene-b3393	1
gene-b3394	0
gene-b3395	22
gene-b3396	228
gene-b3397	637
gene-b3398	353
gene-b3399	847
gene-b3400	1243
gene-b3401	3952
gene-b3402	963
gene-b3403	14031
gene-b3404	1731
gene-b3405	1678
gene-b3406	72
gene-b3407	76
gene-b3408	318
gene-b3409	1754
gene-b3410	163
gene-b3411	1
gene-b3412	97
gene-b3413	332
gene-b3414	6301
gene-b3415	806
gene-b3416	949
gene-b3417	675
gene-b3418	2386
gene-b4475	1807
gene-b3421	1976
gene-b3422	142
gene-b3424	193
gene-b3425	156
gene-b3426	270793
gene-b3427	3296
gene-b3428	6687
gene-b3429	3636
gene-b3430	3417
gene-b3431	1858
gene-b3432	1665
gene-b3433	7780
gene-b3434	79
gene-b4476	351
gene-b3437	139
gene-b3438	802
gene-b3439	885
gene-b3440	933
gene-b4451	19
gene-b3441	2
gene-b3442	0
gene-b3444	0
gene-b3445	16
gene-b4612	0
gene-b3446	172
gene-b3447	97
gene-b3448	17397
gene-b3449	4897
gene-b3450	552
gene-b3451	72
gene-b3452	172
gene-b3453	1759
gene-b3454	210
gene-b3455	125
gene-b3456	234
gene-b3457	169
gene-b3458	391
gene-b3459	52
gene-b3460	399
gene-b3461	19977
gene-b3462	6539
gene-b3463	3783
gene-b3464	2031
gene-b3465	194
gene-b3466	77
gene-b3467	10
gene-b3468	531
gene-b3469	497
gene-b3470	104
gene-b3471	159
gene-b3472	2202
gene-b3473	310
gene-b3474	1454
gene-b3475	517
gene-b3476	2
gene-b3477	1
gene-b3478	30
gene-b3479	17
gene-b3480	14
gene-b3481	243
gene-b3482	124
gene-b3483	2
gene-b3484	28
gene-b3485	199
gene-b3486	466
gene-b3487	1358
gene-b3488	247
gene-b3491	813
gene-b3492	380
gene-b3493	7305
gene-b3494	13598
gene-b3495	11104
gene-b3496	7935
gene-b3497	1348
gene-b3498	5590
gene-b3499	898
gene-b3500	1236
gene-b4613	366
gene-b4712	1
gene-b4713	9
gene-b3501	84
gene-b3502	493
gene-b3503	152
gene-b3505	181
gene-b3506	4354
gene-b3507	35
gene-b3508	8
gene-b3509	7592
gene-b3510	6802
gene-b3511	3330
gene-b4704	366
gene-b3512	1547
gene-b4718	1022
gene-b3513	125
gene-b3514	215
gene-b3515	435
gene-b4452	206
gene-b3516	1632
gene-b3517	2235
gene-b3518	270
gene-b3519	2770
gene-b3520	7
gene-b3521	21
gene-b3522	4453
gene-b3523	550
gene-b3524	8203
gene-b3525	36
gene-b3526	190
gene-b3527	455
gene-b3528	32549
gene-b3529	783
gene-b3530	1254
gene-b3531	5
gene-b3532	73
gene-b3533	117
gene-b3535	78
gene-b3536	325
gene-b3537	48
gene-b3538	308
gene-b4453	116
gene-b4454	53
gene-b3539	120
gene-b3540	40
gene-b3541	6
gene-b3542	23
gene-b3543	38
gene-b3544	302
gene-b3545	12
gene-b3546	599
gene-b3547	158
gene-b3548	2097
gene-b3549	126
gene-b3550	204
gene-b3551	812
gene-b3552	25
gene-b3553	268
gene-b3554	4044
gene-b3555	4910
gene-b3556	256
gene-b4455	0
gene-b3557	1
gene-b3558	2
gene-b3559	6254
gene-b3560	2055
gene-b4553	0
gene-b3561	250
gene-b3562	0
gene-b3563	0
gene-b3564	5980
gene-b3565	2765
gene-b3566	37
gene-b3567	1
gene-b3568	242
gene-b3569	79
gene-b3570	1264
gene-b3571	468
gene-b3572	1103
gene-b3573	177
gene-b3574	418
gene-b3575	12
gene-b3576	1
gene-b3577	0
gene-b3578	0
gene-b3579	45
gene-b3580	100
gene-b3581	12
gene-b3582	2
gene-b3583	152
gene-b3584	242
gene-b3585	308
gene-b3586	206
gene-b3587	0
gene-b3588	3065
gene-b3589	4
gene-b3590	797
gene-b3591	189
gene-b3592	437
gene-b3593	212
gene-b3594	511
gene-b3596	1
gene-b4615	0
gene-b3597	662
gene-b3598	397
gene-b3599	4344
gene-b3600	2306
gene-b3601	17202
gene-b4554	16901
gene-b3602	270
gene-b3603	962
gene-b3604	332
gene-b3605	506
gene-b3606	161
gene-b3607	1858
gene-b3608	54337
gene-b3609	87566
gene-b3610	1883
gene-b3611	1023
gene-b3612	1278
gene-b3613	153
gene-b3614	38
gene-b3615	13
gene-b3616	4415
gene-b3617	2734
gene-b3618	193
gene-b3619	8125
gene-b3620	1185
gene-b3621	36
gene-b3622	105
gene-b3623	245
gene-b3624	108
gene-b3625	166
gene-b3626	207
gene-b3627	279
gene-b3628	512
gene-b3629	202
gene-b3630	212
gene-b3631	566
gene-b3632	948
gene-b3633	190
gene-b3634	283
gene-b3635	259
gene-b3636	1072
gene-b3637	941
gene-b3638	144
gene-b3639	213
gene-b3640	200
gene-b3641	168
gene-b3642	62
gene-b3643	235
gene-b3644	376
gene-b3645	296
gene-b3646	0
gene-b3647	178
gene-b3648	4178
gene-b3649	3732
gene-b3650	1682
gene-b3651	5
gene-b3652	194
gene-b3653	2618
gene-b3654	28
gene-b3655	3016
gene-b3656	296
gene-b3657	27
gene-b3658	0
gene-b3659	81
gene-b3660	264
gene-b3661	435
gene-b4555	30
gene-b3662	1
gene-b3663	302
gene-b3664	110
gene-b3665	291
gene-b3666	125
gene-b3667	5
gene-b3668	36
gene-b3669	135
gene-b3670	453
gene-b3671	801
gene-b3672	9
gene-b4616	1
gene-b4618	4489
gene-b3673	532
gene-b3674	547
gene-b3675	297
gene-b3676	448
gene-b3677	0
gene-b3678	6
gene-b3679	132
gene-b3680	64
gene-b3681	0
gene-b3682	0
gene-b3683	2
gene-b3684	180
gene-b3685	1052
gene-b3686	1123
gene-b3687	6786
gene-b3688	509
gene-b3689	295
gene-b3690	8
gene-b3691	118
gene-b4478	104
gene-b4477	123
gene-b3693	801
gene-b4479	814
gene-b3696	433
gene-b3697	637
gene-b3698	489
gene-b3699	8554
gene-b3700	574
gene-b3701	1147
gene-b3702	2082
gene-b4757	97
gene-b3703	3143
gene-b3704	1771
gene-b4557	10
gene-b3705	447
gene-b3706	1690
gene-b3707	151
gene-b3708	4863
gene-b3709	729
gene-b3710	115
gene-b3711	177
gene-b3712	210
gene-b3713	542
gene-b3714	177
gene-b3715	75
gene-b3716	37
gene-b3717	132
gene-b3718	91
gene-b3719	1
gene-b3720	48
gene-b3721	34
gene-b3722	1
gene-b3723	2
gene-b3724	831
gene-b3725	1652
gene-b3726	924
gene-b3727	1945
gene-b3728	4098
gene-b3729	9040
gene-b3730	3654
gene-b3731	2486
gene-b3732	5495
gene-b3733	2089
gene-b3734	2634
gene-b3735	686
gene-b3736	1114
gene-b3737	1155
gene-b3738	1013
gene-b3739	325
gene-b3740	194
gene-b3741	284
gene-b3742	123
gene-b3743	76
gene-b3744	182
gene-b3745	89
gene-b3746	250
gene-b3747	1148
gene-b3748	7580
gene-b3749	4321
gene-b3750	1704
gene-b3751	2751
gene-b3752	186
gene-b3753	15
gene-b3754	67
gene-b3755	420
gene-b3756	319929
gene-b3757	37
gene-b3758	253430
gene-b3759	376
gene-b3760	265
gene-b3761	442
gene-b4480	174
gene-b3764	610
gene-b3765	333
gene-b3766	38
gene-b4669	31
gene-b3769	0
gene-b3770	116
gene-b3771	702
gene-b3772	720
gene-b3773	731
gene-b3774	14
gene-b3775	52
gene-b3778	326
gene-b3779	564
gene-b3780	4549
gene-b3781	9701
gene-b3782	1135
gene-b3783	9683
gene-b3784	721
gene-b3785	615
gene-b3786	112
gene-b3787	81
gene-b3788	89
gene-b3789	186
gene-b3790	176
gene-b3791	518
gene-b3792	322
gene-b4481	861
gene-b3793	317
gene-b3794	153
gene-b3795	1595
gene-b3796	856
gene-b3797	1871
gene-b3798	780
gene-b3799	210
gene-b3800	12
gene-b3801	410
gene-b4456	545
gene-b3802	612
gene-b3803	553
gene-b3804	576
gene-b3805	2672
gene-b3806	11595
gene-b3807	178
gene-b3808	151
gene-b4558	385
gene-b3809	440
gene-b3810	137
gene-b3811	39
gene-b3812	216
gene-b3813	809
gene-b4482	8
gene-b3816	3518
gene-b3817	2
gene-b3818	3
gene-b3819	48
gene-b3820	474
gene-b3821	76
gene-b3822	52
gene-b3823	148
gene-b3824	156
gene-b3825	401
gene-b3826	269
gene-b3827	150
gene-b3828	43
gene-b3829	231
gene-b3830	1176
gene-b3831	1471
gene-b3832	409
gene-b3833	451
gene-b3834	206
gene-b4707	55
gene-b3835	387
gene-b3836	603
gene-b3838	370
gene-b3839	65
gene-b4483	114
gene-b3842	322
gene-b3843	5659
gene-b3844	1756
gene-b3845	3432
gene-b3846	2963
gene-b3847	733
gene-b3848	273
gene-b3849	1194
gene-b3850	287
gene-b3851	79155
gene-b3852	0
gene-b3853	0
gene-b3854	203192
gene-b3855	365
gene-b3856	257
gene-b3857	55
gene-b3858	295
gene-b3859	484
gene-b3860	1653
gene-b3861	45
gene-b3862	1
gene-b3863	2464
gene-b3864	80
gene-b3865	1214
gene-b4457	10478
gene-b3866	1118
gene-b3867	1449
gene-b4686	829
gene-b3868	966
gene-b3869	415
gene-b3870	214
gene-b3871	6916
gene-b3872	87
gene-b3873	74
gene-b3874	1
gene-b3875	0
gene-b3876	621
gene-b3877	48
gene-b3878	32
gene-b3879	11
gene-b3880	80
gene-b3881	149
gene-b3882	22
gene-b3883	805
gene-b3884	503
gene-b3885	253
gene-b3886	2566
gene-b3887	2349
gene-b3888	1246
gene-b3889	0
gene-b3890	43
gene-b3891	762
gene-b3892	1358
gene-b3893	3710
gene-b3894	13234
gene-b3895	819
gene-b3896	1
gene-b3897	45
gene-b3898	43
gene-b3899	28
gene-b3900	22
gene-b3901	32
gene-b3902	16
gene-b3903	0
gene-b3904	26
gene-b3905	30
gene-b3906	243
gene-b3907	352
gene-b3908	2927
gene-b3909	247
gene-b3910	1730
gene-b3911	798
gene-b3912	616
gene-b4484	4232
gene-b4716	1313
gene-b3915	1075
gene-b3916	6596
gene-b3917	96
gene-b3918	15
gene-b3919	2321
gene-b3920	90
gene-b3921	270
gene-b3922	1919
gene-b3923	4760
gene-b3924	1259
gene-b3925	3026
gene-b3926	27036
gene-b3927	26660
gene-b3928	1108
gene-b3929	6304
gene-b3930	251
gene-b3931	8517
gene-b3932	3407
gene-b3933	649
gene-b3934	294
gene-b3935	294
gene-b3936	3849
gene-b3937	86
gene-b3938	729
gene-b3939	138
gene-b3940	1035
gene-b3941	273
gene-b3942	3918
gene-b3943	59
gene-b3944	0
gene-b3945	430
gene-b3946	189
gene-b3947	242
gene-b3949	93
gene-b3950	8
gene-b3951	184
gene-b3952	60
gene-b3953	0
gene-b3954	123
gene-b3955	402
gene-b3956	2512
gene-b3957	583
gene-b3958	11
gene-b3959	83
gene-b3960	1902
gene-b4458	0
gene-b3961	358
gene-b3962	4447
gene-b3963	2563
gene-b3964	2592
gene-b3965	7604
gene-b3966	685
gene-b3967	568
gene-b3968	555
gene-b3969	61
gene-b3970	157
gene-b3971	1
gene-b3972	279
gene-b3973	700
gene-b3974	182
gene-b3976	1
gene-b3977	117
gene-b3978	90
gene-b3979	81
gene-b3980	2041
gene-b3981	6352
gene-b3982	5449
gene-b3983	4069
gene-b3984	8935
gene-b3985	12077
gene-b3986	33930
gene-b3987	36632
gene-b3988	49181
gene-b3989	1
gene-b4691	33
gene-b3990	1610
gene-b3991	650
gene-b4407	488
gene-b3992	1637
gene-b3993	594
gene-b3994	2207
gene-b3995	2612
gene-b3996	601
gene-b3997	442
gene-b3998	153
gene-b3999	162
gene-b4000	594
gene-b4001	176
gene-b4002	280
gene-b4003	180
gene-b4004	424
gene-b4005	99
gene-b4006	51
gene-b4007	321
gene-b4008	42
gene-b4009	300
gene-b4010	0
gene-b4011	435
gene-b4012	450
gene-b4013	90
gene-b4014	23042
gene-b4015	16157
gene-b4016	17744
gene-b4017	6
gene-b4018	323
gene-b4019	1277
gene-b4020	947
gene-b4021	284
gene-b4022	614
gene-b4023	473
gene-b4024	558
gene-b4025	4644
gene-b4026	44
gene-b4027	0
gene-b4028	0
gene-b4029	161
gene-b4620	34
gene-b4030	54
gene-b4031	486
gene-b4032	161
gene-b4033	8
gene-b4034	89
gene-b4035	6
gene-b4036	98
gene-b4037	288
gene-b4039	797
gene-b4040	2710
gene-b4041	6961
gene-b4042	548
gene-b4043	13467
gene-b4044	3037
gene-b4045	759
gene-b4046	362
gene-b4047	2
gene-b4048	1
gene-b4049	97
gene-b4050	884
gene-b4051	3074
gene-b4052	441
gene-b4053	117
gene-b4054	32
gene-b4621	2
gene-b4055	15
gene-b4056	1833
gene-b4057	1711
gene-b4058	7246
gene-b4059	3429
gene-b4060	35
gene-b4061	2436
gene-b4062	3519
gene-b4063	1332
gene-b4459	894
gene-b4064	40
gene-b4065	706
gene-b4066	8
gene-b4067	1277
gene-b4068	386
gene-b4069	5653
gene-b4070	104
gene-b4071	0
gene-b4072	0
gene-b4073	8
gene-b4074	136
gene-b4075	8
gene-b4076	0
gene-b4077	286
gene-b4078	464
gene-b4079	1853
gene-b4080	1
gene-b4081	72
gene-b4082	1
gene-b4622	0
gene-b4083	0
gene-b4084	349
gene-b4085	34
gene-b4086	11
gene-b4087	26
gene-b4088	4
gene-b4089	270
gene-b4090	62
gene-b4487	265
gene-b4092	197
gene-b4093	161
gene-b4094	38
gene-b4095	46
gene-b4096	103
gene-b4097	33
gene-b4098	4
gene-b4099	6
gene-b4100	0
gene-b4101	1
gene-b4102	13
gene-b4105	16
gene-b4106	26
gene-b4107	2663
gene-b4108	760
gene-b4109	48
gene-b4110	24
gene-b4111	572
gene-b4703	96
gene-b4112	558
gene-b4113	486
gene-b4114	302
gene-b4115	76
gene-b4116	376
gene-b4117	141
gene-b4118	504
gene-b4119	1609
gene-b4120	643
gene-b4121	73
gene-b4122	135
gene-b4123	126
gene-b4124	195
gene-b4125	97
gene-b4126	284
gene-b4127	868
gene-b4128	8
gene-b4559	44
gene-b4129	952
gene-b4130	82
gene-b4131	325
gene-b4132	34
gene-b4133	249
gene-b4134	251
gene-b4135	2255
gene-b4136	338
gene-b4137	78
gene-b4138	4156
gene-b4139	16455
gene-b4140	21708
gene-b4141	2488
gene-b4142	5833
gene-b4143	38005
gene-b4144	246
gene-b4145	106
gene-b4146	136
gene-b4147	502
gene-b4410	29
gene-b4411	546
gene-b4148	876
gene-b4149	1405
gene-b4150	35
gene-b4151	2741
gene-b4152	3049
gene-b4153	4946
gene-b4154	9097
gene-b4155	448
gene-b4156	26
gene-b4157	6
gene-b4158	79
gene-b4159	539
gene-b4160	285
gene-b4161	948
gene-b4162	210
gene-b4163	18
gene-b4164	14
gene-b4165	81
gene-b4670	11
gene-b4166	1491
gene-b4167	2989
gene-b4168	374
gene-b4169	470
gene-b4170	672
gene-b4171	12834
gene-b4172	3323
gene-b4173	3127
gene-b4174	6962
gene-b4175	2157
gene-b4176	0
gene-b4177	17273
gene-b4178	521
gene-b4179	7867
gene-b4180	948
gene-b4181	0
gene-b4182	78
gene-b4183	0
gene-b4184	3
gene-b4185	1
gene-b4186	48
gene-b4187	4358
gene-b4188	32170
gene-b4189	5638
gene-b4190	301
gene-b4191	235
gene-b4192	450
gene-b4193	75
gene-b4194	100
gene-b4195	175
gene-b4196	134
gene-b4197	326
gene-b4198	298
gene-b4199	2061
gene-b4200	538
gene-b4201	317
gene-b4202	190
gene-b4203	1734
gene-b4204	2
gene-b4206	1377
gene-b4207	72
gene-b4208	6342
gene-b4209	385
gene-b4210	299
gene-b4211	56
gene-b4212	889
gene-b4213	251
gene-b4214	36010
gene-b4215	133
gene-b4216	638
gene-b4217	4160
gene-b4218	779
gene-b4219	934
gene-b4220	123
gene-b4221	563
gene-b4222	206
gene-b4223	154
gene-b4224	4245
gene-b4225	2871
gene-b4226	1012
gene-b4227	9519
gene-b4485	4661
gene-b4230	2974
gene-b4231	2701
gene-b4232	3300
gene-b4233	890
gene-b4234	10935
gene-b4235	1873
gene-b4237	767
gene-b4238	12243
gene-b4239	218
gene-b4240	444
gene-b4241	155
gene-b4702	355
gene-b4242	526
gene-b4243	245
gene-b4244	4
gene-b4245	3
gene-b4246	59
gene-b4248	190
gene-b4249	76
gene-b4251	19
gene-b4252	862
gene-b4253	18
gene-b4254	231
gene-b4255	4349
gene-b4256	214
gene-b4257	30
gene-b4258	3973
gene-b4259	287
gene-b4260	3002
gene-b4261	3603
gene-b4262	3929
gene-b4263	1924
gene-b4264	11
gene-b4265	238
gene-b4266	113
gene-b4267	101
gene-b4268	412
gene-b4269	2702
gene-b4270	0
gene-b4272	14
gene-b4273	201
gene-b4277	0
gene-b4278	507
gene-b4279	1027
gene-b4280	1467
gene-b4655	6
gene-b4284	55
gene-b4287	39
gene-b4288	123
gene-b4289	20
gene-b4290	138
gene-b4291	254
gene-b4292	599
gene-b4293	639
gene-b4294	215
gene-b4295	2290
gene-b4296	2
gene-b4297	268
gene-b4298	319
gene-b4299	119
gene-b4300	196
gene-b4301	432
gene-b4302	236
gene-b4624	137
gene-b4303	2242
gene-b4304	2744
gene-b4565	674
gene-b4305	2350
gene-b4306	36
gene-b4307	20
gene-b4566	23
gene-b4309	88
gene-b4310	1366
gene-b4311	191
gene-b4312	15
gene-b4313	42
gene-b4314	564
gene-b4315	41
gene-b4316	39
gene-b4317	36
gene-b4318	23
gene-b4319	0
gene-b4320	302
gene-b4321	421
gene-b4322	1325
gene-b4323	1223
gene-b4324	3382
gene-b4325	1
gene-b4720	0
gene-b4721	7
gene-b4722	0
gene-b4326	113
gene-b4327	274
gene-b4328	68
gene-b4329	1
gene-b4330	91
gene-b4331	8
gene-b4332	110
gene-b4333	6
gene-b4715	68
gene-b4334	53
gene-b4335	885
gene-b4336	711
gene-b4337	136
gene-b4340	415
gene-b4341	2
gene-b4342	140
gene-b4345	7
gene-b4346	1947
gene-b4347	78
gene-b4625	17
gene-b4348	45
gene-b4349	112
gene-b4350	1043
gene-b4351	560
gene-b4352	213
gene-b4353	21
gene-b4354	522
gene-b4355	756
gene-b4356	376
gene-b4357	361
gene-b4358	22
gene-b4359	1784
gene-b4360	119
gene-b4361	404
gene-b4362	828
gene-b4363	88
gene-b4364	180
gene-b4365	10
gene-b4366	354
gene-b4367	5198
gene-b4567	6380
gene-b4368	3310
gene-b4369	857
gene-b4370	325
gene-b4371	284
gene-b4372	29
gene-b4373	503
gene-b4374	942
gene-b4375	126
gene-b4376	31804
gene-b4568	1834
gene-b4377	163
gene-b4378	381
gene-b4379	155
gene-b4380	1439
gene-b4381	8353
gene-b4382	5842
gene-b4383	22154
gene-b4384	8292
gene-b4385	441
gene-b4386	72
gene-b4387	118
gene-b4388	155
gene-b4389	413
gene-b4390	2051
gene-b4391	1345
gene-b4392	1461
gene-b4393	356
gene-b4394	297
gene-b4395	3443
gene-b4396	10740
gene-b4397	121
gene-b4398	221
gene-b4399	86
gene-b4400	156
gene-b4401	106507
gene-b4402	3531
gene-b4403	13
