Geneid	1714__30min_MOXI_library-read-1.fastq.gz
gene-b0901	5
gene-b0902	13088
gene-b0903	84761
gene-b0904	4145
gene-b0905	299
gene-b0906	1329
gene-b0907	1696
gene-b0908	235
gene-b0909	64
gene-b0910	1532
gene-b0911	53490
gene-b0912	1194
gene-b0913	313
gene-b0914	648
gene-b0915	613
gene-b0916	187
gene-b0917	285
gene-b0918	1217
gene-b0919	766
gene-b0920	135
gene-b0921	149
gene-b0922	307
gene-b0923	103
gene-b0924	1277
gene-b0925	14366
gene-b0926	924
gene-b0927	765
gene-b0928	2342
gene-b0929	2174
gene-b0930	14129
gene-b0931	420
gene-b0932	7300
gene-b0933	295
gene-b0934	73
gene-b0935	8
gene-b0936	13
gene-b0937	40
gene-b0938	1
gene-b0939	5
gene-b0940	90
gene-b0941	100
gene-b0942	4
gene-b0943	49
gene-b0944	113
gene-b0945	4
gene-b0946	15
gene-b0947	161
gene-b0948	483
gene-b0949	4162
gene-b0950	5552
gene-b0951	2498
gene-b0952	1296
gene-b0953	42591
gene-b0954	14179
gene-b0955	36608
gene-b0956	799
gene-b0957	42347
gene-b0958	4188
gene-b0959	78
gene-b0960	392
gene-b0961	23
gene-b0962	2737
gene-b0963	15244
gene-b0964	564
gene-b0965	8973
gene-b0966	176145
gene-b0967	4695
gene-b0968	1340
gene-b0969	1048
gene-b0970	10622
gene-b0971	264
gene-b0972	1844
gene-b0973	1357
gene-b0974	518
gene-b0975	930
gene-b0976	544
gene-b0977	298
gene-b0978	2127
gene-b0979	991
gene-b4592	165
gene-b0980	226
gene-b0981	3090
gene-b0982	60
gene-b0983	62
gene-b0984	65
gene-b0985	36
gene-b0986	60
gene-b0987	6
gene-b4516	0
gene-b0988	491
gene-b0989	0
gene-b0990	24
gene-b4723	1
gene-b0991	2
gene-b4517	1
gene-b0992	112
gene-b0993	152
gene-b0994	172
gene-b0995	279
gene-b0996	56
gene-b0997	93
gene-b0998	212
gene-b0999	2772
gene-b1000	2236
gene-b1001	4
gene-b1002	21093
gene-b1003	15440
gene-b1004	20223
gene-b4518	3816
gene-b1006	449
gene-b1007	118
gene-b1008	22
gene-b1009	2
gene-b1010	25
gene-b1011	50
gene-b1012	9
gene-b1013	620
gene-b1014	7233
gene-b4737	59
gene-b1015	3373
gene-b1018	44
gene-b1019	131
gene-b1020	32889
gene-b1021	62
gene-b1022	11
gene-b1023	141
gene-b1024	71
gene-b1025	73
gene-b1026	1
gene-b1027	1
gene-b1029	2
gene-b1032	37
gene-b1033	158
gene-b1034	252
gene-b1035	478
gene-b1036	689
gene-b1037	676
gene-b1038	33
gene-b1039	14
gene-b1040	458
gene-b1041	24
gene-b1042	660
gene-b1043	2
gene-b1044	48
gene-b1045	721
gene-b1046	1481
gene-b1047	98
gene-b1048	2715
gene-b1049	3538
gene-b1050	1846
gene-b1051	3783
gene-b1053	75
gene-b1054	196
gene-b1055	120
gene-b1056	63
gene-b1057	15
gene-b1058	22
gene-b1059	266
gene-b1060	1580
gene-b1061	30
gene-b1062	327
gene-b1063	550
gene-b1064	1673
gene-b1065	67
gene-b1066	919
gene-b1067	2939
gene-b1068	2492
gene-b1069	186
gene-b1070	102
gene-b1071	197
gene-b1072	2
gene-b1073	16
gene-b1074	63
gene-b1075	84
gene-b1076	299
gene-b1077	35
gene-b1078	48
gene-b1079	35
gene-b1080	20
gene-b1081	17
gene-b1082	555
gene-b1083	793
gene-b1084	6003
gene-b1085	282
gene-b1086	115
gene-b1087	695
gene-b4418	2576
gene-b1088	11516
gene-b1089	6074
gene-b1090	2699
gene-b1091	4700
gene-b1092	3691
gene-b1093	4142
gene-b1094	10661
gene-b1095	42476
gene-b1096	425
gene-b1097	155
gene-b1098	92
gene-b1099	110
gene-b1100	5244
gene-b1101	11792
gene-b1102	384
gene-b1103	2047
gene-b1104	949
gene-b1105	712
gene-b1106	429
gene-b1107	1407
gene-b1108	6040
gene-b1109	606
gene-b1110	1336
gene-b1111	1854
gene-b1112	1382
gene-b1113	62
gene-b1114	2118
gene-b1115	2
gene-b1116	225
gene-b1117	89
gene-b1118	1327
gene-b1119	3050
gene-b1120	851
gene-b1121	9
gene-b1122	15
gene-b1123	451
gene-b1124	30
gene-b1125	92
gene-b1126	85
gene-b1127	4927
gene-b1128	6040
gene-b1129	654
gene-b1130	566
gene-b1131	188
gene-b1132	136
gene-b1133	250
gene-b1134	51
gene-b1135	48
gene-b1136	6906
gene-b1137	3
gene-b1138	113
gene-b1139	125
gene-b1140	359
gene-b1141	106
gene-b1142	2699
gene-b1143	1106
gene-b1144	1633
gene-b1145	813
gene-b1146	69
gene-b1147	294
gene-b1148	63
gene-b1149	214
gene-b1150	23
gene-b1151	1
gene-b1153	16
gene-b1154	1
gene-b1155	153
gene-b1156	22
gene-b1158	5
gene-b1159	278
gene-b1160	11
gene-b4738	1
gene-b4739	0
gene-b1161	16
gene-b1162	980
gene-b1163	386
gene-b1164	745
gene-b1165	1131
gene-b1166	449
gene-b1167	85
gene-b1168	75
gene-b4520	0
gene-b1171	78
gene-b1172	39
gene-b4593	13
gene-b4594	0
gene-b1174	231
gene-b1175	1508
gene-b1176	260
gene-b1177	199
gene-b1178	1622
gene-b1179	512
gene-b1180	7922
