Geneid	1714__30min_MOXI_N=2_library-read-1.fastq.gz
gene-b0126	1783
gene-b0127	1268
gene-b0128	1290
gene-b0129	905
gene-b0130	459
gene-b0131	3357
gene-b0132	734
gene-b0133	2780
gene-b0134	2014
gene-b0135	207
gene-b0136	40
gene-b0137	200
gene-b0138	10
gene-b0139	148
gene-b0140	3
gene-b0141	18
gene-b0142	85
gene-b0143	1555
gene-b0144	1541
gene-b0145	24625
gene-b0146	36581
gene-b0147	57
gene-b0148	4884
gene-b0149	4160
gene-b0150	10276
gene-b0151	819
gene-b0152	47
gene-b0153	320
gene-b0154	6149
gene-b0155	7135
gene-b4728	4040
gene-b0156	16511
gene-b0157	444
gene-b0158	336
gene-b0159	5593
gene-b0160	416
gene-b0161	6449
gene-b0162	779
gene-b0163	3655
gene-b0164	81
gene-b0166	1288
gene-b0167	2585
gene-b0168	4666
gene-b4414	2836
gene-b0169	53648
gene-b0170	18027
gene-b0171	2597
gene-b0172	23528
gene-b0173	1905
gene-b0174	854
gene-b0175	2344
gene-b0176	5566
gene-b0177	9533
gene-b0178	11946
gene-b0179	11046
gene-b0180	8406
gene-b0181	6214
gene-b0182	2033
gene-b0183	207
gene-b0184	6832
gene-b0185	4159
gene-b0186	3462
gene-b0187	638
gene-b0188	870
gene-b0189	8066
gene-b4406	9921
gene-b0190	651
gene-b0191	1325
gene-b0192	2187
gene-b0193	244
gene-b0194	10991
gene-b0195	379
gene-b0196	710
gene-b0197	1133
gene-b0198	89
gene-b0199	178
gene-b0200	738
gene-b0201	128271
gene-b0202	0
gene-b0203	18
gene-b0204	291335
gene-b0205	178
gene-b0206	275
gene-b0207	899
gene-b0208	629
gene-b0209	8922
gene-b0210	713
gene-b0211	1708
gene-b0212	474
gene-b0213	614
gene-b0214	511
gene-b0215	3098
gene-b0216	105
gene-b0217	15
gene-b4586	3
gene-b0219	2691
gene-b0220	2056
gene-b0221	14599
gene-b0222	1695
gene-b0223	1177
gene-b0224	746
gene-b0225	7642
gene-b0226	9710
gene-b0227	295
gene-b0228	108
gene-b0231	3239
gene-b0232	613
gene-b0233	575
gene-b0234	19
gene-b0237	3614
gene-b0238	411
gene-b0239	2795
gene-b4710	482
gene-b4709	0
gene-b0241	14
gene-b0242	5689
gene-b0243	3678
gene-b0244	166
gene-b0245	39
gene-b0246	187
gene-b4504	65
gene-b0247	19
gene-b0248	146
gene-b0249	164
gene-b0250	3107
gene-b0251	68
gene-b0252	293
gene-b0253	1347
gene-b0254	144
gene-b0256	971
gene-b4690	42
gene-b0258	341
gene-b0259	14
gene-b0260	291
gene-b0261	887
gene-b0262	136
gene-b0264	13
gene-b0265	29
gene-b0266	218
gene-b0267	61
gene-b0268	769
gene-b0269	886
gene-b0270	39
gene-b0271	315
gene-b0272	130
gene-b0273	366
gene-b4688	71
gene-b0274	73
gene-b0275	0
gene-b0276	533
gene-b0277	696
gene-b0278	25
gene-b0279	20
gene-b4729	11
gene-b0280	645
gene-b0281	1499
gene-b0282	163
gene-b0283	717
gene-b0284	2187
gene-b0285	554
gene-b0286	514
gene-b0287	603
gene-b0288	342
gene-b0289	160
gene-b0290	472
gene-b0291	402
gene-b0292	47
gene-b0293	53
gene-b0294	10
gene-b0295	11142
gene-b4506	27807
gene-b0296	25063
gene-b4671	30
gene-b0298	4
gene-b0299	2
gene-b0301	2
gene-b0303	0
gene-b0304	194
gene-b0305	34
gene-b0306	197
gene-b0307	555
gene-b0308	634
gene-b0310	4
gene-b0311	213
gene-b0312	1300
gene-b0313	532
gene-b0314	4230
gene-b4730	1
gene-b0315	114
gene-b0316	148
gene-b0317	153
gene-b0318	26
gene-b0319	82
gene-b0320	156
gene-b0321	319
gene-b0322	123
gene-b0323	131
gene-b0324	795
gene-b0325	10555
gene-b0326	12
gene-b0327	23
gene-b0328	378
gene-b0329	85193
gene-b0330	1957
gene-b0331	36939
gene-b0333	13360
gene-b0334	7996
gene-b0335	4503
gene-b0336	138
gene-b0337	407
gene-b0338	289
gene-b0339	60
gene-b0340	172
gene-b0341	132
gene-b0342	69
gene-b0343	226
gene-b0344	504
gene-b0345	1343
gene-b0346	5755
gene-b0347	137
gene-b0348	51
gene-b0349	36
gene-b0350	57
gene-b0351	285
gene-b0352	384
gene-b0353	927
gene-b0354	1132
gene-b0355	239
gene-b0356	828
gene-b0357	277
gene-b0358	833
gene-b0360	2
gene-b0361	25
gene-b0363	731
gene-b4731	0
gene-b0364	4
gene-b0365	145
gene-b0366	236
gene-b0367	216
gene-b0368	163
gene-b0369	2975
gene-b0372	42
gene-b0373	27
gene-b0375	20
gene-b0376	766
gene-b0377	1323
gene-b0378	1705
gene-b0379	671
gene-b0380	1192
gene-b0381	3169
gene-b0382	792
gene-b0383	434
gene-b0384	6886
gene-b0385	19439
gene-b0386	913
gene-b0387	233
gene-b0388	344
gene-b0389	1614
gene-b0390	747
gene-b0391	862
gene-b4732	202
gene-b0393	1430
gene-b0394	1801
gene-b0396	2149
gene-b0397	551
gene-b0398	1558
gene-b0399	1735
gene-b0400	666
gene-b0401	21703
gene-b0402	2211
gene-b0403	968
gene-b0404	740
gene-b0405	697
gene-b0406	864
gene-b0407	5340
gene-b0408	4038
gene-b0409	4819
gene-b0410	459
gene-b0411	1981
gene-b0412	660
gene-b0413	2319
gene-b0414	3953
gene-b0415	2312
gene-b0416	5681
gene-b0417	1058
gene-b0418	1557
gene-b0419	13847
gene-b0420	1359
gene-b0421	1684
gene-b0422	650
gene-b0423	1251
gene-b0424	2854
gene-b0425	3154
gene-b0426	12314
gene-b0427	311
gene-b0428	3057
gene-b0429	846
gene-b0430	1783
gene-b0431	3049
gene-b0432	1560
gene-b0433	206
gene-b0434	123
gene-b0435	24972
gene-b0436	3163
gene-b0437	14408
gene-b0438	162283
gene-b0439	58548
gene-b0440	952
gene-b0441	4601
gene-b0442	262
gene-b0443	232
gene-b0444	846
gene-b0445	994
gene-b0446	1247
gene-b0447	1055
gene-b0448	1023
gene-b0449	818
gene-b0450	15
gene-b0451	302
gene-b0452	1089
gene-b0453	12478
gene-b0454	1238
gene-b0455	24
gene-b0456	971
gene-b0457	1090
gene-b0458	1973
gene-b0459	519
gene-b0460	2052
gene-b0461	2391
gene-b0462	5155
gene-b0463	2758
gene-b0464	1633
gene-b0465	3645
gene-b0466	561
gene-b0467	972
gene-b0468	824
gene-b0469	348
gene-b0470	1678
gene-b0471	2269
gene-b0472	776
gene-b0473	78228
gene-b0474	1998
gene-b0475	1266
gene-b0476	697
gene-b0477	341
gene-b0478	6069
gene-b0479	333
gene-b0480	3823
gene-b0481	233
gene-b4585	58
gene-b0482	240
gene-b0483	1698
gene-b0484	7834
gene-b0485	5844
gene-b0486	2809
gene-b0487	1436
gene-b0488	4700
gene-b0489	12509
gene-b0490	179
gene-b0491	366
gene-b0492	13463
gene-b0493	287
gene-b0494	1431
gene-b0495	956
gene-b0496	480
gene-b0497	1364
gene-b0498	16
gene-b0502	65
gene-b0503	244
gene-b0504	75
gene-b0505	264
gene-b0506	9779
gene-b0507	469
gene-b0508	71
gene-b0509	5
gene-b0511	128
gene-b0512	201
gene-b0513	233
gene-b0514	308
gene-b0515	72
gene-b0516	173
gene-b0517	38
gene-b0518	57
gene-b4572	63
gene-b0520	38
gene-b0521	73
gene-b0522	113
gene-b0523	14
gene-b0524	1653
gene-b0525	6127
gene-b0526	1126
gene-b0527	39
gene-b0528	796
gene-b0529	1961
gene-b0530	203
gene-b0531	15
gene-b0532	76
gene-b0533	7
gene-b0534	4
gene-b0535	2
gene-b0536	198
gene-b0537	1528
gene-b0540	2
gene-b0541	51
gene-b0543	466
gene-b4733	108
gene-b0544	59
gene-b0545	738
gene-b0546	503
gene-b4588	48
gene-b0547	14
gene-b0548	0
gene-b0549	5
gene-b0550	10
gene-b4509	0
gene-b0551	20
gene-b0552	192
gene-b0554	72
gene-b0555	329
gene-b0556	35
gene-b4510	2
gene-b0557	33
gene-b0558	35
gene-b0559	16
gene-b4589	13
gene-b0560	159
gene-b0561	51
gene-b0563	38
gene-b0564	558
gene-b0565	2172
gene-b0566	37
gene-b0567	436
gene-b0568	1340
gene-b0569	1765
gene-b0570	308
gene-b0571	593
gene-b0572	11
gene-b0573	34
gene-b0574	58
gene-b0575	396
gene-b0576	236
gene-b0577	691
gene-b0578	822
gene-b0579	702
gene-b0580	1235
gene-b0581	6650
gene-b4700	21
gene-b4415	18
gene-b0582	114
gene-b0583	130
gene-b0584	1987
gene-b0585	2976
gene-b4511	359
gene-b0586	3043
gene-b0587	70
gene-b0588	66
gene-b0589	111
gene-b0590	268
gene-b0591	474
gene-b0592	1402
gene-b0593	1311
gene-b0594	1595
gene-b0595	1150
gene-b0596	871
gene-b0597	318
gene-b0598	20296
gene-b4512	1063
gene-b0599	2118
gene-b0600	75
gene-b0601	219
gene-b0602	305
gene-b0603	88
gene-b0604	435
gene-b0605	5569
gene-b0606	8299
gene-b0607	15193
gene-b0608	3319
gene-b4734	224
gene-b0610	646
gene-b0611	2514
gene-b0612	31
gene-b0613	21
gene-b0614	26
gene-b0615	45
gene-b0616	37
gene-b0617	2
gene-b0618	27
gene-b0619	578
gene-b0620	276
gene-b0621	171
gene-b0622	235
gene-b0623	35415
gene-b0624	957
gene-b0627	1290
gene-b0628	3159
gene-b0629	205
gene-b0630	350
gene-b0631	22593
gene-b0632	1171
gene-b0633	4865
gene-b0634	1916
gene-b0635	480
gene-b0636	97
gene-b0637	199
gene-b0638	202
gene-b0639	704
gene-b0640	1735
gene-b0641	12869
gene-b0642	50862
gene-b0643	24015
gene-b0644	1428
gene-b0645	0
gene-b0646	70
gene-b0647	3
gene-b0648	38
gene-b0649	221
gene-b0650	136
gene-b0651	359
gene-b0652	345
gene-b0653	195
gene-b0654	290
gene-b0655	5000
gene-b0656	24
gene-b0657	2554
gene-b0658	8766
gene-b0659	5264
gene-b0660	19285
gene-b0661	4685
gene-b0662	11860
gene-b0664	87
gene-b0665	116
gene-b0666	852
gene-b0668	919
gene-b0670	713
gene-b0672	874
gene-b0673	572
gene-b0674	1128
gene-b0675	927
gene-b0676	4068
gene-b0677	7461
gene-b0678	5979
gene-b0679	9201
gene-b0680	4730
gene-b0681	106
gene-b0682	107
gene-b0683	8352
gene-b4637	1388
gene-b0684	1849
gene-b0685	75
gene-b0686	356
gene-b0687	2457
gene-b0688	8255
gene-b0689	71
gene-b0692	525
gene-b0693	124
gene-b4590	1
gene-b0694	2555
gene-b0695	11629
gene-b0696	930
gene-b0697	301
gene-b0698	72
gene-b4513	3
gene-b0699	1789
gene-b0700	210
gene-b0702	39
gene-b0704	66
gene-b4514	0
gene-b0706	1
gene-b0707	538
gene-b0708	777
gene-b0709	283
gene-b0710	2419
gene-b0711	2298
gene-b0712	2084
gene-b0713	1145
gene-b0714	122
gene-b0715	49
gene-b0716	699
gene-b0717	94
gene-b0718	78
gene-b0719	58
gene-b0720	33009
gene-b4735	2169
gene-b0721	4889
gene-b0722	3744
gene-b0723	10755
gene-b0724	3447
gene-b0726	15898
gene-b0727	7467
gene-b0728	7316
gene-b0729	5470
gene-b0730	234
gene-b0731	192
gene-b0732	628
gene-b0733	18249
gene-b0734	17735
gene-b4515	2884
gene-b0735	2427
gene-b0736	454
gene-b0737	2062
gene-b0738	1094
gene-b0739	2696
gene-b0740	9436
gene-b0741	7770
gene-b0742	6290
gene-b0743	1310
gene-b0744	1420
gene-b0745	1326
gene-b0746	919
gene-b0747	764
gene-b0748	333
gene-b0749	161
gene-b0750	543
gene-b0751	1905
gene-b0752	1404
gene-b0753	12919
gene-b0754	1180
gene-b0755	92619
gene-b0756	3064
gene-b0757	2324
gene-b0758	1263
gene-b0759	1687
gene-b0760	570
gene-b0761	309
gene-b0762	74
gene-b0763	265
gene-b0764	249
gene-b0765	504
gene-b0766	336
gene-b0767	1846
gene-b0768	151
gene-b0769	11
gene-b0770	27
gene-b0771	74
gene-b0772	481
gene-b0773	4846
gene-b0774	3984
gene-b0775	2914
gene-b0776	1163
gene-b0777	125
gene-b0778	41
gene-b0779	30347
gene-b0780	842
gene-b0781	3532
gene-b0782	2549
gene-b0783	2708
gene-b0784	1159
gene-b0785	1649
gene-b0786	25450
gene-b0787	207
gene-b0788	435
gene-b0789	2188
gene-b0790	2212
gene-b0791	6625
gene-b0792	1936
gene-b0793	385
gene-b0794	784
gene-b0795	1183
gene-b0796	467
gene-b0797	472
gene-b0798	351
gene-b0799	1594
gene-b0800	3879
gene-b0801	769
gene-b0802	3528
gene-b0803	260
gene-b0804	425
gene-b0805	509
gene-b0806	14371
gene-b0807	451
gene-b0808	2705
gene-b0809	923
gene-b0810	1449
gene-b0811	7191
gene-b0812	358163
gene-b0813	172
gene-b4736	672
gene-b0814	81263
gene-b0815	500
gene-b4416	7910
gene-b4705	7642
gene-b0817	1974
gene-b0818	1662
gene-b0819	5211
gene-b0820	2770
gene-b0821	330
gene-b0822	752
gene-b0823	580
gene-b0824	178
gene-b0825	777
gene-b0826	1870
gene-b0827	4175
gene-b0828	5707
gene-b0829	2667
gene-b0830	946
gene-b0831	270
gene-b0832	355
gene-b0833	113
gene-b0834	42
gene-b0835	250
gene-b0836	813610
gene-b0837	1897
gene-b0838	636
gene-b0839	8223
gene-b0840	988
gene-b0841	558
gene-b0842	4871
gene-b0843	559
gene-b0844	538
gene-b0845	747
gene-b0846	240
gene-b4417	462
gene-b0847	2002
gene-b0848	316
gene-b0849	136
gene-b0850	276
gene-b0851	531
gene-b0852	872
gene-b0853	777
gene-b0854	8096
gene-b0855	1523
gene-b0856	974
gene-b0857	833
gene-b0858	339
gene-b0859	259
gene-b0860	98
gene-b0861	200
gene-b0862	298
gene-b0863	2727
gene-b0864	1420
gene-b0865	3810
gene-b0866	4505
gene-b0867	4262
gene-b0868	1468
gene-b0869	646
gene-b0870	4163
gene-b0871	11645
gene-b0872	181
gene-b0873	156
gene-b0874	89
gene-b0875	4854
gene-b0876	2209
gene-b0877	1027
gene-b0878	1243
gene-b0879	12091
gene-b0880	37179
gene-b0881	9893
gene-b0882	142610
gene-b0883	123
gene-b0884	591
gene-b0885	886
gene-b0886	339
gene-b0887	360
gene-b0888	390
gene-b0889	1432
gene-b0890	5060
gene-b0891	2538
gene-b0892	1612
gene-b0893	9629
gene-b0894	187
gene-b0895	234
gene-b0896	871
gene-b0897	3007
gene-b0898	1417
gene-b0899	884
gene-b0900	124
gene-b0901	49
gene-b0902	13424
gene-b0903	189387
gene-b0904	8481
gene-b0905	353
gene-b0906	1810
gene-b0907	3276
gene-b0908	680
gene-b0909	180
gene-b0910	2877
gene-b0911	63363
gene-b0912	4513
gene-b0913	654
gene-b0914	1312
gene-b0915	1012
gene-b0916	269
gene-b0917	439
gene-b0918	2866
gene-b0919	1174
gene-b0920	166
gene-b0921	944
gene-b0922	1028
gene-b0923	486
gene-b0924	3553
gene-b0925	14944
gene-b0926	1824
gene-b0927	1570
gene-b0928	4776
gene-b0929	2609
gene-b0930	24319
gene-b0931	801
gene-b0932	10446
gene-b0933	840
gene-b0934	109
gene-b0935	63
gene-b0936	58
gene-b0937	63
gene-b0938	1
gene-b0939	17
gene-b0940	367
gene-b0941	334
gene-b0942	91
gene-b0943	107
gene-b0944	186
gene-b0945	21
gene-b0946	346
gene-b0947	556
gene-b0948	1814
gene-b0949	5976
gene-b0950	6741
gene-b0951	3278
gene-b0952	2226
gene-b0953	17133
gene-b0954	19114
gene-b0955	30455
gene-b0956	1356
gene-b0957	85994
gene-b0958	5793
gene-b0959	722
gene-b0960	916
gene-b0961	71
gene-b0962	4121
gene-b0963	12192
gene-b0964	1457
gene-b0965	11286
gene-b0966	225772
gene-b0967	4173
gene-b0968	3586
gene-b0969	1898
gene-b0970	8573
gene-b0971	242
gene-b0972	2111
gene-b0973	2114
gene-b0974	957
gene-b0975	1062
gene-b0976	333
gene-b0977	312
gene-b0978	5666
gene-b0979	3354
gene-b4592	408
gene-b0980	2017
gene-b0981	2391
gene-b0982	190
gene-b0983	131
gene-b0984	114
gene-b0985	24
gene-b0986	32
gene-b0987	0
gene-b4516	77
gene-b0988	920
gene-b0989	8
gene-b0990	53
gene-b4723	1
gene-b0991	7
gene-b4517	14
gene-b0992	124
gene-b0993	471
gene-b0994	188
gene-b0995	429
gene-b0996	76
gene-b0997	282
gene-b0998	252
gene-b0999	6407
gene-b1000	11599
gene-b1001	61
gene-b1002	18456
gene-b1003	31269
gene-b1004	40345
gene-b4518	2722
gene-b1006	765
gene-b1007	171
gene-b1008	52
gene-b1009	13
gene-b1010	11
gene-b1011	1
gene-b1012	32
gene-b1013	494
gene-b1014	9687
gene-b4737	74
gene-b1015	4227
gene-b1018	120
gene-b1019	215
gene-b1020	22696
gene-b1021	84
gene-b1022	64
gene-b1023	51
gene-b1024	183
gene-b1025	62
gene-b1026	0
gene-b1027	2
gene-b1029	112
gene-b1032	34
gene-b1033	702
gene-b1034	957
gene-b1035	802
gene-b1036	657
gene-b1037	580
gene-b1038	51
gene-b1039	41
gene-b1040	397
gene-b1041	18
gene-b1042	474
gene-b1043	19
gene-b1044	74
gene-b1045	1760
gene-b1046	3719
gene-b1047	396
gene-b1048	9510
gene-b1049	7002
gene-b1050	5238
gene-b1051	15403
gene-b1053	484
gene-b1054	762
gene-b1055	342
gene-b1056	93
gene-b1057	45
gene-b1058	12
gene-b1059	205
gene-b1060	4075
gene-b1061	16
gene-b1062	368
gene-b1063	2587
gene-b1064	1490
gene-b1065	523
gene-b1066	2489
gene-b1067	4301
gene-b1068	3463
gene-b1069	740
gene-b1070	227
gene-b1071	272
gene-b1072	38
gene-b1073	76
gene-b1074	200
gene-b1075	254
gene-b1076	771
gene-b1077	305
gene-b1078	190
gene-b1079	258
gene-b1080	107
gene-b1081	84
gene-b1082	346
gene-b1083	1011
gene-b1084	13539
gene-b1085	910
gene-b1086	600
gene-b1087	994
gene-b4418	3005
gene-b1088	17901
gene-b1089	16300
gene-b1090	3466
gene-b1091	6298
gene-b1092	7044
gene-b1093	4417
gene-b1094	10311
gene-b1095	28555
gene-b1096	790
gene-b1097	441
gene-b1098	635
gene-b1099	537
gene-b1100	11229
gene-b1101	14615
gene-b1102	847
gene-b1103	2120
gene-b1104	798
gene-b1105	1689
gene-b1106	994
gene-b1107	3208
gene-b1108	7261
gene-b1109	1338
gene-b1110	5914
gene-b1111	2896
gene-b1112	1619
gene-b1113	125
gene-b1114	5760
gene-b1115	98
gene-b1116	344
gene-b1117	129
gene-b1118	1835
gene-b1119	3527
gene-b1120	1083
gene-b1121	54
gene-b1122	3
gene-b1123	764
gene-b1124	274
gene-b1125	351
gene-b1126	642
gene-b1127	7341
gene-b1128	12165
gene-b1129	1157
gene-b1130	2226
gene-b1131	582
gene-b1132	623
gene-b1133	1455
gene-b1134	325
gene-b1135	301
gene-b1136	9736
gene-b1137	105
gene-b1138	171
gene-b1139	74
gene-b1140	633
gene-b1141	313
gene-b1142	1269
gene-b1143	1853
gene-b1144	1963
gene-b1145	1138
gene-b1146	113
gene-b1147	379
gene-b1148	59
gene-b1149	443
gene-b1150	50
gene-b1151	46
gene-b1153	4
gene-b1154	7
gene-b1155	98
gene-b1156	31
gene-b1158	6
gene-b1159	252
gene-b1160	1
gene-b4738	0
gene-b4739	0
gene-b1161	18
gene-b1162	2027
gene-b1163	566
gene-b1164	1313
gene-b1165	2415
gene-b1166	1332
gene-b1167	378
gene-b1168	607
gene-b4520	83
gene-b1171	495
gene-b1172	101
gene-b4593	20
gene-b4594	59
gene-b1174	319
gene-b1175	2557
gene-b1176	499
gene-b1177	465
gene-b1178	4369
gene-b1179	1181
gene-b1180	9364
gene-b1181	5628
gene-b1182	240
gene-b1183	508
gene-b1184	1402
gene-b1185	1290
gene-b1186	388
gene-b1187	1178
gene-b1188	48836
gene-b1189	32022
gene-b1190	13284
gene-b4740	170
gene-b1191	483
gene-b1192	676
gene-b1193	1615
gene-b1194	299
gene-b1195	6546
gene-b1196	1483
gene-b1197	4011
gene-b1198	1440
gene-b1199	814
gene-b1200	1354
gene-b1201	562
gene-b1202	777
gene-b1203	2510
gene-b1204	356
gene-b1205	125928
gene-b1206	9772
gene-b1207	2283
gene-b1208	1343
gene-b1209	905
gene-b1210	734
gene-b1211	695
gene-b1212	207
gene-b1213	376
gene-b1214	3727
gene-b1215	4145
gene-b4419	67
gene-b4420	113
gene-b4421	0
gene-b4422	17
gene-b4423	0
gene-b4424	0
gene-b1216	327
gene-b1217	981
gene-b1218	7047
gene-b1219	1321
gene-b1220	319
gene-b1221	312
gene-b1222	844
gene-b1223	536
gene-b1224	478
gene-b1225	732
gene-b1226	275
gene-b1227	335
gene-b1228	50
gene-b4425	15
gene-b1229	0
gene-b1230	228
gene-b1231	36
gene-b1232	762
gene-b1233	503
gene-b1234	3968
gene-b1235	6679
gene-b1236	9748
gene-b1237	48358
gene-b1238	113
gene-b1241	233314
gene-b1242	131
gene-b4711	1631
gene-b1243	15460
gene-b1244	1946
gene-b1245	2711
gene-b1246	3606
gene-b1247	3347
gene-b1248	834
gene-b1249	2661
gene-b4595	256
gene-b1250	773
gene-b1251	40
gene-b1252	3059
gene-b1253	133
gene-b1254	5603
gene-b1255	2827
gene-b1256	268
gene-b1257	324
gene-b1258	551
gene-b1259	1239
gene-b1260	425
gene-b1261	701
gene-b1262	761
gene-b1263	132
gene-b1264	62
gene-b1265	0
gene-b1266	1997
gene-b1267	6935
gene-b1268	2292
gene-b1269	1717
gene-b1270	842
gene-b1271	559
gene-b1272	3643
gene-b1273	1018
gene-b1274	12463
gene-b1275	1338
gene-b4522	286
gene-b4523	320
gene-b4741	392
gene-b1276	36148
gene-b1277	2107
gene-b1278	914
gene-b1279	3495
gene-b1280	3924
gene-b1281	324
gene-b1282	225
gene-b1283	6781
gene-b1284	508
gene-b4596	78
gene-b1285	5352
gene-b4672	78
gene-b1286	999
gene-b1287	549
gene-b1288	13249
gene-b1289	390
gene-b1290	1544
gene-b1291	4353
gene-b1292	6544
gene-b1293	8595
gene-b1294	5417
gene-b1295	26
gene-b1296	957
gene-b4742	83
gene-b1297	1877
gene-b1298	2370
gene-b1299	2874
gene-b1300	249
gene-b1301	339
gene-b1302	151
gene-b1303	161
gene-b1304	6688
gene-b1305	2050
gene-b1306	3246
gene-b1307	1763
gene-b1308	824
gene-b1309	14
gene-b1310	5
gene-b1311	34
gene-b1312	28
gene-b1313	84
gene-b1314	18
gene-b1315	50
gene-b1316	163
gene-b1317	35
gene-b1319	5
gene-b1320	26
gene-b1321	11535
gene-b1322	10522
gene-b1323	5863
gene-b1324	4659
gene-b1325	3168
gene-b1326	4389
gene-b4525	94
gene-b4673	34
gene-b1327	214
gene-b1328	284
gene-b1329	1681
gene-b1330	433
gene-b1331	16
gene-b1332	1112
gene-b1333	61512
gene-b1334	16051
gene-b1335	115
gene-b1336	84
gene-b1337	275
gene-b1338	129
gene-b1339	137
gene-b4426	99
gene-b1340	1063
gene-b1341	1926
gene-b1342	1432
gene-b4699	139
gene-b4743	224
gene-b1343	312
gene-b1344	1257
gene-b1345	630
gene-b1346	3
gene-b1347	13
gene-b4714	7
gene-b1348	0
gene-b1349	168
gene-b1350	437
gene-b1351	1
gene-b4526	23
gene-b1352	31
gene-b1353	3
gene-b4527	2
gene-b1355	6
gene-b1356	118
gene-b1357	11
gene-b1358	132
gene-b1359	50
gene-b1360	151
gene-b1361	177
gene-b4528	58
gene-b1363	197
gene-b1365	29
gene-b1366	61
gene-b1368	336
gene-b1370	357
gene-b1372	737
gene-b1373	7
gene-b1374	1571
gene-b1375	71
gene-b4744	59
gene-b1376	35063
gene-b1377	200
gene-b4427	1678
gene-b1378	47036
gene-b4529	2886
gene-b1379	2177
gene-b1380	7847
gene-b1381	1418
gene-b1382	363
gene-b1383	621
gene-b1384	727
gene-b1385	2214
gene-b1386	327
gene-b1387	314
gene-b1388	70
gene-b1389	0
gene-b1390	15
gene-b1391	26
gene-b1392	76
gene-b1393	78
gene-b1394	40
gene-b1395	250
gene-b1396	79
gene-b1397	1201
gene-b1398	1658
gene-b1399	1054
gene-b1400	1060
gene-b4674	1
gene-b1402	76
gene-b1403	61
gene-b1404	63
gene-b1406	1738
gene-b1407	134
gene-b1408	14
gene-b1409	35
gene-b1410	138
gene-b1411	460
gene-b1412	409
gene-b1413	5085
gene-b1414	1902
gene-b1415	22846
gene-b1418	185
gene-b4597	23
gene-b1419	489
gene-b4428	4916
gene-b1420	5081
gene-b4429	2356
gene-b1421	506
gene-b1422	1359
gene-b1423	5797
gene-b1424	1948
gene-b1426	416
gene-b1427	485
gene-b1428	1128
gene-b1429	687
gene-b1430	214
gene-b1431	15580
gene-b1432	748
gene-b1433	255
gene-b1434	144
gene-b1435	669
gene-b1436	393
gene-b4532	343
gene-b1438	579
gene-b1439	721
gene-b1440	5598
gene-b1441	1737
gene-b1442	478
gene-b1443	493
gene-b1444	1979
gene-b4598	331
gene-b1445	66
gene-b1446	2302
gene-b1447	946
gene-b1448	565
gene-b1449	3654
gene-b1450	765
gene-b1451	522
gene-b1452	2308
gene-b1453	205
gene-b1454	2195
gene-b1455	17
gene-b1457	106
gene-b4745	54
gene-b1460	48
gene-b1461	123
gene-b1462	858
gene-b1463	1167
gene-b1464	512
gene-b1465	228
gene-b1466	148
gene-b1467	398
gene-b1468	810
gene-b1469	236
gene-b1471	7
gene-b1472	2
gene-b1473	54
