Geneid	1714__30min_MOXI_N=3_library-read-1.fastq.gz
gene-b0465	3030
gene-b0466	243
gene-b0467	729
gene-b0468	653
gene-b0469	639
gene-b0470	3785
gene-b0471	2479
gene-b0472	1204
gene-b0473	88930
gene-b0474	1301
gene-b0475	1371
gene-b0476	670
gene-b0477	528
gene-b0478	4841
gene-b0479	167
gene-b0480	2359
gene-b0481	197
gene-b4585	86
gene-b0482	212
gene-b0483	999
gene-b0484	7511
gene-b0485	18332
gene-b0486	8282
gene-b0487	2382
gene-b0488	3290
gene-b0489	7635
gene-b0490	99
gene-b0491	325
gene-b0492	10813
gene-b0493	347
gene-b0494	1747
gene-b0495	679
gene-b0496	439
gene-b0497	1021
gene-b0498	32
gene-b0502	93
gene-b0503	201
gene-b0504	67
gene-b0505	137
gene-b0506	6744
gene-b0507	295
gene-b0508	42
gene-b0509	33
gene-b0511	90
gene-b0512	81
gene-b0513	111
gene-b0514	223
gene-b0515	107
gene-b0516	114
gene-b0517	5
gene-b0518	48
gene-b4572	73
gene-b0520	27
gene-b0521	83
gene-b0522	71
gene-b0523	41
gene-b0524	3249
gene-b0525	10724
gene-b0526	1672
gene-b0527	66
gene-b0528	579
gene-b0529	1767
gene-b0530	113
gene-b0531	19
gene-b0532	81
gene-b0533	8
gene-b0534	4
gene-b0535	35
gene-b0536	51
gene-b0537	703
gene-b0540	5
gene-b0541	39
gene-b0543	332
gene-b4733	107
gene-b0544	79
gene-b0545	533
gene-b0546	526
gene-b4588	55
gene-b0547	23
gene-b0548	0
gene-b0549	0
gene-b0550	6
gene-b4509	11
gene-b0551	36
gene-b0552	217
gene-b0554	68
gene-b0555	275
gene-b0556	126
gene-b4510	61
gene-b0557	149
gene-b0558	2
gene-b0559	27
gene-b4589	18
gene-b0560	87
gene-b0561	46
gene-b0563	3
gene-b0564	378
gene-b0565	6456
gene-b0566	65
gene-b0567	492
gene-b0568	1371
gene-b0569	1248
gene-b0570	229
gene-b0571	528
gene-b0572	22
gene-b0573	18
gene-b0574	80
gene-b0575	233
gene-b0576	289
gene-b0577	598
gene-b0578	1051
gene-b0579	944
gene-b0580	691
gene-b0581	4775
gene-b4700	28
gene-b4415	18
gene-b0582	119
gene-b0583	37
gene-b0584	1783
gene-b0585	3227
gene-b4511	482
gene-b0586	4723
gene-b0587	34
gene-b0588	114
gene-b0589	169
gene-b0590	338
gene-b0591	718
gene-b0592	1353
gene-b0593	2183
gene-b0594	1891
gene-b0595	1773
gene-b0596	1248
gene-b0597	477
gene-b0598	10212
gene-b4512	847
gene-b0599	2063
gene-b0600	297
gene-b0601	168
gene-b0602	126
gene-b0603	16
gene-b0604	346
gene-b0605	13618
gene-b0606	6429
gene-b0607	11493
gene-b0608	2917
gene-b4734	252
gene-b0610	345
gene-b0611	1978
gene-b0612	27
gene-b0613	35
gene-b0614	0
gene-b0615	20
gene-b0616	27
gene-b0617	11
gene-b0618	69
gene-b0619	439
gene-b0620	333
gene-b0621	108
gene-b0622	175
gene-b0623	28701
gene-b0624	584
gene-b0627	794
gene-b0628	2206
gene-b0629	136
gene-b0630	621
gene-b0631	21064
gene-b0632	1119
gene-b0633	3949
gene-b0634	1404
gene-b0635	463
gene-b0636	321
gene-b0637	435
gene-b0638	220
gene-b0639	322
gene-b0640	1550
gene-b0641	8822
gene-b0642	39192
gene-b0643	13682
gene-b0644	1285
gene-b0645	14
gene-b0646	78
gene-b0647	34
gene-b0648	46
gene-b0649	107
gene-b0650	115
gene-b0651	384
gene-b0652	282
gene-b0653	140
gene-b0654	217
gene-b0655	5146
gene-b0656	21
gene-b0657	2088
gene-b0658	7630
gene-b0659	5381
gene-b0660	18627
gene-b0661	5036
gene-b0662	9091
gene-b0664	137
gene-b0665	181
gene-b0666	698
gene-b0668	787
gene-b0670	553
gene-b0672	668
gene-b0673	400
gene-b0674	842
gene-b0675	841
gene-b0676	3108
gene-b0677	5132
gene-b0678	3914
gene-b0679	3929
gene-b0680	5889
gene-b0681	123
gene-b0682	102
gene-b0683	6954
gene-b4637	1240
gene-b0684	2711
gene-b0685	137
gene-b0686	221
gene-b0687	2347
gene-b0688	8635
gene-b0689	42
gene-b0692	616
gene-b0693	113
gene-b4590	11
gene-b0694	936
