	featureCounts on 30min_-_1	featureCounts on 30min_-_3	featureCounts on 30min_-_2	featureCounts on 30min_MMC_1	featureCounts on 30min_MMC_3	featureCounts on 30min_MMC_2
gene-b0071	1966.24188219701	2588.98835533291	2714.23254787733	2379.81307718665	2294.02617653712	2388.04446333582
gene-b0072	1761.82016454094	1962.19787486989	3191.05718466659	1380.21031625111	1854.35068204278	1109.32515295098
gene-b0073	1466.77851019198	1491.69588235521	2891.51350258103	1697.15753313311	1419.30335064838	1151.67369230945
gene-b0074	1528.94800164408	1739.62997580208	2051.97610789225	1288.10599681531	1488.72579714749	1588.58667154433
gene-b0075	36.8802067936202	174.290303314131	5.09428030757757	8.12685171492312	37.025304799523	28.9209537082193
gene-b0076	79.0290145577575	85.0994908200451	281.204272978282	108.358022865642	238.35039964693	210.709805588455
gene-b4726	0	1.63652866961625	0	0	4.62816309994038	0
gene-b0077	1458.34874863915	1162.75361976235	1548.66121350358	1196.00167737952	1004.31139268706	1319.00206733557
gene-b0078	230.764722508652	99.0099845117832	631.690758139619	357.581475456617	156.586184881316	289.209537082193
gene-b0080	4059.98390788053	1677.44188635666	4778.43492850776	2870.13313065368	2221.51828797138	3279.4295722713
gene-b0081	6027.27951027164	3277.96692524135	13637.3883833852	4047.17215403171	3481.15001167182	7848.94025816994
gene-b0082	11893.3398308455	8206.37301379069	13031.1690267834	7754.37101132248	10602.3503014468	15331.2041389678
gene-b0083	3750.19017081412	2935.93243329155	3246.07541198843	2053.38453330391	3140.20866330955	5534.23107030853
gene-b0084	872.480320717643	820.71912781255	699.954114261158	544.499064899849	553.065490442876	580.484856572116
gene-b0085	676.488364614404	515.506530929119	601.125076294153	549.916966043131	222.151828797138	459.636585719914
gene-b0086	498.409651810924	514.688266594311	415.69327309833	266.831631306642	308.544206662692	397.663113488015
gene-b0087	543.719620157372	237.296657094356	416.712129159845	279.021908879027	204.410536914033	550.531011660032
gene-b0088	748.141337813438	588.332056727042	720.331235491469	568.879620044618	543.809164242995	576.353291756656
gene-b0089	605.889111609474	472.956785519097	749.878061275418	530.954312041644	431.190528811112	748.846122802107
gene-b0090	929.381211199228	886.1802745972	729.500940045108	624.41310676326	387.994339878335	944.062560332587
gene-b0091	1562.66704785539	1309.222935693	1176.77875105042	977.931156362415	988.112821837271	912.042933012773
gene-b0092	3488.86756267647	2830.37633410131	1740.2061530685	2967.65535123276	3165.66356035922	2465.51130362569
gene-b0093	8485.60872311495	6946.24593818618	5087.14831514696	6134.41856948113	7202.19314402389	6615.66816075516
gene-b0094	10613.0697950098	8099.99865026563	8710.20046989613	8538.61220181256	9159.13477478201	7789.03256834577
gene-b0095	23761.3903770324	16785.8745642539	20569.6850259367	18847.5236021925	19668.1504537133	14898.4227245484
gene-b0096	229178.873616526	123696.20122861	234448.968315335	219675.574230801	196737.042494332	414799.811451339
gene-b0097	2084.25854393659	2207.67717531232	2653.1011841864	3262.93096354163	4207.00025784581	2143.24924801982
gene-b0098	11232.6572691426	10374.7735010322	12168.1979426798	13302.3017820433	15771.2371235635	10096.5115177801
gene-b0099	246.570525420203	270.84549482149	115.130734951253	279.021908879027	149.643940231406	195.21643753048
gene-b0101	853.513357223781	1109.56643799982	598.068508109607	555.334867186413	996.597787520495	554.662576475492
gene-b0102	2343.47371168604	2426.15375270609	2525.74417649696	2206.44024060163	1813.46857465997	1993.4800234594
gene-b0103	3582.64865995167	3066.03646252605	2970.98427537924	2226.75736988894	2679.70643486548	2859.04285229825
gene-b4727	3.1611605823103	51.5506530929119	8.15084849212411	0	11.570407749851	6.19734722318985
gene-b0104	496.302211422717	482.775957536794	714.218099122375	862.800757067671	737.420653923834	805.65513901468
gene-b0106	140.144785815757	200.474762027991	197.65807593401	265.477156020822	132.674008864958	244.795215315999
gene-b0107	104.31829921624	95.7369271725507	159.960401657936	128.675152152949	151.186661264719	190.051981511155
gene-b0108	0	3.2730573392325	15.2828409227327	0	1.54272103331346	8.2631296309198
