	featureCounts on 30min_-_1	featureCounts on 30min_-_3	featureCounts on 30min_-_2	featureCounts on 30min_MMC_1	featureCounts on 30min_MMC_3	featureCounts on 30min_MMC_2
gene-b0108	2.14603190295086	2.17726147990058	2.28299281029785	2.14688433105403	2.16045186057523	2.22311361642643
gene-b0109	8.79881769890419	8.41100125719906	8.92774918025435	8.92185897902257	8.62149171704447	9.00825489174257
gene-b0110	8.32410232961854	8.01174573131307	8.49670759424444	8.05704253678081	8.19763896801884	8.43401588377055
gene-b0111	10.1389904567355	9.82106421742675	9.95525073941567	9.60751788776809	9.74857347583035	9.87159027117919
gene-b0112	11.5097799748192	11.4708240122251	11.9212516441452	11.7741144726112	11.684275390379	11.4295029742498
gene-b0113	9.90003133675127	9.54474024000471	10.0133371412951	9.7617534666002	9.76371225457896	9.67506781942256
gene-b0114	14.4136209783202	14.2337390833658	14.5222885748976	14.2855206378091	14.2961317998556	14.0840475624256
gene-b0115	13.2998404930451	12.8702400206448	13.4066948775753	13.0707588525696	13.0348848477618	13.0453620642195
gene-b0116	12.8598934153497	12.8125029323402	12.8649779164211	13.0078440583571	13.0477537155293	12.8943979260436
gene-b0117	8.53738865153186	8.39595526338676	8.82731681785408	8.63619103433684	8.30326764609238	8.714399174366
gene-b0118	14.4830684326835	14.1436780392032	14.6154540304891	14.4913907588926	14.4273331027885	14.4528406629064
gene-b0119	13.4248233664047	12.9123487093827	13.5556148470723	13.5044196634476	13.1214274676366	13.7472477725981
gene-b0120	10.8017240829071	10.9872860141623	10.478001601478	10.9234591292574	10.8948276926752	10.6747904647068
gene-b0121	9.53076546954115	9.79965945995631	9.61488552977353	9.76570749358574	9.50042551003752	9.49733674536485
gene-b0122	9.47076187538773	9.64588317971041	8.87196397195539	9.57211597128147	9.73703329277448	9.96705692882444
gene-b0123	10.2173958474096	10.5059177017776	10.0880588796058	10.4371292151731	10.0689202076058	10.1478284474267
gene-b0124	14.6152616091079	14.7783076797631	14.8227454929317	14.7494420835981	14.7763518208539	14.5152005352392
gene-b0125	9.54004187362683	9.71062903902672	9.61059026050237	9.74705349601928	9.48808557214668	9.66909215669006
gene-b0126	10.067282321198	10.1429236507704	10.4421317478155	10.3344537644834	9.96175118668434	10.0024808288664
gene-b0127	10.0728633607091	10.0249672636994	10.1389471000479	10.2137390523056	9.93962597255759	9.90248293860459
gene-b0128	10.0700768123349	9.86231482778382	10.1398774106591	10.1106854353729	9.86049888781956	10.2221984234707
gene-b0129	8.69156840536386	8.18419310447678	8.64583297114083	8.26834318796621	8.47369553092219	8.88139591864482
