	featureCounts on 30min_-_1	featureCounts on 30min_-_3	featureCounts on 30min_-_2	featureCounts on 30min_MMC_1	featureCounts on 30min_MMC_3	featureCounts on 30min_MMC_2
gene-b0074	10.6689674460409	10.8446693488768	11.0711271155984	10.43773163413	10.6328419863578	10.7209169604406
gene-b0075	6.8537880577214	8.05225028113305	6.1109320311851	6.22972679703094	6.85601853930354	6.72273618470056
gene-b0076	7.36019570596474	7.41762884916615	8.55131820471909	7.61569759189165	8.37244119676186	8.24339396145251
gene-b4726	5.65395189502433	5.91369581227106	5.65395189502433	5.65395189502433	6.08968929883458	5.65395189502433
gene-b0077	10.6049452554836	10.3008628136619	10.6863472453176	10.338453182976	10.1068436561106	10.4695566590898
gene-b0078	8.33821621402011	7.53984430548229	9.50960657834762	8.82235811297357	7.94851537456091	8.58232076789434
gene-b0080	12.0223944203699	10.794998351027	12.2522566605366	11.5362383487049	11.1806105422221	11.7225435538522
gene-b0081	12.5810988746881	11.7219188598681	13.7458745056329	12.0179438536947	11.8062049397762	12.9566163871211
gene-b0082	13.5500048916425	13.0200719022426	13.6807636807949	12.9393497315099	13.3857027655121	13.9136133162824
gene-b0083	11.9107303924654	11.5678608219193	11.7082303363285	11.0720717475324	11.6618352921629	12.4600676156458
gene-b0084	9.92268912274455	9.84338980640305	9.63929960842355	9.3247379426082	9.34399971027051	9.40395946321391
gene-b0085	9.59603082996636	9.25754501348719	9.44748867436653	9.33695041364716	8.29829448396819	9.11836288724634
gene-b0086	9.216381895885	9.25560182518493	8.9984167893754	8.49386081374517	8.65447431886297	8.94610279666166
gene-b0087	9.32297235615287	8.36773752420894	9.00131599430867	8.54274525253419	8.21220005741772	9.33832795244863
gene-b0088	9.72425171700152	9.42066561613458	9.6758404677806	9.37888851111942	9.32317530132001	9.39508440826922
gene-b0089	9.45735001548242	9.15280459547505	9.72722136650857	9.29374081731912	9.04188587853255	9.72545758173557
gene-b0090	10.0050860254561	9.94296433111497	9.69198442492947	9.49505952560166	8.91723050242291	10.0255998838475
gene-b0091	10.6985690083304	10.4595594239518	10.3168396456488	10.0718348319343	10.0854480549921	9.9804761004355
gene-b0092	11.8093112889164	11.5167900033869	10.8451216393237	11.5828622610843	11.6731277100369	11.3248697863993
gene-b0093	13.0677730926999	12.7827092298258	12.3407852855141	12.6061077065693	12.8341842617227	12.7133849905452
gene-b0094	13.3871470174666	13.0014771122559	13.1050270035596	13.0766521113592	13.1767284258229	12.9457023308995
gene-b0095	14.5424265232405	14.0435764514297	14.3352692370487	14.2097649643392	14.2709321652593	13.8725744586861
gene-b0096	17.8067482507086	16.9176154646027	17.8395338823713	17.7456760631073	17.5866472720178	18.6624058965945
gene-b0097	11.0926249213672	11.1719777606233	11.4267273080679	11.7154812879445	12.0725057526523	11.131098835718
gene-b0098	13.4682594800517	13.3546948119995	13.5826940074719	13.7102484069862	13.9541762792622	13.3158522132714
gene-b0099	8.40859325738485	8.51014759784574	7.66793925377843	8.54274525253419	7.90552348285704	8.16534822716277
gene-b0101	9.89413758827842	10.2386080690547	9.44112565708324	9.34905913289704	10.0966950056207	9.34756217694293
gene-b0102	11.2545197888754	11.3025545488838	11.3583659215991	11.1712037545331	10.9015045887849	11.0313365716577
gene-b0103	11.8465334597192	11.6284172477493	11.5844274643793	11.1838647451982	11.440607875918	11.530839503589
gene-b4727	6.01450036650127	7.05769782465254	6.23056511571143	5.65395189502433	6.33907870513675	6.15753407500403
gene-b0104	9.21122447556919	9.17766945100989	9.66497581004689	9.90818918552766	9.70578268890752	9.81946305266437
gene-b0106	7.84433170499807	8.19234123824868	8.17794885220104	8.48832143250893	7.79411621029631	8.40086527148692
gene-b0107	7.58347843052513	7.51215870783863	7.96891847078843	7.76642052614873	7.91519863729687	8.13830377096163
gene-b0108	5.65395189502433	6.02079253050706	6.43905425027966	5.65395189502433	5.90616102082967	6.23447068655667
gene-b0109	9.09555576110986	8.4144996830444	9.31217713782535	9.30311097782521	8.79071065084111	9.44537824268279
gene-b0110	8.76208547934904	8.22114727635948	9.04971519701452	8.29821037901878	8.54660920602539	8.94610279666166
gene-b0111	10.4730333314256	9.9405573665303	10.1686443763418	9.56411626508069	9.81518207165404	10.0270321404464
gene-b0112	11.4638947782554	11.3949130322746	12.161792208436	11.9184557393974	11.7665012173479	11.3207961479452
gene-b0113	10.1394735814091	9.51935558187106	10.3306239511042	9.90410480993597	9.90755715124937	9.75344640005103
gene-b0114	14.4977842460441	14.1869358751674	14.6819075296513	14.2776516993796	14.2960996041556	13.9156397529192
gene-b0115	13.4403585649433	12.6915995113682	13.6169103659127	13.0497102887794	12.9868928334944	13.0052767139204
gene-b0116	12.8381312558148	12.7546264575928	12.8470296252573	13.0930710433007	13.1607759818298	12.8982761190622
gene-b0117	8.83807630203593	8.59342489171316	9.32376434663283	9.00648223747339	8.42967151549005	9.13716153330429
gene-b0118	14.5237672955858	13.920158361497	14.747448264944	14.5380078523463	14.4278119268208	14.4718640357511
