	featureCounts on 30min_-_1	featureCounts on 30min_-_3	featureCounts on 30min_-_2	featureCounts on 30min_LEVO_1	featureCounts on 30min_LEVO_3	featureCounts on 30min_LEVO_2
gene-b0021	50.4445381823892	12.5867922842329	15.6947006690504	0	21.1546366073424	9.79828666351779
gene-b0022	13.352965989456	14.8752999722752	6.42055936461154	0	0.682407632494916	2.7995104752908
gene-b0023	841.236857335725	845.603590731647	633.495190641672	356.658000614193	1217.41521637093	831.454611161367
gene-b0024	642.426030381603	568.694160478523	626.361235792104	788.401896094531	537.054806773499	579.498668385195
gene-b0025	2050.42211082535	1747.84774674234	2440.52595403734	1705.07552925206	1529.27550442111	1503.33712523116
gene-b0026	20978.2514008792	22269.4683123401	19163.2295169106	14566.6636040323	18702.7459837882	17180.5957868596
gene-b0027	2300.41930740572	2192.96249206658	2125.20514968642	3901.33795408683	2377.50819161229	2744.92002102263
gene-b0028	751.475252628827	896.522886790589	646.336309370895	635.101527409483	722.669682812116	698.477863585054
gene-b0029	1017.05090953023	722.02417557736	1723.56349165572	847.844896196897	935.58086415053	1303.17212624787
gene-b0030	298.958071875042	188.801884263493	146.246074416152	131.400316015755	332.332517025024	361.136851312513
gene-b0031	806.370779474368	798.689183126779	814.697643820709	1023.04531755124	653.064104297635	944.834785410644
gene-b0032	15.5784603210319	42.3373922287834	87.0342491647343	9.38573685826823	70.9703937794713	61.5892304563976
gene-b0033	390.203339469657	306.087903275664	486.535720740564	278.443526795291	418.315878719384	268.753005627917
gene-b0034	74.1831443858664	42.3373922287834	7.13395484956838	556.887053590582	132.387080704014	93.7836009222417
gene-b0035	66.0229985034211	93.8288152097361	14.9813051840936	112.628842299219	100.313921976753	16.7970628517448
gene-b0036	14.8366288771733	39.4767576187305	39.9501471575829	0	182.202837876143	13.997552376454
gene-b0037	245.546207917218	196.239534249631	320.31457274562	616.330053692947	488.60386486636	741.870275952062
gene-b0038	379.075867811777	238.576926478414	301.766290136743	272.186368889779	508.393686208712	502.512130314698
gene-b0039	307.860049201346	250.019464918626	355.984346993462	650.744422173264	538.419622038489	694.278597872118
gene-b0040	11.8693031017386	28.6063461005293	21.4018645487051	0	25.9314900348068	1.3997552376454
gene-b0041	1.48366288771733	16.591680738307	5.70716387965471	6.25715790551215	12.2833373849085	2.7995104752908
gene-b0042	16.3202917648906	10.2982845961906	33.5295877929714	0	11.6009297524136	46.1919228422982
gene-b0043	21.5131118719013	31.4669807105822	37.0965652177556	9.38573685826823	12.2833373849085	19.5965733270356
gene-b0044	22.9967747596186	18.8801884263493	2.85358193982735	43.8001053385851	4.0944457949695	4.1992657129362
gene-b0045	38.5752350806505	56.0684383570375	72.0529439806407	50.0572632440972	75.7472472069357	117.579439962214
gene-b0046	336.049644067975	724.312683265402	328.875318565102	172.071842401584	498.839979353784	219.761572310328
gene-b0047	456.968169416937	594.439871968999	592.831647999133	484.929737677192	425.139955044333	377.933914164258
gene-b0048	3625.33026613729	2119.73024604922	3961.48512796532	5237.24116691367	1232.42818428582	2140.22575835982
gene-b0049	1289.30304942636	993.784463532388	1306.94052844093	700.801685417361	541.831660200963	604.694262662812
gene-b0050	5531.0952454102	6227.02941916322	2889.2517140752	3491.49411127578	2887.26669308599	2225.61082785618
gene-b0051	5934.65155086931	6075.98791175243	3818.80603097396	4508.28227092151	3753.92438635453	3490.98956268763
gene-b0052	205.48730994885	295.789618679473	195.470362878174	397.329527000022	294.117689605309	384.932690352485
gene-b0053	7741.01111666516	12013.5211083783	7308.73674338281	6144.52906321293	6533.37067350633	5782.38888671314
gene-b0054	17744.6081370992	21808.3340131995	17419.6909516761	10530.796754977	12677.0865888581	11018.8732307446
gene-b0055	219.582107382165	247.158830308573	145.532678931195	200.229052976389	469.496451156502	489.91433317589
gene-b0056	1088.26672814066	1549.31970480467	2291.42629768136	1852.1187400316	2019.24418455246	1714.70016611561
gene-b0057	797.468802148064	1449.19749345282	1547.35480687138	1135.67415985046	1568.17273947332	1112.80541392809
gene-b0058	2158.72950162871	2264.4783573179	1934.72855520295	2108.6622141576	1873.89135883104	2452.37117635474
gene-b0059	8623.79053485697	12002.6506968601	11703.2529307169	5443.72737779557	7954.14336436074	7728.04866704025
gene-b0060	3600.84982848996	4328.14016501009	3655.43846491884	1082.4883176536	1757.8820613069	3365.01159129954
gene-b0061	335.307812624116	176.215091979261	136.971933111713	1038.68821231502	467.449228259018	330.342236084314
gene-b0062	2261.84407232507	1369.09972437133	1647.9435702503	4358.11048118921	2136.61829734158	2505.56187538526
