	featureCounts on 30min_-_1	featureCounts on 30min_-_3	featureCounts on 30min_-_2	featureCounts on 30min_LEVO_1	featureCounts on 30min_LEVO_3	featureCounts on 30min_LEVO_2
gene-b0081	12.0682239044009	11.1940715786305	13.2288121777259	12.5919311571848	10.1133301274563	11.6275679649358
gene-b0082	13.0403239838785	12.4990919640836	13.1635684180143	14.4822215565545	12.5024452021196	13.271556388871
gene-b0083	11.3940128638157	11.0387173695901	11.1822839369007	13.0994724768587	11.1921332736743	11.8484714020035
gene-b0084	9.37607234695957	9.2854448210476	9.07712148724326	9.79086391854607	8.71732521384359	8.79597940383415
gene-b0085	9.03956493318791	8.67971430629724	8.87877477636389	8.98500011241109	9.03974283227717	8.62168829758927
gene-b0086	8.6455667825074	8.67769213963282	8.41093607116275	8.17923113254404	8.93070115899508	8.17851523173669
gene-b0087	8.75653828237213	7.74199796632469	8.41397390969629	7.94049778622951	8.32234615843994	8.75435457162567
gene-b0088	9.17190075379517	8.84913333528335	9.1148192111653	7.69783099939218	8.65984031415624	8.40531504011256
gene-b0089	8.89603702182917	8.5705777091742	9.16778157053586	9.31825267067202	8.62019293585082	8.83642930777017
gene-b0090	9.46064157773383	9.3877169306417	9.13146570293762	9.9223652171756	9.0036672966033	9.10262062498473
gene-b0091	10.1684118721613	9.91580522176506	9.77222876765932	9.58273565137806	9.40820386722378	8.97166033056974
gene-b0092	11.2918433474386	10.9871860255183	10.3096912389572	11.6862219977097	10.8120369347383	10.8627593168641
gene-b0093	12.5567661587277	12.260883731824	11.8189929256671	12.7679108148114	11.9788264400509	12.2318985179888
gene-b0094	12.8770665874914	12.4804358025009	12.5863560947852	13.4092819193694	12.6946924140853	13.03508937923
gene-b0095	14.0344109364502	13.5250047206477	13.8191734426154	14.7581695541947	14.146054162359	14.3090964188066
gene-b0096	17.3002439773815	16.4010640551322	17.3251882373507	18.8945318058848	17.147810825628	18.4435380828328
gene-b0097	10.5680861754918	10.6388100339087	10.8982722610457	11.2753906756855	11.0959968147836	11.6634984614786
