	featureCounts on 30min_-_1	featureCounts on 30min_-_3	featureCounts on 30min_-_2	featureCounts on 30min_LEVO_1	featureCounts on 30min_LEVO_3	featureCounts on 30min_LEVO_2
gene-b0049	10.0942929719544	9.87054661680235	10.1062458954727	9.58739962788565	9.38940049536542	9.47262976095671
gene-b0050	12.1990609828833	12.3069326449374	11.6408038966473	11.7974334433452	11.640240533001	11.4346974261858
gene-b0051	12.3767429603021	12.3977391745959	11.9987906556918	12.1377503683143	11.9846842638448	11.9255606101022
gene-b0052	7.92403291185446	8.18804477517245	7.88969817871166	8.41543323377578	8.18373110183769	8.39262343907405
gene-b0053	12.8907353186336	13.2811130422823	12.8416075316161	12.6963231459111	12.7470955035307	12.6463858306909
gene-b0054	14.0086612421654	14.1929110811158	13.9924186595383	13.5688598760807	13.7205128215196	13.605324535202
gene-b0055	7.93507115578673	8.02045508541753	7.65913359089887	7.87566619527205	8.5264844697085	8.56056611372601
gene-b0056	10.379722933264	10.6600261933515	10.9930110189324	10.8089744358219	10.8830434152401	10.7441976500332
gene-b0057	9.92599198734864	10.4080978970254	10.4642739339783	10.2048772597553	10.4758200560518	10.1880550090271
gene-b0058	11.0664581382775	11.1069185818025	10.9751003779412	11.0467420912885	10.9488706038268	11.1747891059221
gene-b0059	13.0763259986941	13.3656997343527	13.3430712826176	12.7005084996597	13.0078856995543	12.9837228164009
gene-b0060	11.6551413265002	11.8199523231487	11.668456770635	10.7060386250699	11.0585474760817	11.5955026587571
gene-b0061	8.40949720491047	7.9480357719271	7.7904018462584	9.37608527138983	8.67589605845673	8.39812552844314
gene-b0062	11.1381532627955	10.7342054011274	10.8786496382647	11.7191405176554	11.0903444320077	11.2251682355649
gene-b0063	11.2924918795998	10.7157974808132	11.0756910580912	12.1355132406706	11.1758811274854	11.3856922578955
gene-b0064	11.1684717341168	11.0192201827078	10.6234986403781	11.6100586909346	11.5614110531257	11.3842787978539
gene-b0065	11.4935233257529	11.5023499973778	11.5038598632349	12.724787859981	11.8578224600497	12.0599724255835
gene-b0066	9.16882394502883	9.04392320416447	8.89340290073402	10.7399092737394	9.88180071961447	9.67339763380149
gene-b0067	5.02196159619162	5.20800713493792	5.40927984464432	4.93031796018995	5.44918035247499	4.72399873260584
gene-b0068	6.44014664095486	6.26894576925688	7.06865138594501	7.1169090870855	6.94465518907092	7.25992470083574
gene-b0069	8.11658894088807	8.30370096871017	7.99415559432527	8.56942501113937	8.67826653286196	8.61031061517839
gene-b4577	6.41600650555329	6.53520057240842	6.20522202486939	7.40082711211144	6.48455065010168	6.79884745227559
gene-b4662	5.70003989115686	5.84560123902328	5.7170367936259	6.60428206153943	5.86544341684393	6.09539803818189
gene-b0070	9.59784641947137	9.56118811748497	9.25683190841831	9.90847140117582	9.51511576301454	9.61481901160968
gene-b0071	10.4846363685305	10.7106612024429	10.7527347426952	10.4859257674251	10.226473211854	10.6499811159439
gene-b0072	10.1542133156541	10.2414224212306	10.681622399342	9.44258021159767	9.67092269351131	9.70612084978612
gene-b0073	9.87153058680673	9.88015977098041	10.4774911290401	9.02590258632355	9.32973351156409	9.47457301930146
gene-b0074	9.90717249249621	10.0134283951854	10.1612533662999	9.4876264506964	9.38470554311848	9.11174728550563
gene-b0075	4.56390120891134	5.4499507579268	4.11560534851849	4.09999094708309	4.81211354294692	4.04320944518761
gene-b0076	6.75417185708636	6.78441855397348	7.53838046872838	8.53830196698433	7.55754995093534	7.53947657292293
gene-b4726	-1.60893313781044	-1.59542512453401	-1.60909205039495	-1.603081726023	-1.6092726033214	-1.60635169727825
gene-b0077	9.6448333914621	9.44003317031376	9.69392147881917	8.23693338063239	9.03011018313363	8.72252882316557
gene-b0078	7.50854764477031	6.99745653796757	8.28988960165186	8.55933567635931	7.11209276144174	7.54997974238398
gene-b0080	11.4401144943036	10.7408895649316	11.5765148832375	11.9338385228133	10.9836264446263	11.614468306419
gene-b0081	11.9661115007622	11.4584807964865	12.7125971081236	12.2933028740097	10.9126878565547	11.7037306082181
gene-b0082	13.0910998251388	12.7848724030906	13.1637392919197	13.9991937593216	12.786719786392	13.2282183181911
gene-b0083	11.4769255291864	11.2754366833388	11.3557965717399	12.5530808013355	11.3613520516975	11.7471016858493
gene-b0084	9.1688050351616	9.11338697958646	8.98756339376371	9.42533171330689	8.77621399142744	8.82266020883647
gene-b0085	8.81323607281008	8.59678732253316	8.71564665542343	8.77920328329827	8.8133741225651	8.56357855046816
gene-b0086	8.38139015408397	8.40109558325168	8.23956421573213	8.10762980298229	8.55535970164864	8.10441762593513
gene-b0087	8.35387090890816	7.7408484853393	8.1412499761403	7.86259512038334	8.0853195024668	8.35141312896085
gene-b0088	8.79156489871527	8.58997682843878	8.75556179547585	7.93124064071757	8.47400733022598	8.32197419855812
gene-b0089	8.74075476913377	8.5491108112442	8.90583996032563	8.99508864488069	8.57775344124807	8.70515179314005
gene-b0090	9.2960896646841	9.25181412557167	9.09854861970296	9.5807848395286	9.02354410419037	9.08198421030747
gene-b0091	9.87338735444515	9.71589803344688	9.62782709600784	9.51378882103398	9.41006316258531	9.16124419470771
gene-b0092	11.1411198838064	10.9565255031064	10.5681457465376	11.3873589511414	10.8530721335974	10.8829046502087
gene-b0093	12.4294144996769	12.2517810567054	11.999872049247	12.5571249063029	12.0883986634776	12.23466065056
gene-b0094	12.8570890866947	12.6258513539802	12.6865342471284	13.1833785460841	12.7494121831907	12.9521539528265
gene-b0095	14.0603427860185	13.7771128389309	13.9367037413333	14.4952073168089	14.126194022	14.2238074804269
gene-b0096	17.4357817986152	16.9571527662014	17.4500299556601	18.4258757380589	17.3497416582351	18.1317610988821
gene-b0097	10.7260468188938	10.7661738932973	10.9166450628861	11.1427707497603	11.034280617147	11.3849794769154
gene-b0098	12.9943997985715	12.9227153869535	13.0574536870963	12.9615675699507	13.2099963401987	13.2054740676716
gene-b0099	7.18467866784437	7.24970756991991	6.68058050995691	5.93834712499237	7.13953678186998	7.4753399182714
gene-b0101	8.99985303597522	9.22032467877018	8.7053712745548	8.01408026733304	8.66526751889178	8.59414827951553
gene-b0102	10.5209543726014	10.5453087526023	10.581820530445	9.88128640856153	9.90345027316135	10.248552936886
gene-b0103	10.9890313759097	10.8427509119018	10.8160062789791	9.97348615162844	10.1435947066442	10.2972020739505
gene-b4727	2.92235473170625	3.46545297798001	2.99771140972132	2.89609758904333	3.13549523693453	2.87812171601471
gene-b0104	8.55148329953545	8.52573455105278	8.83102754345222	8.71346854957974	8.81354347233194	8.56492883194342
gene-b0106	6.57078849458773	6.7997629049286	6.79050890277613	6.16898122411699	6.52915627365545	6.33131586033902
gene-b0107	6.36657081972132	6.31698356260526	6.61496196416485	6.38331968455214	6.56724860521083	6.59754606577984
gene-b0108	2.61292030146992	2.6704326335777	2.85688942412298	2.63887003432884	2.61213608520063	3.2737148566358
gene-b0109	8.21457072007484	7.77754594031301	8.35116114530683	7.65877058431863	8.09925278350364	8.53778876613578
gene-b0110	7.99937478816259	7.65699010738343	8.17940786218072	8.41233371788236	7.85161922439725	8.52162919532068
gene-b0111	9.79521559719279	9.46671691830838	9.60425382686294	10.1583926845157	9.47248194433691	9.73156527463908
gene-b0112	10.9793138349739	10.9330688773094	11.4025736285631	11.1978546081081	10.9937875960834	10.9718658636134
gene-b0113	9.61897795715883	9.25234269952521	9.73043490527036	10.5520137229456	9.47186631335644	9.98587397708224
gene-b0114	14.0953928983161	13.9142465428328	14.198158814952	14.202063909846	14.7146305379742	14.3746704364929
gene-b0115	12.9857774579087	12.5629176583365	13.0855748236904	13.2907911165084	13.3670769255573	13.1728611214549
gene-b0116	12.5966114274609	12.5457608130366	12.5972417335655	13.2457847271871	13.6208330111039	13.2102409746978
gene-b0117	7.85529395750638	7.69090708411903	8.17224444985127	7.62156696134551	7.63586283040068	7.26984578958246
gene-b0118	14.0372744254887	13.6883470589235	14.1663662033843	14.2611802233794	13.9950494071075	14.3004405035913
gene-b0119	13.0979010389615	12.5928498890265	13.2215119528362	14.4625290360486	12.9717788473353	13.4402244538716
gene-b0120	10.3057934617013	10.4923359545169	9.96341724380962	10.57034944306	10.3370626007535	10.1952166489077
gene-b0121	9.0084826912875	9.28810155324864	9.09384158134868	9.36546826008186	9.14637012747839	8.63175515058294
gene-b0122	8.75314181678637	8.94008547456083	8.06766350683955	8.28744460425684	8.82316328581965	8.59471259223495
gene-b0123	9.44414347805411	9.75724375947086	9.29437462276875	8.14507512127164	8.83690919124602	9.1728071501722
gene-b0124	13.9091473266363	14.0796054733113	14.1287931619104	13.1421827277942	13.494495115704	13.5269753919323
gene-b0125	8.76556492372882	8.9516025004784	8.84071578261497	7.50180911323128	8.66365974989096	8.47358184126028
gene-b0126	9.43217775494228	9.50853924695046	9.83075212081134	8.6693292732576	9.36240840514133	9.41196892051975
gene-b0127	9.45919024641421	9.40187753390198	9.52582782913551	8.96231930974617	9.21953931286531	9.1693439520161
gene-b0128	9.63534177610318	9.41491295947848	9.70302137647108	9.74174396325457	9.91899190138843	9.77838842435191
gene-b0129	8.33755812438369	7.78937134558302	8.28495664756962	8.71746768219024	8.16582242300867	8.57521874346069
gene-b0130	8.19279949300817	8.31051578302329	8.2539634188725	8.28831614927145	8.37755218714048	8.30004076173944
gene-b0131	9.25046250234769	8.79949419172342	9.96667051795378	8.41771656866402	9.14973817336443	9.69047028633341
gene-b0132	9.18208898792684	9.0651028711875	9.02148722345614	9.41233142701542	9.27039868040305	9.2652801284082
gene-b0133	10.4872601415869	10.6050293396694	10.5617679567092	10.7644028240691	10.9785868346182	11.0403183998315
gene-b0134	9.30581935394181	9.00944755683206	9.7831871825269	9.86593901474089	9.37697361182497	9.82211747409283
gene-b0135	6.33791350062222	6.14480461614597	5.95154026236791	5.81061709943484	6.21111814266588	5.86831252313768
gene-b0136	4.45183338906464	4.90784172335578	4.37996070623271	4.86606654461992	4.6849204761006	4.44497837590703
gene-b0137	7.36939602750242	7.4873479043549	7.37045335092963	7.59073779289594	7.83795140098017	7.71073717992715
gene-b0138	2.96918013060655	3.30883548424164	3.05221248171556	2.98042914483219	3.62151487802254	2.95991050380081
gene-b0139	7.06201312739444	6.89234210015395	6.99683102621404	7.77477623982131	7.35577862028746	7.24227020905973
gene-b0140	4.0351211415885	3.69177784273287	3.52361489667329	3.56828407779604	3.79880532148887	4.29791245276913
