	featureCounts on ROC_-_1	featureCounts on ROC_-_3	featureCounts on ROC_-_2	featureCounts on ROC_LEVO_1	featureCounts on ROC_LEVO_3	featureCounts on ROC_LEVO_2
gene-b0055	10.6558272428526	10.7042252199577	10.4364240343895	10.7993724053368	10.6145137002191	10.8501559519527
gene-b0056	9.93233641799389	9.71294211026214	9.65977319439761	9.8684601779275	9.74282057296384	10.0623815919125
gene-b0057	8.8963949480658	8.56413909337541	8.58405138344556	8.86673602081669	8.57642181139736	8.96727428249812
gene-b0058	9.06473938828574	8.85214891052756	9.47193515662897	9.68149416528285	10.2350835187353	10.5845027807758
gene-b0059	11.433517921166	11.1554920478096	11.7721149293525	12.1282832731243	12.6176218378373	12.7934881601178
gene-b0060	10.5843433808586	10.644889032832	10.8531166310188	11.502504730966	11.7866317494173	11.568681606736
gene-b0061	7.47051401184144	6.87510909647636	6.63758350656669	7.08726336296741	6.74939274598714	6.6767475147766
gene-b0062	9.25726092438745	8.83917762025434	8.85496605789844	8.88479098075287	9.03439030461174	8.31005777249883
gene-b0063	9.2183017056042	8.99919900604793	8.94828327001012	9.10321761430207	8.91409008243455	8.86673656475902
gene-b0064	12.0391795173468	12.0173805254241	11.6651745848874	12.0915470113457	11.9011726635947	11.88101768119
gene-b0065	10.5143016066964	10.544623060202	10.696141942924	10.6423067500193	10.5781399782931	10.5845888704724
gene-b0066	8.52408812150469	8.52030148200558	8.71854234405177	8.32336331507396	8.55486338631535	8.71346968412949
gene-b0067	7.70124652405674	7.47214423709931	7.60818668468539	7.71275852444845	7.91152328953736	7.80939500513373
gene-b0068	8.36428134115081	7.78003064690187	8.059294975812	8.34273736795135	8.33993606956073	8.45579817412137
gene-b0069	9.051110774843	9.06454838221286	9.10365091528767	9.35312024810736	9.16897739444396	9.338343940975
gene-b4577	6.89401232752281	8.56140806710939	6.91436347367218	7.1166001831561	7.07135555704442	7.2278777276543
gene-b4662	6.06473086655526	7.68658998290809	6.11057609620827	6.30253530029429	6.25634882868189	6.40653327082261
gene-b0070	9.47925589014345	9.61040504010946	9.37192646801843	9.5532772330858	9.47321584486513	9.51134369761197
gene-b0071	8.43537818332065	8.329594775618	8.01266483316033	8.3296284953647	8.15599232361279	8.12174327882119
gene-b0072	8.74510211762291	8.52303410391781	8.44525936035421	8.48472907124322	8.73617193920253	8.41010763793106
gene-b0073	7.83375339162927	7.89485671218692	7.64441796749072	7.78358585147519	7.85836829693758	7.78137379511826
gene-b0074	7.72142722383566	7.67793965977464	7.70137574535188	7.70739008268316	7.8605194772073	7.80013662339492
gene-b0075	4.28930955762771	6.26064751086209	4.40149558286519	4.45885783943718	4.40866597605546	4.43984801664967
gene-b0076	6.74561277964692	6.89674778918619	6.27643079745567	6.56585897060651	6.3395055657621	6.41652724156689
gene-b4726	2.0898217790435	2.67246016155119	2.12473833953245	1.97677656253276	2.14858063540944	2.24619422647792
gene-b0077	9.86987961052595	9.46276860681277	9.78761693808347	9.80668166231155	9.66989838297971	9.33439633083004
gene-b0078	6.76334852229706	6.39733421961404	6.94738777782804	6.99432772941927	6.78266493178769	6.44759232204653
gene-b0080	11.9403484728526	11.7319732282277	12.1032185714491	12.0443383146006	11.9430017128269	11.7191942421073
gene-b0081	11.7482456353342	11.5998099439123	11.7888298162441	12.0484668394196	11.890178810057	11.7066329237305
gene-b0082	13.6766893908956	13.3284275469271	13.4344398747437	13.7272876842375	13.6002325439205	13.6115370210877
gene-b0083	12.2411994107445	12.3312864575104	12.1407626080517	12.2737266610399	12.2364744171047	12.1861024229551
gene-b0084	11.5565769427845	12.1096846373274	11.5600980128188	11.5875256609992	11.6290498457783	11.5390470708766
