	featureCounts on ROC_-_1	featureCounts on ROC_-_3	featureCounts on ROC_-_2	featureCounts on ROC_LEVO_1	featureCounts on ROC_LEVO_3	featureCounts on ROC_LEVO_2
gene-b0058	358.42067246185	253.694349070889	639.570062336996	836.477236294928	1602.22242391377	2342.46320684818
gene-b0059	1932.12776496198	1245.48326064899	3092.8321505616	4831.86249715556	8464.98400074579	10244.314127196
gene-b0060	1050.18301989551	1149.42423527263	1540.26636314294	3453.48474359745	4757.45224848116	3726.29821378695
gene-b0061	243.475267299157	114.121406216354	80.4193125719596	151.81257533718	95.1490449696232	85.2599767308249
gene-b0062	751.324966472507	451.559520999964	460.755355559345	478.561495764887	576.362605735534	214.243018451816
gene-b0063	667.728308172367	509.030732763595	476.839218073737	580.105006420882	456.059215544056	428.486036903633
gene-b0064	4454.6569291687	4338.25547084329	2770.20879071409	4744.39432461029	3758.9341098919	3665.08592280071
gene-b0065	1398.15411006984	1453.20064030897	1754.08712362839	1641.78765248752	1515.82271641262	1528.12112140632
gene-b0066	360.510588919353	358.784564867244	460.755355559345	275.474474452897	375.127843960699	457.999105771995
gene-b0067	207.946687521598	151.88820251817	183.545254576002	211.130071660979	272.323128706163	239.383780821162
gene-b0068	357.375714233098	160.919392938169	240.311828156209	347.861927593804	346.692497188167	400.066044660024
gene-b0069	491.130367513321	499.999542343596	526.036915176583	718.847624940954	571.987937001298	706.12749959119
gene-b4577	87.7764912151468	672.413177634491	90.8265177283308	122.656517822093	114.835054273683	143.193037842796
gene-b4662	47.0231202938286	375.204911085424	51.0899162221861	69.3713092600361	64.5263638299744	80.8876702318082
gene-b0070	705.34680440743	830.869518639933	614.025104225903	774.143596090258	699.946997477688	734.547491834799
gene-b0071	388.72446109565	340.722184027245	224.227965641817	340.824258538438	272.323128706163	260.152236691491
gene-b0072	476.500952310797	360.426599489062	325.461688526519	342.835021125686	471.370556113881	310.433761430183
gene-b0073	233.02568501164	252.052314449071	180.706925896992	218.167740716345	240.606780382955	217.522248326079
gene-b0074	207.946687521598	196.223137307257	202.467445769404	204.092402605613	249.356117851426	230.639167823129
gene-b0075	10.4495822875175	183.907877643622	14.1916433950517	16.0861006979794	14.2176733862655	15.3030727465583
