	featureCounts on ROC_-_1	featureCounts on ROC_-_3	featureCounts on ROC_-_2	featureCounts on ROC_LEVO_1	featureCounts on ROC_LEVO_3	featureCounts on ROC_LEVO_2
gene-b0045	6.73670926963007	6.92748569809756	6.46691589191677	6.63132885332722	7.11239769762323	6.13056837617556
gene-b0046	9.01337718054541	9.47506800269543	8.69198151983187	8.60804907747476	8.98977092191751	8.7276609526405
gene-b0047	8.95075899592631	8.91947621457179	8.66868227719213	8.84420851269014	8.93600562208402	8.6707314271719
gene-b0048	10.6639348401894	10.2051944454329	11.2589644328772	11.2486825929242	11.1535763680647	11.3144757202416
gene-b0049	10.3097221817178	9.53697427114704	10.7586964116061	10.3895310159229	10.7944458275268	10.304470710035
gene-b0050	11.6576019887881	11.2152792063486	11.7593915297026	11.5479939573292	11.8973359835191	12.0760155785861
gene-b0051	12.0032611559039	11.5831126760666	12.3398504426043	12.05529642329	12.3452984171857	12.3840012508375
gene-b0052	11.60194435659	11.7023601147099	11.837554496232	11.38996237635	11.850677170458	11.4497300842645
gene-b0053	14.9828979337613	14.659232306922	14.6857948506265	14.4762569314156	14.8105747469352	14.8707549585353
gene-b0054	14.5618991912279	14.2701289930924	14.4929151451548	14.5740509611674	14.5431295528264	14.5041784828892
gene-b0055	10.6536769967954	10.7398511767417	10.2490211005409	10.9065268639856	10.5792741689802	10.9940819079278
gene-b0056	10.0358493064306	9.6444907738621	9.54615599515419	9.92393265404712	9.69881850957636	10.2588630073012
gene-b0057	9.06496722774735	8.472714330639	8.50917585884385	9.01378173032665	8.49459015156622	9.18602218885119
gene-b0058	8.54923035752043	8.07580164861904	9.35718262687558	9.73600071289541	10.6604818875603	11.2038367139544
gene-b0059	10.9281167376434	10.301261004715	11.6023159655829	12.2432372987339	13.050076536198	13.3248375549564
gene-b0060	10.0586470480986	10.1870190594598	10.6041709005031	11.7606490702974	12.2209231064169	11.8698422667098
gene-b0061	8.02004346580046	7.0220392906644	6.58626437866918	7.39040664386972	6.79323935523806	6.65765386783092
gene-b0062	9.58421434324417	8.86968787023807	8.89778218445653	8.95067333009874	9.21094821193142	7.8474735141558
gene-b0063	9.41784094055949	9.03690813090228	8.94564141958474	9.22003200919907	8.88350335083231	8.7966872136374
gene-b0064	12.1263837778698	12.0883258717255	11.4442637271538	12.2169714409663	11.8823681073335	11.8460512666269
gene-b0065	10.4660467401506	10.5211284570777	10.7898705515587	10.695325184451	10.581335335067	10.592869841443
gene-b0066	8.5572605424561	8.55063177920828	8.89778218445653	8.18789133606517	8.61220815778044	8.8894188293426
gene-b0067	7.80743167530386	7.39105835313151	7.64077917738464	7.82781581384426	8.17220308038877	7.99709944808902
gene-b0068	8.54519842522239	7.46683137533268	8.00233585630671	8.50796153510182	8.50331727765584	8.70137335456534
gene-b0069	8.98687307531084	9.01188118572208	9.08288761126962	9.52183721118606	9.20025668675026	9.49665190008057
gene-b4577	6.69339930462	9.42769007026218	6.73555420793144	7.11413132097656	7.0299704187651	7.31412037723969
gene-b4662	5.96145779696182	8.61249237985043	6.05412089346494	6.40849622858828	6.32290495842006	6.59333032120334
gene-b0070	9.495091738634	9.72648142018091	9.2998558670294	9.62648107899595	9.4842541715431	9.55232789650836
gene-b0071	8.66150453180992	8.47937078225011	7.90877369304909	8.47978355689837	8.17220308038877	8.10995598258199
gene-b0072	8.9446510553927	8.55693868727935	8.4162900469652	8.48789078143254	8.92954643918722	8.35134943238189
gene-b0073	7.96070303983282	8.0669865645634	7.62007839799684	7.87188076980515	8.00399611243252	7.86789488371943
gene-b0074	7.80743167530386	7.72976917750797	7.77165566453619	7.78235871797542	8.05239424699364	7.94680054227858
gene-b0075	4.58661102559119	7.64340255358288	4.81660384789549	4.91819908023023	4.81805828489455	4.8772167356516
gene-b0076	7.120892859066	7.36967970348356	6.28444867818984	6.81101456020267	6.40041149947804	6.54310357394576
gene-b4726	3.75405077685208	4.97630611866837	3.87035310628518	3.03246050504127	3.93142702621964	4.18099836872989
gene-b0077	10.0572326963108	9.3335122288511	9.91616130175567	9.94909725113355	9.71016622206425	9.08798538218285
gene-b0078	6.99605156190144	6.32897468611112	7.31111309988877	7.39040664386972	7.0299704187651	6.41849934727745
gene-b0080	11.9671930951487	11.5881228706967	12.2505147792749	12.1492949128172	11.9718962708922	11.5640389821889
gene-b0081	11.7161293853256	11.4429379962907	11.7890082500148	12.2393427753729	11.9679630030138	11.6406172151414
gene-b0082	13.7650393171135	13.133194998063	13.3317608535229	13.8524751872995	13.6310057054384	13.6509718882609
gene-b0083	12.2509974315688	12.4100419078015	12.0695975779155	12.3087425387905	12.242574088938	12.1521340635129
gene-b0084	11.4774103360375	12.4301414935411	11.4838815029109	11.533877129999	11.6089252348395	11.4452127064062
gene-b0085	12.797022269684	12.6918551892684	12.7329154366589	12.7303937739381	12.7927216393046	12.6023439653012
gene-b0086	12.6546520472556	12.3854582805197	12.763467543245	12.574335694407	12.7902735431769	12.5728816290803
gene-b0087	11.627899559056	11.566805941387	11.7089096446445	11.5072167650211	11.5782927810563	11.6416047089944
gene-b0088	12.3163021071115	12.2509822251288	12.6144990606106	12.213616156292	12.4558705632071	12.2873066198396
gene-b0089	10.9141219116977	11.1906589161839	11.3258953287381	10.9930466504775	11.1163915948283	10.9413255019236
gene-b0090	11.7147844749925	11.8223448117003	11.8282003022856	11.522581966856	11.6399099566311	11.7254938807215
gene-b0091	12.1371335837895	11.7969375424489	12.6777369705568	12.1613777305333	12.1915402290862	11.8949046372522
gene-b0092	12.3992956569428	12.2358367016947	12.5195931931208	12.2827798179148	12.322375886561	12.1304911910506
gene-b0093	13.0040621040594	12.6796302683711	12.8339571108525	12.7838193940302	12.6928356134551	12.7821268010307
gene-b0094	13.8658258985313	13.6265885861408	13.8452897041428	13.5682273719661	13.5598821089399	13.4693524715948
gene-b0095	15.3218515147368	15.9338572575927	15.3169947655827	14.9427362208371	14.9912764487778	14.7026905294601
gene-b0096	14.5831833255185	14.3504616081104	14.6588730368041	14.895595183709	14.9203346587941	14.4968988172856
gene-b0097	11.303422435044	11.4898199164468	11.5685593824133	11.7768605196726	11.7211375792456	11.7672616979067
gene-b0098	14.7036708664725	14.2929090903319	14.5145375056931	14.7095513615927	14.8296113513214	14.5375844427869
gene-b0099	9.88934611874096	9.67088952870125	9.33410165446463	9.3678780966755	9.90049574126541	10.0139558256919
gene-b0101	11.1426844948273	11.2914486613244	10.9964014481118	11.0672531448645	11.289636523477	11.622725757094
gene-b0102	11.1386781249924	10.6833461716172	11.2353797971989	11.2008049222474	11.408749572005	11.4091352357078
gene-b0103	10.7417131902326	10.7189202988427	10.3797598187498	10.8890413419402	10.9556680451274	11.1227078004523
gene-b4727	3.54533222353666	5.7693902182764	4.58372915625317	4.40992805143174	4.68927558129627	5.43415045800702
gene-b0104	13.1398689070528	12.1909428934494	12.2663939340713	13.2983764966563	12.5098924246073	13.0350903870105
gene-b0106	10.0949417239485	8.7889489895105	9.33621525504298	9.90438849952879	9.46651927204162	9.67894114616259
gene-b0107	7.64343703446267	7.57659819318587	8.07506830797656	7.65841323161925	7.98541899494538	8.03971411652656
gene-b0108	5.35223530510233	4.42316051562573	4.58372915625317	5.4247975856833	5.09111022927715	5.0405557037398
gene-b0109	9.43100683940591	9.64152753095668	10.1077183216535	9.92840548520689	9.77283627921291	9.40191072035224
