Geneid	1714__ROC_-_N=3_library-read-1.fastq.gz
gene-b0418	1444
gene-b0419	2803
gene-b0420	6830
gene-b0421	11460
gene-b0422	1698
gene-b0423	5493
gene-b0424	744
gene-b0425	726
gene-b0426	17182
gene-b0427	2068
gene-b0428	22280
gene-b0429	18548
gene-b0430	56047
gene-b0431	74550
gene-b0432	48183
gene-b0433	2503
gene-b0434	2644
gene-b0435	2558
gene-b0436	6242
gene-b0437	6731
gene-b0438	15760
gene-b0439	35469
gene-b0440	4472
gene-b0441	2684
gene-b0442	332
gene-b0443	155
gene-b0444	565
gene-b0445	2814
gene-b0446	1465
gene-b0447	1412
gene-b0448	800
gene-b0449	913
gene-b0450	26
gene-b0451	296
gene-b0452	748
gene-b0453	432
gene-b0454	93
gene-b0455	178
gene-b0456	88
gene-b0457	2072
gene-b0458	2811
gene-b0459	2840
gene-b0460	2165
gene-b0461	2502
gene-b0462	17534
gene-b0463	6177
gene-b0464	2102
gene-b0465	6159
gene-b0466	214
gene-b0467	242
gene-b0468	688
gene-b0469	373
gene-b0470	5846
gene-b0471	1443
gene-b0472	2464
gene-b0473	38409
gene-b0474	1168
gene-b0475	264
gene-b0476	1086
gene-b0477	1794
gene-b0478	2512
gene-b0479	706
gene-b0480	1076
gene-b0481	355
gene-b4585	322
gene-b0482	556
gene-b0483	1838
gene-b0484	4833
gene-b0485	738
gene-b0486	1491
gene-b0487	1568
gene-b0488	1879
gene-b0489	730
gene-b0490	329
gene-b0491	643
gene-b0492	6964
gene-b0493	648
gene-b0494	2444
gene-b0495	811
gene-b0496	604
gene-b0497	626
gene-b0498	277
gene-b0502	216
gene-b0503	586
gene-b0504	40
gene-b0505	71
gene-b0506	7280
gene-b0507	141
gene-b0508	59
gene-b0509	33
gene-b0511	12
gene-b0512	36
gene-b0513	82
gene-b0514	48
gene-b0515	330
gene-b0516	190
gene-b0517	49
gene-b0518	50
gene-b4572	59
gene-b0520	55
gene-b0521	64
gene-b0522	293
gene-b0523	69
gene-b0524	13483
gene-b0525	34472
gene-b0526	1958
gene-b0527	64
gene-b0528	303
gene-b0529	1426
gene-b0530	10
gene-b0531	26
gene-b0532	47
gene-b0533	25
gene-b0534	25
gene-b0535	85
gene-b0536	1422
gene-b0537	1892
gene-b0540	15
gene-b0541	26
gene-b0543	1692
gene-b4733	641
gene-b0544	96
gene-b0545	198
gene-b0546	796
gene-b4588	39
gene-b0547	65
gene-b0548	0
gene-b0549	3
gene-b0550	6
gene-b4509	15
gene-b0551	98
gene-b0552	9310
gene-b0554	116
gene-b0555	301
gene-b0556	1401
gene-b4510	463
gene-b0557	3997
gene-b0558	50
gene-b0559	121
gene-b4589	40
gene-b0560	30
gene-b0561	79
gene-b0563	38
gene-b0564	551
gene-b0565	127186
gene-b0566	275
gene-b0567	358
gene-b0568	597
gene-b0569	706
gene-b0570	866
gene-b0571	313
gene-b0572	34
gene-b0573	6
gene-b0574	131
gene-b0575	165
gene-b0576	1158
gene-b0577	1134
gene-b0578	23751
gene-b0579	965
gene-b0580	547
gene-b0581	631
gene-b4700	8
gene-b4415	17
gene-b0582	169
gene-b0583	132
gene-b0584	192
gene-b0585	63
gene-b4511	18
gene-b0586	889
gene-b0587	22
gene-b0588	71
gene-b0589	181
gene-b0590	79
gene-b0591	186
gene-b0592	617
gene-b0593	147
gene-b0594	333
gene-b0595	415
gene-b0596	231
gene-b0597	290
gene-b0598	56381
gene-b4512	2963
gene-b0599	2991
gene-b0600	242
gene-b0601	139
gene-b0602	84
gene-b0603	140
gene-b0604	1012
gene-b0605	125996
gene-b0606	10677
gene-b0607	1326
gene-b0608	202
gene-b4734	40
gene-b0610	319
gene-b0611	3093
gene-b0612	43
gene-b0613	42
gene-b0614	27
gene-b0615	115
gene-b0616	39
gene-b0617	9
gene-b0618	121
gene-b0619	228
gene-b0620	102
gene-b0621	303
gene-b0622	212
gene-b0623	26408
gene-b0624	700
gene-b0627	525
gene-b0628	10439
gene-b0629	418
gene-b0630	3427
gene-b0631	946
gene-b0632	2045
gene-b0633	1359
gene-b0634	3375
gene-b0635	3491
gene-b0636	1511
gene-b0637	730
gene-b0638	264
gene-b0639	871
gene-b0640	5922
gene-b0641	8708
gene-b0642	23757
gene-b0643	2538
gene-b0644	554
gene-b0645	8
gene-b0646	138
gene-b0647	13
gene-b0648	47
gene-b0649	236
gene-b0650	988
gene-b0651	9409
gene-b0652	3795
gene-b0653	3709
gene-b0654	2618
gene-b0655	11323
gene-b0656	148
gene-b0657	4553
gene-b0658	8122
gene-b0659	4207
gene-b0660	5821
gene-b0661	12551
gene-b0662	2536
gene-b0664	800
gene-b0665	1122
gene-b0666	845
gene-b0668	1373
gene-b0670	690
gene-b0672	550
gene-b0673	309
gene-b0674	1244
gene-b0675	8574
gene-b0676	3519
gene-b0677	6977
gene-b0678	6933
gene-b0679	9421
gene-b0680	10458
gene-b0681	841
gene-b0682	67
gene-b0683	6799
gene-b4637	1992
gene-b0684	7621
gene-b0685	170
gene-b0686	382
gene-b0687	3215
gene-b0688	15177
gene-b0689	165
gene-b0692	142
gene-b0693	99
gene-b4590	22
gene-b0694	104
gene-b0695	1964
gene-b0696	280
gene-b0697	136
gene-b0698	24
gene-b4513	0
gene-b0699	3223
gene-b0700	584
gene-b0702	84
gene-b0704	76
gene-b4514	55
gene-b0706	149
gene-b0707	116
gene-b0708	441
gene-b0709	595
gene-b0710	14910
gene-b0711	8281
gene-b0712	3440
gene-b0713	1482
gene-b0714	2833
gene-b0715	446
gene-b0716	323
gene-b0717	84
gene-b0718	114
gene-b0719	38
gene-b0720	157293
gene-b4735	10171
gene-b0721	46970
gene-b0722	37518
gene-b0723	129689
gene-b0724	27798
gene-b0726	338838
gene-b0727	127066
gene-b0728	50710
gene-b0729	48174
gene-b0730	251
gene-b0731	63
gene-b0732	802
gene-b0733	30079
gene-b0734	17913
gene-b4515	8078
gene-b0735	7816
gene-b0736	3124
gene-b0737	1831
gene-b0738	4322
gene-b0739	11890
gene-b0740	18046
gene-b0741	24559
gene-b0742	13324
gene-b0743	1348
gene-b0744	695
gene-b0745	1327
gene-b0746	1071
gene-b0747	1341
gene-b0748	4504
gene-b0749	1437
gene-b0750	431
gene-b0751	1547
gene-b0752	948
gene-b0753	87
gene-b0754	809
gene-b0755	36026
gene-b0756	7558
gene-b0757	5626
gene-b0758	3427
gene-b0759	1437
gene-b0760	1122
gene-b0761	337
gene-b0762	849
gene-b0763	2445
gene-b0764	1465
gene-b0765	2785
gene-b0766	725
gene-b0767	1008
gene-b0768	188
gene-b0769	9
gene-b0770	47
gene-b0771	324
gene-b0772	9258
gene-b0773	3747
gene-b0774	48
gene-b0775	149
gene-b0776	171
gene-b0777	197
gene-b0778	35
gene-b0779	4472
gene-b0780	1648
gene-b0781	8980
gene-b0782	6769
gene-b0783	10150
gene-b0784	3988
gene-b0785	2404
gene-b0786	2437
gene-b0787	65
gene-b0788	236
gene-b0789	187
gene-b0790	30
gene-b0791	2786
gene-b0792	728
gene-b0793	193
gene-b0794	328
gene-b0795	223
gene-b0796	163
gene-b0797	151
gene-b0798	88
gene-b0799	3728
gene-b0800	2197
gene-b0801	1845
gene-b0802	677
gene-b0803	108
gene-b0804	280
gene-b0805	967
gene-b0806	68
gene-b0807	225
gene-b0808	373
gene-b0809	9617
gene-b0810	1732
gene-b0811	22726
gene-b0812	10854
gene-b0813	173
gene-b4736	126
gene-b0814	44902
gene-b0815	351
gene-b4416	5096
gene-b4705	4750
gene-b0817	2049
gene-b0818	962
gene-b0819	817
gene-b0820	3890
gene-b0821	255
gene-b0822	623
gene-b0823	491
gene-b0824	45
gene-b0825	511
gene-b0826	4406
gene-b0827	1799
gene-b0828	532
gene-b0829	2264
gene-b0830	1099
gene-b0831	872
gene-b0832	157
gene-b0833	1463
gene-b0834	461
gene-b0835	308
gene-b0836	7854
gene-b0837	1006
gene-b0838	881
gene-b0839	6055
gene-b0840	676
gene-b0841	808
gene-b0842	553
gene-b0843	149
gene-b0844	696
gene-b0845	360
gene-b0846	361
gene-b4417	222
gene-b0847	1314
gene-b0848	777
gene-b0849	1768
gene-b0850	2388
gene-b0851	945
gene-b0852	3528
gene-b0853	8604
gene-b0854	624
gene-b0855	233
gene-b0856	198
gene-b0857	613
gene-b0858	207
gene-b0859	574
gene-b0860	234
gene-b0861	1120
gene-b0862	1039
gene-b0863	1130
gene-b0864	1067
gene-b0865	406
gene-b0866	900
gene-b0867	216
gene-b0868	1114
gene-b0869	1771
gene-b0870	5139
gene-b0871	2062
gene-b0872	205
gene-b0873	120
gene-b0874	185
gene-b0875	86
gene-b0876	1939
gene-b0877	1984
gene-b0878	805
gene-b0879	1700
gene-b0880	5613
gene-b0881	9564
gene-b0882	68767
gene-b0883	437
gene-b0884	2054
gene-b0885	1326
gene-b0886	2476
gene-b0887	2010
gene-b0888	5221
gene-b0889	3187
gene-b0890	12317
gene-b0891	797
gene-b0892	1375
gene-b0893	21963
gene-b0894	407
gene-b0895	93
gene-b0896	143
gene-b0897	122
gene-b0898	310
gene-b0899	785
gene-b0900	464
gene-b0901	93
gene-b0902	1370
gene-b0903	107105
gene-b0904	6207
gene-b0905	2175
gene-b0906	420
gene-b0907	2368
gene-b0908	1155
gene-b0909	70
gene-b0910	3863
gene-b0911	161184
gene-b0912	2051
gene-b0913	853
gene-b0914	16743
gene-b0915	1024
gene-b0916	582
gene-b0917	4463
gene-b0918	4385
gene-b0919	762
gene-b0920	469
gene-b0921	1132
gene-b0922	11983
gene-b0923	8867
gene-b0924	28442
gene-b0925	4475
gene-b0926	12356
gene-b0927	17407
gene-b0928	47017
gene-b0929	50099
gene-b0930	22588
gene-b0931	1671
gene-b0932	55187
gene-b0933	288
gene-b0934	23
gene-b0935	39
gene-b0936	42
gene-b0937	131
gene-b0938	53
gene-b0939	34
gene-b0940	122
gene-b0941	180
gene-b0942	116
gene-b0943	222
gene-b0944	886
gene-b0945	442
gene-b0946	715
gene-b0947	1684
gene-b0948	12652
gene-b0949	4484
gene-b0950	3089
gene-b0951	1305
gene-b0952	590
gene-b0953	5852
gene-b0954	5637
gene-b0955	9791
gene-b0956	563
gene-b0957	22805
gene-b0958	3275
gene-b0959	239
gene-b0960	2241
gene-b0961	475
gene-b0962	9240
gene-b0963	142372
gene-b0964	136
gene-b0965	1085
gene-b0966	3180
gene-b0967	3305
gene-b0968	154
gene-b0969	428
gene-b0970	27608
gene-b0971	32
gene-b0972	218
gene-b0973	91
gene-b0974	94
gene-b0975	194
gene-b0976	164
gene-b0977	137
gene-b0978	708
gene-b0979	523
gene-b4592	113
gene-b0980	530
gene-b0981	1011
gene-b0982	132
gene-b0983	295
gene-b0984	291
gene-b0985	95
gene-b0986	107
gene-b0987	30
gene-b4516	70
gene-b0988	1691
gene-b0989	54
gene-b0990	4820
gene-b4723	520
gene-b0991	45
gene-b4517	73
gene-b0992	142
gene-b0993	763
gene-b0994	388
gene-b0995	918
gene-b0996	125
gene-b0997	154
gene-b0998	824
gene-b0999	1613
gene-b1000	1013
gene-b1001	172
gene-b1002	12777
gene-b1003	568
gene-b1004	237
gene-b4518	96
gene-b1006	185
gene-b1007	35
gene-b1008	7
gene-b1009	21
gene-b1010	9
gene-b1011	20
gene-b1012	19
gene-b1013	5304
gene-b1014	130777
gene-b4737	192
gene-b1015	47265
gene-b1018	240
gene-b1019	1250
gene-b1020	2073
gene-b1021	210
gene-b1022	140
gene-b1023	91
gene-b1024	201
gene-b1025	343
gene-b1026	21
gene-b1027	26
gene-b1029	59
gene-b1032	8
gene-b1033	2196
gene-b1034	1558
gene-b1035	2537
gene-b1036	1511
gene-b1037	335
gene-b1038	64
gene-b1039	109
gene-b1040	592
gene-b1041	40
gene-b1042	153
gene-b1043	449
gene-b1044	4063
gene-b1045	2184
gene-b1046	2054
gene-b1047	545
gene-b1048	3508
gene-b1049	10308
gene-b1050	288
gene-b1051	217
gene-b1053	174
gene-b1054	1020
gene-b1055	1207
gene-b1056	551
gene-b1057	247
gene-b1058	120
gene-b1059	1060
gene-b1060	1297
gene-b1061	466
gene-b1062	839
gene-b1063	1408
gene-b1064	6027
gene-b1065	54
gene-b1066	829
gene-b1067	5366
gene-b1068	3408
gene-b1069	1264
gene-b1070	1902
gene-b1071	956
gene-b1072	1914
gene-b1073	7333
gene-b1074	12030
gene-b1075	21266
gene-b1076	60533
gene-b1077	17929
gene-b1078	18399
gene-b1079	11594
gene-b1080	5803
gene-b1081	3938
gene-b1082	5336
gene-b1083	3879
gene-b1084	38649
gene-b1085	4052
gene-b1086	5793
gene-b1087	3717
gene-b4418	4187
gene-b1088	42674
gene-b1089	30493
gene-b1090	36773
gene-b1091	26296
gene-b1092	24749
gene-b1093	92958
gene-b1094	194395
gene-b1095	84195
gene-b1096	841
gene-b1097	1260
gene-b1098	776
gene-b1099	1562
gene-b1100	1613
gene-b1101	38284
gene-b1102	378
gene-b1103	8119
gene-b1104	3010
gene-b1105	1108
gene-b1106	971
gene-b1107	2739
gene-b1108	11144
gene-b1109	3970
gene-b1110	674
gene-b1111	859
gene-b1112	97
gene-b1113	691
gene-b1114	14592
gene-b1115	337
gene-b1116	3204
gene-b1117	1463
gene-b1118	3386
gene-b1119	2780
gene-b1120	1773
gene-b1121	128
gene-b1122	62
gene-b1123	9853
gene-b1124	1028
gene-b1125	3130
gene-b1126	1984
gene-b1127	7906
gene-b1128	3283
gene-b1129	1331
gene-b1130	623
gene-b1131	3302
gene-b1132	1550
gene-b1133	3735
gene-b1134	522
gene-b1135	332
gene-b1136	27159
gene-b1137	1537
gene-b1138	3284
gene-b1139	1628
gene-b1140	500
gene-b1141	305
gene-b1142	575
gene-b1143	1213
gene-b1144	1043
gene-b1145	636
gene-b1146	246
gene-b1147	297
gene-b1148	49
gene-b1149	72
gene-b1150	29
gene-b1151	54
gene-b1153	43
gene-b1154	59
gene-b1155	273
gene-b1156	102
gene-b1158	57
gene-b1159	4353
gene-b1160	9
gene-b4738	5
gene-b4739	15
gene-b1161	24
gene-b1162	1879
gene-b1163	800
gene-b1164	1717
gene-b1165	1290
gene-b1166	298
gene-b1167	467
gene-b1168	106
gene-b4520	642
gene-b1171	57
gene-b1172	100
gene-b4593	75
gene-b4594	81
gene-b1174	4685
gene-b1175	9121
gene-b1176	3942
gene-b1177	1143
gene-b1178	2566
gene-b1179	944
gene-b1180	2758
gene-b1181	695
gene-b1182	102
gene-b1183	323
gene-b1184	1268
gene-b1185	1851
gene-b1186	4137
gene-b1187	5351
gene-b1188	1557
gene-b1189	34777
gene-b1190	35360
gene-b4740	2264
gene-b1191	2259
gene-b1192	883
gene-b1193	756
gene-b1194	986
gene-b1195	178
gene-b1196	146
gene-b1197	708
gene-b1198	2221
gene-b1199	1114
gene-b1200	1677
gene-b1201	954
gene-b1202	844
gene-b1203	2232
gene-b1204	1844
gene-b1205	13005
gene-b1206	1199
gene-b1207	34279
gene-b1208	2699
gene-b1209	759
gene-b1210	4862
gene-b1211	1105
gene-b1212	1454
gene-b1213	1256
gene-b1214	8797
gene-b1215	6060
gene-b4419	102
gene-b4420	123
gene-b4421	0
gene-b4422	9
gene-b4423	1
gene-b4424	7
gene-b1216	1610
gene-b1217	54
gene-b1218	824
gene-b1219	8604
gene-b1220	1435
gene-b1221	1440
gene-b1222	2498
gene-b1223	6485
gene-b1224	10470
gene-b1225	3343
gene-b1226	2828
gene-b1227	1335
gene-b1228	8
gene-b4425	264
gene-b1229	70
gene-b1230	2586
gene-b1231	958
gene-b1232	8990
gene-b1233	3073
gene-b1234	1615
gene-b1235	2809
gene-b1236	1143
gene-b1237	115549
gene-b1238	1250
gene-b1241	43427
gene-b1242	684
gene-b4711	2010
gene-b1243	38223
gene-b1244	4609
gene-b1245	6849
gene-b1246	12735
gene-b1247	8101
gene-b1248	4603
gene-b1249	4205
gene-b4595	1461
gene-b1250	3097
gene-b1251	763
gene-b1252	906
gene-b1253	848
gene-b1254	3808
gene-b1255	1428
gene-b1256	281
gene-b1257	161
gene-b1258	70
gene-b1259	1
gene-b1260	677
gene-b1261	1992
gene-b1262	1795
gene-b1263	309
gene-b1264	94
gene-b1265	3
gene-b1266	1962
gene-b1267	2015
gene-b1268	1277
gene-b1269	2952
gene-b1270	1386
gene-b1271	1756
gene-b1272	7625
gene-b1273	529
gene-b1274	8073
gene-b1275	1379
gene-b4522	497
gene-b4523	341
gene-b4741	418
gene-b1276	11756
gene-b1277	8993
gene-b1278	560
gene-b1279	2030
gene-b1280	1650
gene-b1281	566
gene-b1282	197
gene-b1283	113
gene-b1284	9731
gene-b4596	3261
gene-b1285	526
gene-b4672	66
gene-b1286	4419
gene-b1287	266
gene-b1288	22527
gene-b1289	487
gene-b1290	1151
gene-b1291	544
gene-b1292	845
gene-b1293	524
gene-b1294	1274
gene-b1295	245
gene-b1296	270
gene-b4742	148
gene-b1297	1647
gene-b1298	460
gene-b1299	2156
gene-b1300	68
gene-b1301	70
gene-b1302	116
gene-b1303	690
gene-b1304	1095
gene-b1305	231
gene-b1306	163
gene-b1307	125
gene-b1308	15877
gene-b1309	285
gene-b1310	92
gene-b1311	76
gene-b1312	37
gene-b1313	105
gene-b1314	95
gene-b1315	192
gene-b1316	167
gene-b1317	31
gene-b1319	16
gene-b1320	290
gene-b1321	3174
gene-b1322	1405
gene-b1323	5466
gene-b1324	27125
gene-b1325	2513
gene-b1326	2286
gene-b4525	110
gene-b4673	43
gene-b1327	122
gene-b1328	453
gene-b1329	5108
gene-b1330	2450
gene-b1331	26
gene-b1332	2452
gene-b1333	8739
gene-b1334	10832
gene-b1335	1653
gene-b1336	420
gene-b1337	290
gene-b1338	196
gene-b1339	1542
gene-b4426	580
gene-b1340	538
gene-b1341	1009
gene-b1342	1499
gene-b4699	137
gene-b4743	32
gene-b1343	657
gene-b1344	2404
gene-b1345	504
gene-b1346	8
gene-b1347	14
gene-b4714	12
gene-b1348	8
gene-b1349	161
gene-b1350	395
gene-b1351	29
gene-b4526	35
gene-b1352	11
gene-b1353	390
gene-b4527	46
gene-b1355	6
gene-b1356	7102
gene-b1357	166
gene-b1358	50
gene-b1359	163
gene-b1360	74
gene-b1361	86
gene-b4528	28
gene-b1363	2055
gene-b1365	62
gene-b1366	73
gene-b1368	250
gene-b1370	136
gene-b1372	385
gene-b1373	24
gene-b1374	71
gene-b1375	348
gene-b4744	1011
gene-b1376	1604
gene-b1377	69
gene-b4427	868
gene-b1378	7879
gene-b4529	2506
gene-b1379	3273
gene-b1380	4150
gene-b1381	4381
gene-b1382	550
gene-b1383	448
gene-b1384	9012
gene-b1385	819
gene-b1386	200
gene-b1387	240
gene-b1388	2082
gene-b1389	211
gene-b1390	784
gene-b1391	368
gene-b1392	728
gene-b1393	152
gene-b1394	339
gene-b1395	1065
gene-b1396	151
gene-b1397	3457
gene-b1398	8971
gene-b1399	5321
gene-b1400	1349
gene-b4674	1
gene-b1402	92
gene-b1403	7
gene-b1404	41
gene-b1406	4607
gene-b1407	474
gene-b1408	15
gene-b1409	18
gene-b1410	188
gene-b1411	314
gene-b1412	1722
gene-b1413	7395
gene-b1414	1630
gene-b1415	60909
gene-b1418	479
gene-b4597	211
gene-b1419	1244
gene-b4428	2439
gene-b1420	2501
gene-b4429	1786
gene-b1421	2220
gene-b1422	9497
gene-b1423	844
gene-b1424	7054
gene-b1426	408
gene-b1427	1283
gene-b1428	492
gene-b1429	833
gene-b1430	779
gene-b1431	1321
gene-b1432	1590
gene-b1433	650
gene-b1434	263
gene-b1435	3226
gene-b1436	664
gene-b4532	847
gene-b1438	1312
gene-b1439	1725
gene-b1440	654
gene-b1441	364
gene-b1442	408
gene-b1443	286
gene-b1444	1142
gene-b4598	1802
gene-b1445	319
gene-b1446	1929
gene-b1447	799
gene-b1448	487
gene-b1449	3289
gene-b1450	298
gene-b1451	1116
gene-b1452	4014
gene-b1453	291
gene-b1454	166
gene-b1455	26
gene-b1457	753
gene-b4745	443
gene-b1460	39
gene-b1461	1263
gene-b1462	317
gene-b1463	201
