Geneid	1714__30min_LEVO_N=3_library-read-1.fastq.gz
gene-b0557	279
gene-b0558	5
gene-b0559	25
gene-b4589	1
gene-b0560	119
gene-b0561	59
gene-b0563	41
gene-b0564	1534
gene-b0565	10559
gene-b0566	205
gene-b0567	588
gene-b0568	1113
gene-b0569	1108
gene-b0570	367
gene-b0571	246
gene-b0572	32
gene-b0573	17
gene-b0574	33
gene-b0575	128
gene-b0576	315
gene-b0577	800
gene-b0578	2217
gene-b0579	1058
gene-b0580	2599
gene-b0581	11891
gene-b4700	48
gene-b4415	34
gene-b0582	92
gene-b0583	110
gene-b0584	759
gene-b0585	2051
gene-b4511	281
gene-b0586	5637
gene-b0587	40
gene-b0588	153
gene-b0589	304
gene-b0590	241
gene-b0591	327
gene-b0592	1786
gene-b0593	970
gene-b0594	1704
gene-b0595	788
gene-b0596	532
gene-b0597	213
gene-b0598	41434
gene-b4512	1027
gene-b0599	1546
gene-b0600	25
gene-b0601	127
gene-b0602	127
gene-b0603	67
gene-b0604	611
gene-b0605	17809
gene-b0606	4356
gene-b0607	29284
gene-b0608	594
gene-b4734	190
gene-b0610	336
gene-b0611	5608
gene-b0612	32
gene-b0613	28
gene-b0614	33
gene-b0615	67
gene-b0616	14
gene-b0617	0
gene-b0618	88
gene-b0619	262
gene-b0620	197
gene-b0621	252
gene-b0622	274
gene-b0623	86536
gene-b0624	1351
gene-b0627	1149
gene-b0628	3893
gene-b0629	408
gene-b0630	675
gene-b0631	25690
gene-b0632	525
gene-b0633	1785
gene-b0634	866
gene-b0635	709
gene-b0636	203
gene-b0637	193
gene-b0638	155
gene-b0639	464
gene-b0640	1827
gene-b0641	11336
gene-b0642	35110
gene-b0643	18103
gene-b0644	2488
gene-b0645	30
gene-b0646	160
gene-b0647	18
gene-b0648	130
gene-b0649	238
gene-b0650	391
gene-b0651	1016
gene-b0652	244
gene-b0653	243
gene-b0654	217
gene-b0655	7697
gene-b0656	45
gene-b0657	3402
gene-b0658	14406
gene-b0659	5741
gene-b0660	14615
gene-b0661	4049
gene-b0662	19359
gene-b0664	438
gene-b0665	325
gene-b0666	1229
gene-b0668	1405
gene-b0670	1191
gene-b0672	1445
gene-b0673	1111
gene-b0674	1573
gene-b0675	1614
gene-b0676	2365
gene-b0677	5720
gene-b0678	6973
gene-b0679	7867
gene-b0680	5871
gene-b0681	203
gene-b0682	66
gene-b0683	8982
gene-b4637	1378
gene-b0684	2247
gene-b0685	69
gene-b0686	177
gene-b0687	1443
gene-b0688	11698
gene-b0689	193
gene-b0692	850
gene-b0693	183
gene-b4590	10
gene-b0694	1621
gene-b0695	7287
gene-b0696	698
gene-b0697	143
gene-b0698	85
gene-b4513	0
gene-b0699	5121
gene-b0700	482
gene-b0702	24
gene-b0704	85
gene-b4514	16
gene-b0706	4
gene-b0707	225
gene-b0708	564
gene-b0709	284
gene-b0710	2685
gene-b0711	3070
gene-b0712	2104
gene-b0713	707
gene-b0714	189
gene-b0715	120
gene-b0716	649
gene-b0717	278
gene-b0718	112
gene-b0719	85
gene-b0720	71474
gene-b4735	4876
gene-b0721	5512
gene-b0722	3682
gene-b0723	12707
gene-b0724	2947
gene-b0726	21895
gene-b0727	8349
gene-b0728	5254
gene-b0729	5677
gene-b0730	179
gene-b0731	40
gene-b0732	561
gene-b0733	39773
gene-b0734	39700
gene-b4515	8622
gene-b0735	5906
gene-b0736	494
gene-b0737	692
gene-b0738	1004
gene-b0739	4624
gene-b0740	9601
gene-b0741	9085
gene-b0742	7986
gene-b0743	518
gene-b0744	376
gene-b0745	463
gene-b0746	286
gene-b0747	368
gene-b0748	422
gene-b0749	173
gene-b0750	715
gene-b0751	4868
gene-b0752	3436
gene-b0753	2152
gene-b0754	547
gene-b0755	85425
gene-b0756	4459
gene-b0757	4058
gene-b0758	4380
gene-b0759	3115
gene-b0760	403
gene-b0761	288
gene-b0762	474
gene-b0763	309
gene-b0764	161
gene-b0765	388
gene-b0766	219
gene-b0767	845
gene-b0768	148
gene-b0769	8
gene-b0770	126
gene-b0771	179
gene-b0772	932
gene-b0773	2490
gene-b0774	1905
gene-b0775	2101
gene-b0776	920
gene-b0777	104
gene-b0778	66
gene-b0779	31425
gene-b0780	665
gene-b0781	4970
gene-b0782	4361
gene-b0783	4590
gene-b0784	1754
gene-b0785	1464
gene-b0786	36876
gene-b0787	254
gene-b0788	220
gene-b0789	893
gene-b0790	683
gene-b0791	13058
gene-b0792	4492
gene-b0793	261
gene-b0794	429
gene-b0795	266
gene-b0796	170
gene-b0797	90
gene-b0798	104
gene-b0799	4081
gene-b0800	5765
gene-b0801	1869
gene-b0802	9277
gene-b0803	294
gene-b0804	202
gene-b0805	717
gene-b0806	13223
gene-b0807	186
gene-b0808	1325
gene-b0809	1702
gene-b0810	805
gene-b0811	12465
gene-b0812	398688
