Geneid	1714__30min_LEVO_library-read-1.fastq.gz
gene-b0478	1740
gene-b0479	63
gene-b0480	478
gene-b0481	37
gene-b4585	0
gene-b0482	59
gene-b0483	789
gene-b0484	2605
gene-b0485	242
gene-b0486	222
gene-b0487	473
gene-b0488	1844
gene-b0489	4518
gene-b0490	4
gene-b0491	152
gene-b0492	1454
gene-b0493	86
gene-b0494	822
gene-b0495	201
gene-b0496	213
gene-b0497	168
gene-b0498	9
gene-b0502	1
gene-b0503	66
gene-b0504	3
gene-b0505	42
gene-b0506	6311
gene-b0507	131
gene-b0508	30
gene-b0509	3
gene-b0511	113
gene-b0512	128
gene-b0513	98
gene-b0514	128
gene-b0515	46
gene-b0516	183
gene-b0517	1
gene-b0518	1
gene-b4572	14
gene-b0520	0
gene-b0521	74
gene-b0522	0
gene-b0523	21
gene-b0524	366
gene-b0525	1328
gene-b0526	136
gene-b0527	0
gene-b0528	429
gene-b0529	943
gene-b0530	122
gene-b0531	38
gene-b0532	6
gene-b0533	1
gene-b0534	6
gene-b0535	0
gene-b0536	153
gene-b0537	436
gene-b0540	0
gene-b0541	6
gene-b0543	72
gene-b4733	13
gene-b0544	0
gene-b0545	451
gene-b0546	225
gene-b4588	19
gene-b0547	34
gene-b0548	0
gene-b0549	0
gene-b0550	0
gene-b4509	0
gene-b0551	0
gene-b0552	51
gene-b0554	0
gene-b0555	16
gene-b0556	39
gene-b4510	0
gene-b0557	5
gene-b0558	2
gene-b0559	0
gene-b4589	4
gene-b0560	12
gene-b0561	10
gene-b0563	2
gene-b0564	93
gene-b0565	987
gene-b0566	1
gene-b0567	100
gene-b0568	586
gene-b0569	829
gene-b0570	63
gene-b0571	50
gene-b0572	1
gene-b0573	3
gene-b0574	13
gene-b0575	35
gene-b0576	74
gene-b0577	103
gene-b0578	218
gene-b0579	124
gene-b0580	356
gene-b0581	1480
gene-b4700	0
gene-b4415	25
gene-b0582	35
gene-b0583	45
gene-b0584	65
gene-b0585	944
gene-b4511	48
gene-b0586	1112
gene-b0587	2
gene-b0588	4
gene-b0589	2
gene-b0590	126
gene-b0591	93
gene-b0592	447
gene-b0593	207
gene-b0594	286
gene-b0595	103
gene-b0596	212
gene-b0597	8
gene-b0598	29906
gene-b4512	481
gene-b0599	920
gene-b0600	6
gene-b0601	12
gene-b0602	47
gene-b0603	28
gene-b0604	75
gene-b0605	1318
gene-b0606	1760
gene-b0607	6993
gene-b0608	38
gene-b4734	28
gene-b0610	95
gene-b0611	1037
gene-b0612	0
gene-b0613	0
gene-b0614	1
gene-b0615	1
gene-b0616	2
gene-b0617	0
gene-b0618	4
gene-b0619	129
gene-b0620	24
gene-b0621	27
gene-b0622	18
gene-b0623	61558
gene-b0624	120
gene-b0627	322
gene-b0628	1346
gene-b0629	25
gene-b0630	20
gene-b0631	4791
gene-b0632	73
gene-b0633	678
gene-b0634	124
gene-b0635	83
gene-b0636	26
gene-b0637	2
gene-b0638	9
gene-b0639	59
gene-b0640	369
gene-b0641	3501
gene-b0642	7901
gene-b0643	11135
gene-b0644	652
gene-b0645	0
gene-b0646	0
gene-b0647	0
gene-b0648	0
gene-b0649	70
gene-b0650	47
gene-b0651	100
gene-b0652	158
gene-b0653	17
gene-b0654	142
gene-b0655	3276
gene-b0656	34
gene-b0657	993
gene-b0658	3942
gene-b0659	996
gene-b0660	2814
gene-b0661	1458
gene-b0662	5083
gene-b0664	141
gene-b0665	85
gene-b0666	380
gene-b0668	249
gene-b0670	357
gene-b0672	336
gene-b0673	145
gene-b0674	665
gene-b0675	292
gene-b0676	1153
gene-b0677	1564
gene-b0678	954
gene-b0679	3898
gene-b0680	431
gene-b0681	80
gene-b0682	1
gene-b0683	3249
gene-b4637	505
gene-b0684	580
gene-b0685	17
gene-b0686	117
gene-b0687	489
gene-b0688	2170
gene-b0689	4
gene-b0692	352
gene-b0693	37
gene-b4590	0
gene-b0694	739
gene-b0695	3792
gene-b0696	112
gene-b0697	22
gene-b0698	0
gene-b4513	0
gene-b0699	825
gene-b0700	169
gene-b0702	0
gene-b0704	3
gene-b4514	0
gene-b0706	0
gene-b0707	17
gene-b0708	260
gene-b0709	90
gene-b0710	628
gene-b0711	453
gene-b0712	221
gene-b0713	314
gene-b0714	63
gene-b0715	23
gene-b0716	157
gene-b0717	1
gene-b0718	2
gene-b0719	1
gene-b0720	14322
gene-b4735	868
gene-b0721	874
gene-b0722	387
gene-b0723	1369
gene-b0724	622
gene-b0726	1896
gene-b0727	1185
gene-b0728	1078
gene-b0729	1275
gene-b0730	2
gene-b0731	4
gene-b0732	144
gene-b0733	11926
gene-b0734	12384
gene-b4515	1631
gene-b0735	894
gene-b0736	43
gene-b0737	199
gene-b0738	50
gene-b0739	802
gene-b0740	1853
gene-b0741	2361
gene-b0742	2319
gene-b0743	328
gene-b0744	151
gene-b0745	174
gene-b0746	120
gene-b0747	86
gene-b0748	7
gene-b0749	28
gene-b0750	231
gene-b0751	830
gene-b0752	738
gene-b0753	605
gene-b0754	282
gene-b0755	36197
gene-b0756	1879
gene-b0757	1505
gene-b0758	1456
gene-b0759	1637
gene-b0760	44
gene-b0761	50
gene-b0762	141
gene-b0763	173
gene-b0764	86
gene-b0765	145
gene-b0766	11
gene-b0767	120
gene-b0768	3
gene-b0769	4
gene-b0770	1
gene-b0771	4
gene-b0772	11
gene-b0773	802
gene-b0774	708
gene-b0775	368
gene-b0776	219
gene-b0777	86
gene-b0778	6
gene-b0779	4588
gene-b0780	220
gene-b0781	993
gene-b0782	504
gene-b0783	594
gene-b0784	251
gene-b0785	324
gene-b0786	16338
gene-b0787	109
gene-b0788	68
gene-b0789	192
gene-b0790	115
gene-b0791	12373
gene-b0792	2637
gene-b0793	118
gene-b0794	120
gene-b0795	130
gene-b0796	45
gene-b0797	87
gene-b0798	31
gene-b0799	1225
gene-b0800	1555
gene-b0801	248
gene-b0802	1287
gene-b0803	49
gene-b0804	64
gene-b0805	18
gene-b0806	2711
gene-b0807	48
gene-b0808	222
gene-b0809	621
gene-b0810	433
gene-b0811	3398
gene-b0812	50259
gene-b0813	49
gene-b4736	183
gene-b0814	30703
gene-b0815	84
gene-b4416	4762
