	featureCounts on ROC_-_1	featureCounts on ROC_-_3	featureCounts on ROC_-_2	featureCounts on ROC_MMC_1	featureCounts on ROC_MMC_3	featureCounts on ROC_MMC_2
gene-b0062	9.78860385661574	9.33990986157009	9.34596658699644	9.78333054383608	9.63270738459185	9.76937315927101
gene-b0063	9.6115783834074	9.38333392811408	9.31006517306402	9.44919880517731	9.26410616883592	9.51879211762405
gene-b0064	12.0655701418469	12.069631733166	11.5999189481077	10.5951833339245	10.6077101223744	10.3212081284716
gene-b0065	10.755628929587	10.8216778796734	10.9895774888661	10.5246778248838	10.6639530859522	10.5408304443149
gene-b0066	8.96178860569571	8.98487570778867	9.20348098976743	9.43334233461208	9.28659180155108	9.40281511130764
gene-b0067	8.29263573072877	8.05112969988379	8.19932774833572	9.22247119406014	9.34401791008638	9.32236118462912
gene-b0068	8.84107233582797	8.16705244185299	8.49719058808689	9.22623487503101	9.20385009623561	9.47405894599021
gene-b0069	9.43259690966408	9.47628585823633	9.51031522176441	10.028644953097	10.0635458024598	9.8636713943565
gene-b4577	7.20698807897126	9.16316130492378	7.2483225022345	7.82752892795625	7.69819331264224	7.95074244609651
gene-b4662	6.38744272795839	8.31345508099309	6.46375145561081	6.98308502815445	6.93398800323488	7.3576940329696
gene-b0070	9.70743152739509	9.89654986517497	9.59106488485059	9.38216037405049	9.6125981889141	9.10454142520109
gene-b0071	8.9935031012201	8.90038411028285	8.51993668474504	9.35295001183655	9.56903966407381	9.32656788131743
gene-b0072	9.3364817009287	9.11218063304531	9.0111299020193	9.92406730781529	9.76245513616101	10.1106202424744
gene-b0073	8.45851915790896	8.55395255929679	8.25645365433402	9.66868123912652	9.29091015684139	9.22367385264675
gene-b0074	8.27444615636914	8.2501253282325	8.26574942603312	8.97931060615093	9.1566809106281	9.20986759218271
gene-b0075	4.60835710725569	7.01709285988876	4.80026084214895	5.33502883410764	6.08971762876139	4.75446484229265
gene-b0076	7.6804214504847	7.8685385561845	7.16628660343047	9.03052119423334	9.02352367209136	9.1663745963585
gene-b4726	3.28670416369546	4.19869130537459	3.35917165782607	3.87428382100765	4.70384272963164	4.47541025184095
gene-b0077	10.1274027822516	9.66959177588597	10.0491596466642	9.35884722495747	9.41287748046179	9.42402308877598
gene-b0078	7.10863450639582	6.67312205539765	7.34558139620354	6.93272194749296	7.03495547374405	7.33944396591274
gene-b0080	11.9327850051285	11.6943954343347	12.1551123296857	10.4655998016844	10.333156522608	10.2911399872761
gene-b0081	11.897562502517	11.7412080454042	11.9643830359171	11.5418571417594	11.0320377973721	11.5049464864423
gene-b0082	13.6831178496804	13.2636964492072	13.3898407823564	12.1230514234049	12.0351156358403	12.0358958659584
gene-b0083	12.1895119944943	12.3364483607337	12.0766513639648	10.3582332105714	10.6349380602136	10.3816256342815
gene-b0084	11.5491749713418	12.2682874456897	11.5707271988481	10.2812127226108	10.1937570899257	10.2795211436257
gene-b0085	12.7436739322968	12.6995182363945	12.7150085271781	10.9594688884763	11.1070450696445	11.1628368794612
gene-b0086	12.5806575314274	12.4186589474613	12.6771412120962	10.8098266585792	10.7538626477972	10.8616325944742
gene-b0087	11.5915676098324	11.5790469245577	11.667258454032	10.0261768654931	9.85230702826956	10.1176748907754
gene-b0088	12.3372465948558	12.3219112568131	12.5681038888454	11.0128083293254	10.8748456966671	10.9669163919073
gene-b0089	11.0680651357538	11.2911105807252	11.3727731854572	10.2175721554386	10.0736850087873	10.4085686720694
