	featureCounts on ROC_-_1	featureCounts on ROC_-_3	featureCounts on ROC_-_2	featureCounts on ROC_MMC_1	featureCounts on ROC_MMC_3	featureCounts on ROC_MMC_2
gene-b0095	51345.6458012996	80906.8444806021	52042.0515911656	9842.35224948398	8953.42392582414	9489.52308216207
gene-b0096	30762.830258798	26984.1616670211	32971.5502151041	134235.648597825	96368.3300155491	166137.808868088
gene-b0097	3149.14718888522	3696.88215734706	3852.95563741865	5999.52149072131	5998.2439647125	5797.00630433796
gene-b0098	33444.1266168751	25928.0612517008	29830.5406553794	16593.9505082729	18097.1579004918	18732.12441961
gene-b0099	1168.97182375598	1032.74945136339	802.44769773987	406.201890774495	581.046295306291	492.901040020932
gene-b0101	2814.96802402224	3219.24880368465	2584.72626850947	932.052358287021	1212.67333449126	979.204934190724
gene-b0102	2807.104984849	2104.77097847236	3054.12800448062	1964.64973904298	1839.87455858684	1907.51760038693
gene-b0103	2126.95209636317	2157.84135110151	1678.5033797837	1176.37676288653	1141.22803376263	1311.88957496967
gene-b4727	1.31050652887441	50.9475577239905	13.273570940058	66.3597148294967	91.0453389816169	34.8706280703145
gene-b0104	11299.1872919552	6023.48729340929	6262.71210717282	3479.86322764982	2931.15410776928	2993.21931760321
gene-b0106	1351.13223126952	550.870467890647	803.654386007148	865.692643457525	1013.51165546897	771.866064583448
gene-b0107	230.649149081897	226.079787400208	323.392455630504	682.700702564064	793.48541959673	739.822784735051
gene-b0108	32.7626632218604	10.6140745258314	13.273570940058	118.643126513343	103.690524951286	110.266580654778
gene-b0109	845.276711123997	1011.52130231173	1386.48481910242	530.877718635973	324.34902012201	402.425896919576
gene-b0110	327.626632218604	215.465712874376	413.894075676354	73.3978664023221	157.432565322379	108.381681840167
gene-b0111	1199.11347392009	1001.96863523848	1165.66086619055	408.212791223873	347.110354867414	460.857760172535
gene-b0112	984.190403184685	1277.9345729101	1052.23216906642	1406.62486434039	885.795277175314	1124.34214291582
gene-b0113	2638.0496426242	3470.80236994685	3254.43825684876	1522.25164017967	1319.52515593496	2093.18013362618
gene-b0114	342529.712464963	165688.887570585	678771.803850013	34717.1908082983	38333.8812670516	39680.8898452033
gene-b0115	122410.483342572	38245.6947389281	284444.178427572	10030.3714415009	13133.9224073967	11128.4426014669
gene-b0116	202245.230575073	83981.7418707354	349580.004406971	24483.7184214102	22227.0756381857	23708.2572901846
gene-b0117	213.61256420653	300.378309081027	322.185767363226	743.027716045425	511.497772473112	767.153817546919
gene-b0118	183406.699222503	86623.5850202148	122632.108538661	9947.92452307636	8961.64329670443	5909.15778380735
gene-b0119	819.066580546509	710.081585778118	1098.08632322298	1510.18623748339	1500.98357459971	1463.6239295459
gene-b0120	3804.40045332243	2690.66789229825	4411.65230516837	16584.9014562507	16336.3157542154	18399.4397788311
gene-b0121	2297.31794511685	1359.662946759	3110.84235304268	13071.8583711862	11345.8931112855	14749.3332243357
gene-b0122	3328.68658334101	7438.34342770261	2601.61990425137	1396.5703620935	1657.15162132512	1288.32833978703
gene-b0123	1483.49339068584	1240.78531206969	1133.08028297404	2182.83243780056	1922.70052668817	1708.66077544541
gene-b0124	1130.96713441862	1083.69700908738	826.58146308543	2102.39641982542	1629.33221219185	1888.66861224082
gene-b0125	3280.19784177266	4268.98077428937	4720.56450159153	3352.17104911427	3108.18671134464	3970.53935297932
gene-b0126	4307.6349604102	5218.94044435128	6434.06184112629	1849.0229632037	1883.5004501822	2051.71235970472
gene-b0127	2425.74758494654	1529.4881391723	1835.37285452984	2636.29048913546	2575.82438202158	2916.88091561144
gene-b0128	1821.60407513544	2527.21114460045	1630.23584909258	1445.83742310328	1425.74471808018	2054.53970792664
gene-b0129	656.563770966082	1250.33797914293	797.620944670758	809.387430874921	451.433139117184	549.44800445928
gene-b0130	802.029995671142	992.415968165232	1094.46625842115	1158.27865884212	1319.52515593496	837.837523094854
gene-b0131	893.765452692351	1196.20619906119	1286.32969291835	687.727953687511	772.620862746777	791.65750213687
gene-b0132	1775.73634662483	3509.01303823985	1338.2172884113	904.905202220409	1261.35730047448	634.268451116802
gene-b0133	9214.17140451601	7822.57292553771	8985.00083815198	2899.71844800407	2711.12787189704	2713.31184363339
gene-b0134	913.423050625467	608.186470330137	1356.31761242047	1221.62202299755	931.950205964606	1425.92595325367
gene-b0135	65.5253264437207	94.465263279899	59.127725096622	1452.8755746761	1392.23497526056	1254.40016112402
gene-b0136	23.5891175197395	56.2545949869062	25.340453612838	839.550937615602	899.70498174195	628.613754672967
gene-b0137	86.4934309057113	312.053791059442	59.127725096622	852.621790536563	1130.47962568841	933.024913232739
gene-b0138	19.6575979331162	35.0264459352435	14.480259207336	651.531745598694	930.053428069156	736.052987105828
gene-b0139	81.2514047902137	72.1757067756532	36.20064801834	2410.06418858036	2584.67601220035	2074.33114548006
gene-b0140	39.3151958662324	39.272075745576	21.720388811004	591.204732117334	663.24000410914	522.116971647412
gene-b0141	3.93151958662324	3.18422235774941	6.03344133639	268.455209992055	208.645568499539	237.497250641061
gene-b0142	870.176335172611	605.002247972387	1105.32645282665	524.845017287837	492.529993518608	326.087494927806
gene-b0143	8885.23426576853	4402.71811331485	8009.99671819136	4443.08454290221	3906.73020532924	4385.21709219388
gene-b0144	2749.44269757852	2186.49935232126	2555.7657500948	935.068708961089	964.195430187262	633.326001709496
gene-b0145	15138.9714215572	10455.9248153965	10344.9385153743	2299.46466386453	1922.06826738969	1535.25008450114
gene-b0146	13060.5080667624	18285.9275931023	10410.0996818073	2720.74830800936	2460.12093039911	2109.20177355037
gene-b0147	681.463395014695	759.967736049525	767.453737988808	316.716820777143	337.626465390163	319.490349076665
gene-b0148	6176.41727058512	6830.15695737248	6402.68794617706	4744.71961030901	4724.24147826834	4972.36307294539
gene-b0149	4460.96422428851	3239.41554528373	4511.80743135244	3510.0267343905	3637.38774417529	3960.17240949896
gene-b0150	11233.6619655115	6051.08388717646	9925.01099836155	5105.67624097249	5127.62291070078	5263.57993980288
gene-b0151	2018.1800544666	1085.81982399255	2209.44621738602	1057.73363637319	1001.49872879779	1098.89600891856
gene-b0152	888.523426576853	601.818025614638	1008.79139144441	624.384589532082	435.626656655097	638.980698153331
gene-b0153	2952.57120955406	2411.51773226888	3434.23480867319	2363.81347824465	1994.1458274168	2371.20270878139
gene-b0154	4024.56555017333	2320.23669134673	4908.8078712869	2724.77010890812	2656.75357222746	3953.57526364782
gene-b0155	2559.41925089173	4188.31380789305	2091.19076719277	1769.59239545324	1616.68702622218	1544.6745785742
gene-b4728	1621.09657621765	1817.12955882233	1832.95947799528	2824.30968115237	3546.34240519367	2413.61293211015
gene-b0156	10459.1526069467	17720.1974208754	8294.77514926897	18141.3384040698	19242.1794900453	15709.6891703803
gene-b0157	771.88834550703	581.651284015558	867.608864172882	1368.4177558022	1377.06075209696	1384.45817933222
gene-b0158	636.906173032965	1043.36352588922	1339.42397667858	1328.19974681462	1330.27356400918	1436.29289673404
gene-b0159	2649.84420138407	2169.51683307993	4269.26308962956	7587.12739550578	5359.02981394573	8298.26703132755
gene-b0160	1429.76262300199	1311.89961139276	1087.22612881748	1130.12605255082	1082.42791900367	1051.77353855327
gene-b0161	18510.9047203511	16702.3076738482	22107.7357448002	18501.2895845086	22554.5859548001	19583.1562344072
gene-b0162	4822.66402625784	3598.17126425683	3550.07688233187	1728.36893624098	2083.92664780145	1811.38776084174
gene-b0163	1467.76731233934	1364.96998402191	1428.71890845715	638.460892677733	428.039545073296	444.836120248336
gene-b0164	344.663217093971	246.246528999287	417.514140478188	321.74407190059	380.620097687037	383.57690877346
gene-b0166	2064.0477829772	1309.77679648759	3509.04948124442	901.888851546341	830.156458908771	963.183294266525
gene-b0167	4434.75409371102	2630.16766750101	6602.99819854521	1759.53789320635	2013.74586566979	2139.36015458416
gene-b0168	4264.38824495734	3255.33665707248	9261.33245135865	2050.11300814157	2150.9461334407	2187.42507435676
gene-b4414	7319.1789637636	4941.91309922708	8206.68690575768	4384.76842987023	5016.97753346618	4814.97402192532
gene-b0169	168791.930412496	84621.7705646431	228686.733661457	157947.181246674	156891.983622176	136790.876773993
gene-b0170	70992.7596821848	22212.0737602073	144171.494109574	66993.148471051	65510.2826937658	85692.2123592796
gene-b0171	75586.0850658896	63805.4476045826	89481.96846	15391.4320395445	18422.1391799123	13706.9841798555
gene-b0172	34672.0712344304	19048.0181440569	35643.1580388575	6854.15418170725	7441.05968385173	7568.81119007286
gene-b0173	2699.64344948129	1877.62978361957	3682.81259173245	1613.7476106264	1499.71905600274	2121.45361584535
gene-b0174	3969.5242759606	3045.17798146102	4357.35133314086	1225.64382389631	1128.58284779296	1203.5078931295
gene-b0175	4126.78505942553	3910.22505531627	4560.07496204356	1316.13434411835	1602.77732165555	1376.91858407377
gene-b0176	14806.1027632231	13286.6984914357	14628.6818642112	2596.07248014788	3209.348199102	3035.62954093197
gene-b0177	86250.9871978696	72095.0398092569	71422.6718519175	9614.1150484795	10857.7889328563	8990.02489629
gene-b0178	19071.8015147094	27397.0491660759	17560.9343536967	2313.54096701018	2229.97854575113	2497.49092936036
gene-b0179	29795.6764404887	44783.9646468402	27555.9332715604	5070.48548310836	5378.62985219871	4541.66369380664
gene-b0180	28010.7665481617	34432.0577617969	26265.9835138402	10448.6387349717	9944.17424654771	11561.9693288275
gene-b0181	12976.6356489145	9280.94676538694	13828.6475430059	7730.90677763636	6153.14749284094	8926.88078600051
gene-b0182	8908.82338328827	7521.1332090041	9431.47549704484	4846.27008300264	4176.70492578167	4950.68673657735
gene-b0183	1396.99995978013	805.6082565106	2100.844273331	1174.36586243715	830.788718207254	1473.04842361896
gene-b0184	18898.8146528979	19417.3879375559	23297.5303763363	9448.21576140576	8938.88196195902	11022.8882678486
gene-b0185	10833.9574742048	5870.64462023732	17134.9733953476	6002.53784139538	4674.29299368815	6669.71445550313
gene-b0186	836.103165421876	1316.14524120309	863.988799371048	1170.3440615384	1174.10551728377	1057.4282349971
gene-b0187	559.586287829375	945.714040251574	528.529461067764	479.599757176817	457.755732102018	436.354075582584
gene-b0188	4433.44358718214	4408.02515057776	3464.40201535514	1628.82936399674	1387.17690087269	1827.40940076594
gene-b0189	1881.88737546366	1791.65577996033	1606.10208374702	654.548096272763	636.685113572835	410.907941585328
gene-b4406	964.532805251569	808.792478868349	791.587503334368	519.81776616439	520.34940265188	361.900572405426
gene-b0190	378.736386844706	299.316901628444	608.170886708112	417.261843246077	267.4456832585	587.145980751512
gene-b0191	418.051582710938	246.246528999287	551.456538146046	372.016583135057	399.587876641541	685.160719111315
gene-b0192	1113.93054954325	1059.28463767797	952.077042882342	566.0684765001	656.917411124305	653.117439262918
gene-b0193	259.480292717134	228.202602305374	295.63862548311	437.370847739864	345.845836270447	236.554801233755
gene-b0194	32689.2748562434	19281.5277836252	40830.7108998857	14523.7284956376	12242.4367965351	14298.8424076436
gene-b0195	2189.85640974915	1006.21426504881	1673.67662671459	843.572738514359	565.872072142688	578.66393608576
gene-b0196	1282.98589176805	935.099965725742	1399.75839004248	571.095727623547	401.484654536991	514.577376388965
gene-b0197	2319.59655610771	3328.57377130071	1741.25116968215	835.529136716844	995.176135812951	879.305297016309
gene-b0198	163.813316109302	213.34289796921	214.790511575484	241.308053925442	264.284386766082	201.684173163441
gene-b0199	247.685733957264	193.176156370131	237.717588653766	358.945730214096	290.207018003904	445.778569655642
gene-b0200	644.769212206212	1078.38997182447	1076.36593441198	410.223691673252	245.948867110062	321.375247891277
gene-b0201	8269.29619719755	152613.409162214	9486.98315733963	69563.0792453569	74026.1831850394	79569.1185600139
gene-b0202	104.840522309953	182.562081844299	42.23408935473	43.2343596616418	75.2388565195306	43.3526727360667
gene-b0203	327.626632218604	1680.2079974391	217.20388811004	240.302603700753	357.22650364315	196.029476719606
gene-b0204	12384.2866978632	79165.0748509132	15104.1170415187	115233.644801421	94236.9839203614	155716.2033221
