	featureCounts on ROC_-_1	featureCounts on ROC_-_3	featureCounts on ROC_-_2	featureCounts on ROC_MMC_1	featureCounts on ROC_MMC_3	featureCounts on ROC_MMC_2
gene-b4662	6.24519145658648	8.97397728811088	6.35975640246079	7.11919927437707	7.04884273669583	7.65336256361276
gene-b0070	9.81769862729404	10.0927770437171	9.64563073761253	9.33139837788725	9.67757636975804	8.89993458254848
gene-b0071	8.98097796663758	8.84000008862734	8.246334269561	9.51313239640414	9.82466005551445	9.47466734310554
gene-b0072	9.26539143644914	8.9180757923113	8.75775411264204	10.1355471483183	9.90106757208614	10.4023041061523
gene-b0073	8.2757876874357	8.42442757330537	7.95476296435887	10.0546544859878	9.51875587222709	9.4221146629627
gene-b0074	8.12125444498191	8.0838735257054	8.10791765300864	9.17452851886723	9.42896105260489	9.50492938876921
gene-b0075	4.81733119841339	7.99652713346195	5.07264855989469	5.77292326964722	6.76663099374992	5.01907585599414
gene-b0076	7.42724159919483	7.71931080390692	6.5962471684131	9.41240779142617	9.40224392631984	9.60086541980523
gene-b4726	3.93602971214961	5.25256536911235	4.06711416921226	4.81538168403907	5.92790386459958	5.62343386166387
gene-b0077	10.3811455966865	9.69850615438467	10.263731611311	9.21415366415024	9.30174402791283	9.31942961818681
gene-b0078	7.30065489374731	6.65819121379	7.64206154531453	7.0439099407624	7.19352907066905	7.63291640450984
gene-b0080	12.2931328673926	11.9574554138941	12.6008101474222	10.0910201355521	9.87020892400654	9.79857256502031
gene-b0081	12.0419288681131	11.8121478481039	12.1390483076534	11.5135638060577	10.7137936985361	11.4575236579656
gene-b0082	14.0915056522558	13.5032904793708	13.6824138199127	11.7668244213173	11.620617071776	11.6218518681312
gene-b0083	12.5770690816822	12.7798783153082	12.4198024328027	9.77727610490481	10.2486888846938	9.8182870060281
gene-b0084	11.803051874356	12.7999869891899	11.8337021202617	9.86700591421816	9.72038049414144	9.86423876570567
gene-b0085	13.1232851988236	13.0618081775229	13.0834034588931	10.3967068507042	10.650508097683	10.7442022180338
gene-b0086	12.9808718394332	12.7552833992839	13.1139657364737	10.2964580453487	10.1998870554383	10.385121901939
gene-b0087	11.9536436744224	11.9361212311681	12.0588964940393	9.59044153322317	9.29449776234865	9.74252913221389
gene-b0088	12.642400613313	12.6207420791489	12.9649455658483	10.6406524385729	10.4102436072136	10.5646267638947
gene-b0089	11.2392694969702	11.5596240388645	11.6755828183412	9.94560678485319	9.71061476443132	10.2487268510596
gene-b0090	12.0405831388623	12.1918511090752	12.1782653415665	10.5174113749372	10.3024095950909	10.2531902934473
gene-b0091	12.4631554082725	12.1664263218158	13.028206069822	10.6836209835185	10.6493726639727	10.7794405108866
gene-b0092	12.7254265898084	12.6055888177453	12.8700038799598	10.904026750919	10.6049647086912	10.8183635880775
gene-b0093	13.3303806473624	13.0495786569065	13.1844779662657	11.3319187349784	11.3905904031467	11.3281187059925
gene-b0094	14.1923065950565	13.9967994506857	14.1960387336011	12.1244550435381	11.9483093419864	11.9795729865698
gene-b0095	15.6484583838401	16.304294059223	15.6678875384676	13.2674141471533	13.1311108920176	13.2148441054705
gene-b0096	14.909741799251	14.7207841591061	15.0097189512076	17.0346011676687	16.5565400862829	17.3421767188785
gene-b0097	11.6289313135886	11.8590707383773	11.9184456005907	12.5549371459754	12.5546308236248	12.5055478214859
gene-b0098	15.0302390162333	14.6632246642408	14.8653699612471	14.0199286121958	14.1449049819334	14.1946079431531
gene-b0099	10.2129199961452	10.0370214887268	9.67999726883433	8.72777226958823	9.22606607700093	8.99629792119603
gene-b0101	11.4680558370046	11.6605166917986	11.3457599322987	9.89165013882924	10.2650903264151	9.96154901154651
gene-b0102	11.4640458406973	11.0516694792563	11.5849842164354	10.9531441373448	10.8593605865574	10.9109576393525
gene-b0103	11.066667098047	11.0872962802254	10.7282609842992	10.2218937479091	10.1787930862436	10.3769647938133
gene-b4727	3.71353470554881	6.08114721942275	4.82688632184372	6.38090608507974	6.75817119499233	5.67931521266878
gene-b0104	13.4662198337866	12.5606715910791	12.6166967194149	11.7722257548422	11.526044963819	11.5560926449842
gene-b0106	10.418925563005	9.15145638473378	9.68211822992548	9.7871613932587	10.0103575239269	9.62517653242359
gene-b0107	7.95576230810958	7.92892628354613	8.41405472327992	9.45230349639798	9.66414616173406	9.56540863261829
gene-b0108	5.61666518563083	4.66605514405495	4.82688632184372	7.08741649155861	6.91849956482462	6.99525881321194
gene-b0109	9.75343052183671	10.0075705099303	10.4557093585511	9.09980919065585	8.41809766068353	8.71485939288366
gene-b0110	8.43186513884318	7.86458702566409	8.75372493504809	6.49908571572565	7.45052490780373	6.97367589614646
gene-b0111	10.2491036929283	9.99411882505859	10.2088894462836	8.73460208711182	8.51109694849754	8.90277910939868
gene-b0112	9.96874527245354	10.3396461519521	10.0635317699214	10.4762528634093	9.81962130043998	10.1576199170793
gene-b0113	11.375019753664	11.7684836429572	11.6761149169931	10.5888493548166	10.3852254523596	11.0437699379425
gene-b0114	18.385945190274	17.3382735555986	19.3726052503173	15.0841079980783	15.2270075582787	15.2768089506317
gene-b0115	16.9015790562523	15.2236863923201	18.1178770384037	13.2946649523709	13.6829793061919	13.4442875996408
gene-b0116	17.625874151561	16.3580963033844	18.4153371938047	14.5805918504701	14.4411945455611	14.5341933347515
gene-b0117	7.85305269468989	8.31319894351656	8.4089383964098	9.57149925876632	9.04791491674129	9.61654095714763
gene-b0118	17.4848279534396	16.4027710747744	16.9041883237892	13.2827787201476	13.1324320550875	12.5331079185192
gene-b0119	9.70893700786785	9.50762704687681	10.1240678273511	10.577502468657	10.5687874429018	10.5328565765232
gene-b0120	11.9002342954773	11.4033223785384	12.1129537327065	14.019142513609	13.9973784441162	14.1687802103256
gene-b0121	11.176938319852	10.4278878688132	11.6113757723831	13.676155066034	13.4721615933901	13.8501157379809
gene-b0122	11.7084834133243	12.8642397555268	11.3550942594006	10.4660335111444	10.7099867251413	10.3511724142819
