	featureCounts on 30min_-_1	featureCounts on 30min_-_3	featureCounts on 30min_-_2	featureCounts on 30min_MOXI_1	featureCounts on 30min_MOXI_3	featureCounts on 30min_MOXI_2
gene-b0088	9.24632055377245	9.06180477104403	9.21929645710158	9.09108990250845	9.25029731506463	8.9550453840762
gene-b0089	9.02461298528349	8.84086529875771	9.19638606982373	8.82030143918764	9.20259580824669	9.00507410530046
gene-b0090	9.51152491932292	9.47554490994157	9.32134341428437	9.12557630471564	9.36278551977803	9.23644082297988
gene-b0091	10.2336040791411	10.0914098165262	10.0060702545166	10.071287838411	9.84284687499984	9.86329634696292
gene-b0092	11.3663216334152	11.1913667899382	10.8042630667456	11.5452916666217	10.7419499131856	10.9335397498452
gene-b0093	12.6825611654605	12.5149670139451	12.262120414268	12.8846119482419	12.099917527555	12.3031911920577
gene-b0094	13.0617438501698	12.8410413842628	12.9004519697196	13.3354711193151	12.5633803736552	12.8280001317217
gene-b0095	14.2040600394731	13.9164816331004	14.0846983783097	14.5199698263126	13.6683156401996	13.7906868096217
gene-b0096	17.6602634635105	17.190026091162	17.6820731136103	18.4521766348197	17.6127420780819	17.877626319516
gene-b0097	11.008072704687	11.0539921415502	11.1991197158437	11.4941369345368	11.4693552426069	11.2004667808138
gene-b0098	13.3114170287547	13.2499346245579	13.3801988864391	13.4418297372649	13.6614409070644	13.346871878619
gene-b0099	7.51078348841958	7.5821318068456	7.02285608700228	7.18187469436694	7.43541585096311	7.09133899837824
gene-b0101	9.32546971306586	9.54999380904857	9.04496939830639	8.78727760329731	8.99718668884124	8.73809461059891
gene-b0102	10.8727848757011	10.9048579714447	10.939490050375	10.1600378883775	10.7026172060698	10.7562251099533
gene-b0103	11.4132437741725	11.2834176567364	11.2574842741288	10.8588205886868	11.0439849431813	11.0835451997903
gene-b4727	3.09835660004617	3.7147082404274	3.18697371373726	3.04991043174097	3.08185514430977	3.25165014452931
gene-b0104	9.03539448402554	9.01781711775206	9.30877533567434	9.54434116619111	9.7883906615818	9.38984778684929
gene-b0106	7.00097524593699	7.23697843675151	7.22726476924002	6.72708925381668	7.06992468366886	7.11096890715515
gene-b0107	6.83200332746008	6.78577987971766	7.09122932814129	7.50478972367657	7.15819832615275	7.04961809047606
gene-b0108	2.61108161262252	2.66367182921065	2.83564989369672	2.61783612879218	2.75029958903106	2.90759110553405
gene-b0109	8.72110045541534	8.31577542519287	8.85817327177251	9.27467157121386	8.99713133328881	8.90311438202546
gene-b0110	8.2355372235324	7.89931561909041	8.42279433298887	8.08038949266401	8.31761599429114	8.69816406097859
