	featureCounts on 30min_-_1	featureCounts on 30min_-_3	featureCounts on 30min_-_2	featureCounts on 30min_MOXI_1	featureCounts on 30min_MOXI_3	featureCounts on 30min_MOXI_2
gene-b0069	286.065336745502	374.062300025612	241.421229042332	344.881807399539	393.167136431562	396.452755633211
gene-b4577	83.8153215942236	104.339958451167	55.7125913174612	1.83447769893372	35.0346953255847	12.3067374254212
gene-b4662	43.7297330056819	61.0424246721112	45.9849960080632	1.83447769893372	20.4369056065911	11.4276847521768
gene-b0070	962.965162229286	929.832282796113	622.566099801471	1363.01693030775	616.026726141531	1066.29089264542
gene-b0071	1699.99337059588	2245.79339142511	2355.84671856693	1326.32737632908	1497.73322516875	1591.08533857231
gene-b0072	1523.25236636459	1702.08993446189	2769.7116826395	964.935269639137	1525.95561862547	1032.00783838889
gene-b0073	1268.16225716477	1293.95744392161	2509.71958982468	719.115257982018	1719.61962889745	713.790770674429
gene-b0074	1321.91338731759	1509.02552154545	1781.03426846614	682.425704003344	1651.49661020881	699.725927902519
gene-b0075	31.8862636499764	151.186470408834	4.42163423154454	18.3447769893372	36.007881306851	8.7905267324437
gene-b0076	68.3277078213779	73.8187461151112	244.074209581259	365.06106208781	199.50312615958	225.037484350559
gene-b4726	0	1.41959127144445	0	0	0	0
gene-b0077	1260.87396833049	1008.61959836128	1344.17680638954	572.357042067321	1190.20645508861	418.42907246432
gene-b0078	199.516906838424	85.885271922389	548.282644711523	337.543896603805	252.055169147957	462.381706126539
gene-b0080	3510.22210981026	1455.08105323056	4147.49290918878	5153.04785630482	1422.79790461125	2600.23780745685
gene-b0081	5211.12651651042	2843.44131670323	11836.7148378447	5820.79773871669	5325.27368948888	7226.69202674197
gene-b0082	10282.8645090652	7118.54043065818	11310.5403642909	18076.9432452929	6289.70099692372	10467.759232994
gene-b0083	3242.37749515045	2546.74674097134	2817.46533234018	6325.27910592347	1871.43664197498	3674.44017416147
gene-b0084	754.337894348012	711.92502262939	607.53254341422	847.528696907379	607.268052310135	697.96782255603
gene-b0085	584.885178950995	447.171250505001	521.752839322256	403.585093765418	789.253830806922	509.850550481735
gene-b0086	430.920077326824	446.461454869278	360.805353294035	332.040463507003	606.294866328869	332.281910486372
gene-b0087	470.09462981108	205.840734359445	361.689680140343	275.171654840058	478.807502782991	629.401714042969
gene-b0088	646.835634042378	510.343062084279	625.219080340398	530.164054991845	650.08823548585	442.163494641918
gene-b0089	523.845759963898	410.261877447445	650.864558883356	398.081660668617	655.927351373447	510.729603154979
gene-b0090	803.533843979405	768.708673487168	633.178021957178	487.97106791637	667.605583148642	566.988974242619
gene-b0091	1351.06654265471	1135.67301715556	1021.39750748679	1108.02453015597	827.208084076306	850.043935027306
gene-b0092	3016.44054128776	2455.18310396317	1510.43025349562	3700.14151874931	1389.70958124819	1786.23503203256
gene-b0093	7336.57374780742	6025.45515164595	4415.44394362038	9231.09178103448	3577.43166713471	4650.18864146272
gene-b0094	9175.95564235891	7026.26699801429	7560.11020909486	12683.5788104277	4863.01034838741	6912.87022239373
gene-b0095	20543.8641516276	14560.7476712057	17853.6747001305	29373.6569153267	10607.727195802	12434.2000630416
gene-b0096	198145.797501475	107299.096456493	203492.450604143	487024.47742372	186889.662656388	256938.305862597
gene-b0097	1802.02941427581	1915.02862517856	2302.7871077884	3287.38403648923	3191.07683257201	2306.63421459323
gene-b0098	9711.64487167852	8999.49886532207	10561.5155254673	11373.7617333891	14697.0546890828	10142.5097438935
gene-b0099	213.182448402699	234.942355424056	99.9289336329066	130.247916624294	191.71763830945	112.518742175279
gene-b0101	737.939244470882	962.482882039335	519.099858783329	365.06106208781	487.566176614387	341.072437218816
gene-b0102	2026.14429592993	2104.54405991639	2192.24625199978	796.163321337235	1648.57705226501	1760.74250450847
gene-b0103	3097.52275456913	2659.60424705117	2578.69708383678	1562.97499949153	1985.29940178313	2085.99199360889
gene-b4727	2.73310831285512	44.7171250505001	7.07461477047126	0	1.94637196253248	10.5486320789324
gene-b0104	429.098005118253	418.779425076112	619.913119262545	832.852875315909	1111.37839060605	687.419190477097
gene-b0106	121.16780186991	173.899930751945	171.559408183928	73.3791079573488	135.272851396008	144.164638412077
gene-b0107	90.1925743242189	83.0460893795001	138.839314870499	251.32344475392	153.763385040066	130.099795640167
gene-b0108	0	2.83918254288889	13.2649026946336	0	7.78548785012994	18.4601061381318
gene-b0109	389.923452633997	215.068077623834	467.808901697412	783.321977444699	558.608753246823	495.785707709825
gene-b0110	293.353625579783	178.868500202	376.723236527595	234.813145463516	327.963675686724	531.826867312844
gene-b0111	1143.35031087772	767.289082215724	913.509632237102	1458.40977065231	730.862671930948	793.784563939666
gene-b0112	2355.93936568111	2249.34236960373	3890.15379691289	3760.67928281413	1507.46508498141	1853.04303519913
gene-b0113	890.082273886483	552.22100459189	1032.0094296425	1339.16872022162	795.09294669452	1295.7236403622
gene-b0114	19915.249239671	16091.0670618228	22726.3156232926	20797.4736728116	21269.952806555	15696.3645334515
gene-b0115	9523.9714341958	5651.39285162034	10817.0859840506	10801.4046913217	9025.32679026313	8120.68859543149
gene-b0116	6244.24145876966	5907.62907611607	6307.90339472144	12232.29729649	10832.5331574745	6772.22179467463
gene-b0117	313.396419874053	253.397041952834	472.230535928957	91.723884946686	287.089864473541	265.4739073198
gene-b0118	20278.7526452807	13359.7734555637	23786.623512017	24237.1193583123	19805.3079047493	18251.7706545729
gene-b0119	9738.97595480707	5083.55634304256	11408.7006442312	27528.1723501994	6039.5921997383	20961.8900461852
gene-b0120	1550.58344949314	1952.64779387184	1017.86020010155	1627.18171895421	1414.03923077985	1313.30469382709
gene-b0121	604.016937140981	861.691901766779	679.163017965241	559.515698174785	1458.8057859181	430.735809889741
gene-b0122	584.885178950995	739.607052422557	231.693633732934	451.281513937695	733.782229874747	511.608655828223
gene-b0123	1013.07214796496	1455.08105323056	857.797040919641	531.998532690779	889.491986877345	920.368148886856
gene-b0124	20655.9215924547	25229.6858717464	26604.0888443572	9841.97285477941	18824.3364356329	20855.5246727227
gene-b0125	607.661081558121	765.159695308557	671.204076348461	350.385240496341	1220.37522050787	751.590035623937
gene-b0126	877.327768426493	971.710225303724	1410.50131986271	577.860475164122	2247.08643074375	1567.35091639471
gene-b0127	944.744440143586	890.79352283139	1032.0094296425	735.625557272422	676.364256980038	1114.63878967386
gene-b0128	943.833404039301	719.022978986612	1035.54673702773	847.528696907379	626.73177193546	1133.97794848524
