	featureCounts on 30min_-_1	featureCounts on 30min_-_3	featureCounts on 30min_-_2	featureCounts on 30min_MOXI_1	featureCounts on 30min_MOXI_3	featureCounts on 30min_MOXI_2
gene-b0067	6.22441011807979	6.59115333269533	6.95497675544166	6.30621652723359	7.10158788102008	6.8491890470836
gene-b0068	6.834843938275	6.52079217851582	7.93725417008998	6.68671174860587	9.03128511349893	8.55386774496814
gene-b0069	8.38655764943053	8.72470577900046	8.17852349517165	8.62118619376371	8.78864148964995	8.79935523193983
gene-b4577	7.01556774433505	7.23465065246002	6.64135391421139	5.04593665980691	6.27213584291287	5.64602329916187
gene-b4662	6.44117115407284	6.72109919128904	6.48139948849301	5.04593665980691	5.91595157259298	5.61136497175227
gene-b0070	9.98418591957499	9.9361705342324	9.39257191880695	10.4646139535277	9.37844626260021	10.1244066802335
gene-b0071	10.773246490803	11.1649174692005	11.2324705801864	10.4266476211476	10.5960242083623	10.6805335231942
gene-b0072	10.6196222784832	10.7749740881977	11.46147262592	9.98699117353841	10.6220995580873	10.0793775850765
gene-b0073	10.3643312861317	10.3923003784071	11.3219120950447	9.58644011805078	10.7893383711283	9.57640255543689
gene-b0074	10.4220119104947	10.6065140903488	10.8385635408456	9.51580986265836	10.732695719751	9.54954631211557
gene-b0075	6.20439516137146	7.63281427794056	5.25763518991066	5.8534568701634	6.29229790960458	5.49758423703861
gene-b0076	6.82268145887824	6.89433436478955	8.19177340548851	8.69356415398919	7.95086105288696	8.09383913754934
gene-b4726	4.65824235253084	4.99952069209843	4.65824235253084	4.65824235253084	4.65824235253084	4.65824235253084
gene-b0077	10.356329450491	10.047830546679	10.4452431108534	9.28038286735443	10.2763494371547	8.8690278153055
gene-b0078	7.9509422483496	7.03934905821512	9.22331880627969	8.59393216073433	8.23090438072686	8.99897568839383
gene-b0080	11.7978820142024	10.5556997314155	12.0354321875612	12.3452462210787	10.5244105586496	11.3720479180972
gene-b0081	12.3612601999956	11.498710644198	13.5371167337494	12.5194372845365	12.3922251483131	12.8291490093321
gene-b0082	13.3350139831848	12.8075466326993	13.4718003429325	14.1458851232215	12.6302902245505	13.3606001723732
gene-b0083	11.6850487580582	11.3426315828508	11.4857005677963	12.6383635473264	10.9080967869647	11.8629356589781
gene-b0084	9.65113422778836	9.57286867865263	9.35988846766645	9.80947751561689	9.35930675558439	9.54615377499516
gene-b0085	9.30920621081566	8.95532405774932	9.1576944775634	8.82234039313716	9.71251834540314	9.12725014821249
gene-b0086	8.90717040155938	8.95325427359856	8.67860151050883	8.57314536758281	9.35716433832324	8.57406369180078
gene-b0087	9.02061355155697	7.98771842287947	8.6817236102843	8.33852719575312	9.04467076918495	9.40719070128047
gene-b0088	9.44381629315391	9.12852279813773	9.39826328827588	9.17882670703259	9.45054743160287	8.94065713511723
gene-b0089	9.16298181587543	8.84352855814435	9.45214936033651	8.80463721914758	9.46255282614703	9.12952083130664
gene-b0090	9.73688845707525	9.67671647835575	9.4152035418245	9.06954498962848	9.48626725623384	9.26785358041563
gene-b0091	10.4523571493554	10.2114458521965	10.0651514499144	10.1773883953446	9.77640364779725	9.81351900365631
gene-b0092	11.5824871880522	11.2908423430989	10.6078136831883	11.8728566856332	10.4916204627736	10.8426559133297
gene-b0093	12.8507706194328	12.5688708450528	12.1247036541537	13.180146021885	11.8248621047758	12.1986151100181
gene-b0094	13.1715501886722	12.788856556736	12.8937807401045	13.6364014274697	12.2625005941574	12.7655512671465
gene-b0095	14.3299598703122	13.8347875543613	14.1280056157099	14.8447124486758	13.3796719200497	13.6078677647737
gene-b0096	17.5965704707232	16.7119571770344	17.6349737167209	18.8937843430523	17.5122170107731	17.9713459852228
gene-b0097	10.8550134700556	10.9404642950875	11.2002961641821	11.7046360179688	11.6623929867371	11.2026532683851
